uuid,model,isl,layer,K,N,cr,hit,cs,T,v256,mbpm,wpr,gpu,us_prod_nsys,us_timed_nsys,overhead,window_cyc,exact,mono,csv_pr_us,p4frac_drift_vs_9e,cyc_p1_gather_stats,frac_p1_gather_stats,us_p1_gather_stats,cyc_smem_stage,frac_smem_stage,us_smem_stage,cyc_p1b_rungs,frac_p1b_rungs,us_p1b_rungs,cyc_p2_count_admission,frac_p2_count_admission,us_p2_count_admission,cyc_p3_collect,frac_p3_collect,us_p3_collect,cyc_p4_select,frac_p4_select,us_p4_select,cyc_epilogue,frac_epilogue,us_epilogue,cyc_p4_peer_wait,frac_p4_peer_wait,us_p4_peer_wait,cyc_p4_dsmem_gather,frac_p4_dsmem_gather,us_p4_dsmem_gather,cyc_p4_minmax,frac_p4_minmax,us_p4_minmax,cyc_p4_coarse_hist,frac_p4_coarse_hist,us_p4_coarse_hist,cyc_p4_coarse_search,frac_p4_coarse_search,us_p4_coarse_search,cyc_p4_fine,frac_p4_fine,us_p4_fine,cyc_p4_scatter,frac_p4_scatter,us_p4_scatter,cyc_p4_tail,frac_p4_tail,us_p4_tail,p4share_p4_peer_wait,p4share_p4_dsmem_gather,p4share_p4_minmax,p4share_p4_coarse_hist,p4share_p4_coarse_search,p4share_p4_fine,p4share_p4_scatter,p4share_p4_tail
flash_1024k_L42,flash,1024k,42,512,262127,4,0.758,8,512,True,1,False,4,19.211,20.668,0.0759,37016.5,True,True,18.66,-0.02639,3013.0,0.08193,1.574,123.0,0.00334,0.0643,725.0,0.01972,0.3788,8120.0,0.22081,4.242,7454.5,0.20271,3.8943,17215.0,0.46814,8.9934,123.0,0.00334,0.0643,3515.5,0.0956,1.8366,6053.5,0.16462,3.1624,647.0,0.01759,0.338,573.5,0.0156,0.2996,1395.0,0.03793,0.7288,3410.5,0.09274,1.7817,1339.0,0.03641,0.6995,218.0,0.00593,0.1139,0.20421,0.35164,0.03758,0.03331,0.08103,0.19811,0.07778,0.01266
flash_128k_L02,flash,128k,2,512,32771,4,0.604,1,512,True,1,False,1,12.763,12.867,0.0082,21809.0,True,True,12.59,0.00051,2829.5,0.13055,1.6663,165.0,0.00761,0.0972,833.5,0.03846,0.4908,5387.0,0.24856,3.1723,5326.5,0.24577,3.1367,7111.5,0.32813,4.1879,20.0,0.00092,0.0118,23.0,0.00106,0.0135,28.5,0.00132,0.0168,592.5,0.02734,0.3489,683.0,0.03151,0.4022,1456.5,0.0672,0.8577,2658.5,0.12266,1.5656,1315.0,0.06067,0.7744,349.5,0.01613,0.2058,0.00323,0.00401,0.08332,0.09604,0.20481,0.37383,0.18491,0.04915
flash_128k_L04,flash,128k,4,512,32771,4,0.805,1,512,True,1,False,2,12.457,12.595,0.011,21344.0,True,True,12.15,-9e-05,3122.0,0.1467,1.8275,165.0,0.00775,0.0966,847.0,0.0398,0.4958,5350.5,0.25141,3.1319,5312.5,0.24962,3.1097,6465.0,0.30378,3.7843,20.0,0.00094,0.0117,23.0,0.00108,0.0135,28.0,0.00132,0.0164,590.5,0.02775,0.3456,567.5,0.02667,0.3322,1471.5,0.06914,0.8613,2457.0,0.11545,1.4382,985.0,0.04628,0.5766,343.5,0.01614,0.2011,0.00356,0.00433,0.09134,0.08778,0.22761,0.38005,0.15236,0.05313
flash_128k_L06,flash,128k,6,512,32771,4,0.637,1,512,True,1,False,3,12.142,12.716,0.0473,22009.5,True,True,12.63,0.02501,2441.0,0.11171,1.3564,128.0,0.00586,0.0711,820.5,0.03755,0.4559,5451.0,0.24946,3.029,5327.0,0.24378,2.9601,7664.0,0.35073,4.2587,20.0,0.00092,0.0111,23.0,0.00105,0.0128,28.5,0.0013,0.0158,595.0,0.02723,0.3306,684.5,0.03133,0.3804,1416.5,0.06482,0.7871,3304.5,0.15123,1.8362,1084.5,0.04963,0.6026,526.5,0.02409,0.2926,0.003,0.00372,0.07764,0.08931,0.18483,0.43117,0.14151,0.0687
flash_128k_L08,flash,128k,8,512,32771,4,0.742,1,512,True,1,False,4,12.4,12.584,0.0148,21154.0,True,True,12.22,-0.00472,2970.0,0.14083,1.7463,165.0,0.00782,0.097,865.0,0.04102,0.5086,5391.0,0.25563,3.1697,5324.5,0.25248,3.1306,6351.5,0.30118,3.7345,22.0,0.00104,0.0129,23.0,0.00109,0.0135,30.0,0.00142,0.0176,593.5,0.02814,0.349,561.0,0.0266,0.3299,1463.5,0.0694,0.8605,2415.0,0.11451,1.4199,763.0,0.03618,0.4486,504.0,0.0239,0.2963,0.00362,0.00472,0.09344,0.08833,0.23042,0.38023,0.12013,0.07935
flash_128k_L10,flash,128k,10,512,32771,4,0.523,1,512,True,1,False,5,12.915,13.453,0.0416,23387.5,True,True,13.24,0.02868,2566.5,0.11086,1.4317,128.0,0.00553,0.0714,885.0,0.03823,0.4937,5330.0,0.23022,2.9733,5359.0,0.23148,2.9895,8863.0,0.38283,4.9442,20.0,0.00086,0.0112,23.0,0.00099,0.0128,30.0,0.0013,0.0167,646.0,0.0279,0.3604,812.5,0.03509,0.4532,1399.5,0.06045,0.7807,3609.5,0.15591,2.0135,1413.0,0.06103,0.7882,920.0,0.03974,0.5132,0.0026,0.00338,0.07289,0.09167,0.1579,0.40725,0.15943,0.1038
flash_128k_L12,flash,128k,12,512,32771,4,0.49,1,512,True,1,False,6,12.605,13.088,0.0383,22732.5,True,True,12.77,0.02963,2477.0,0.10996,1.3861,128.0,0.00568,0.0716,865.0,0.0384,0.484,5301.0,0.23533,2.9663,5359.5,0.23793,2.999,8375.0,0.3718,4.6864,20.0,0.00089,0.0112,23.0,0.00102,0.0129,30.0,0.00133,0.0168,659.5,0.02928,0.369,807.5,0.03585,0.4519,1382.5,0.06137,0.7736,3393.0,0.15063,1.8986,1453.0,0.0645,0.8131,626.5,0.02781,0.3506,0.00275,0.00358,0.07875,0.09642,0.16507,0.40513,0.17349,0.07481
flash_128k_L14,flash,128k,14,512,32771,4,0.578,1,512,True,1,False,7,11.997,12.48,0.0403,21589.5,True,True,12.49,0.02754,2797.5,0.12946,1.5531,122.0,0.00565,0.0677,865.0,0.04003,0.4802,5115.5,0.23674,2.84,5320.5,0.24622,2.9538,7368.0,0.34098,4.0906,20.0,0.00093,0.0111,23.0,0.00106,0.0128,30.0,0.00139,0.0167,594.5,0.02751,0.3301,689.5,0.03191,0.3828,1388.5,0.06426,0.7709,3037.5,0.14057,1.6864,1106.5,0.05121,0.6143,497.0,0.023,0.2759,0.00312,0.00407,0.08069,0.09358,0.18845,0.41226,0.15018,0.06745
flash_128k_L16,flash,128k,16,512,32771,4,0.564,1,512,True,1,False,0,12.284,12.465,0.0147,21483.5,True,True,12.97,-0.00383,2683.0,0.12497,1.5352,122.0,0.00568,0.0698,851.0,0.03964,0.4869,5182.5,0.24139,2.9654,5558.0,0.25888,3.1802,7052.5,0.3285,4.0354,20.0,0.00093,0.0114,23.0,0.00107,0.0132,30.0,0.0014,0.0172,596.0,0.02776,0.341,690.5,0.03216,0.3951,1371.5,0.06388,0.7848,2335.0,0.10876,1.3361,1134.0,0.05282,0.6489,879.5,0.04097,0.5032,0.00326,0.00425,0.08451,0.09791,0.19447,0.33109,0.16079,0.12471
flash_128k_L18,flash,128k,18,512,32771,4,0.637,1,512,True,1,False,1,13.008,13.109,0.0078,22167.5,True,True,12.61,-0.00259,3066.5,0.1385,1.8015,165.0,0.00745,0.0969,864.0,0.03902,0.5076,5388.0,0.24335,3.1654,5325.5,0.24053,3.1287,7312.0,0.33025,4.2958,20.0,0.0009,0.0117,23.0,0.00104,0.0135,28.5,0.00129,0.0167,595.0,0.02687,0.3496,690.5,0.03119,0.4057,1444.0,0.06522,0.8483,2659.5,0.12012,1.5624,1091.5,0.0493,0.6412,799.0,0.03609,0.4694,0.00315,0.0039,0.08137,0.09443,0.19748,0.36372,0.14928,0.10927
flash_128k_L20,flash,128k,20,512,32771,4,0.785,1,512,True,1,False,2,12.565,12.753,0.015,21504.0,True,True,12.35,0.00019,3037.5,0.14204,1.7846,165.0,0.00772,0.0969,873.5,0.04085,0.5132,5414.5,0.25319,3.1812,5335.0,0.24947,3.1345,6540.0,0.30581,3.8424,20.0,0.00094,0.0118,23.0,0.00108,0.0135,30.0,0.0014,0.0176,591.0,0.02764,0.3472,561.0,0.02623,0.3296,1470.5,0.06876,0.864,2418.0,0.11307,1.4206,1082.0,0.0506,0.6357,367.0,0.01716,0.2156,0.00352,0.00459,0.09037,0.08578,0.22485,0.36972,0.16544,0.05612
flash_128k_L22,flash,128k,22,512,32771,4,0.701,1,512,True,1,False,3,11.872,12.001,0.0109,20473.5,True,True,12.39,0.0041,2560.0,0.12578,1.4933,128.0,0.00629,0.0747,865.5,0.04253,0.5049,5215.0,0.25623,3.0419,5315.5,0.26117,3.1006,6248.5,0.30701,3.6448,20.0,0.00098,0.0117,23.0,0.00113,0.0134,30.0,0.00147,0.0175,591.0,0.02904,0.3447,570.0,0.02801,0.3325,1388.0,0.0682,0.8096,2242.0,0.11016,1.3078,774.0,0.03803,0.4515,622.5,0.03059,0.3631,0.00368,0.0048,0.09458,0.09122,0.22213,0.35881,0.12387,0.09962
flash_128k_L24,flash,128k,24,512,32771,4,0.609,1,512,True,1,False,4,13.104,13.256,0.0116,22544.5,True,True,13.01,-0.00431,3099.0,0.13812,1.8098,165.0,0.00735,0.0964,875.5,0.03902,0.5113,5333.5,0.2377,3.1148,5350.0,0.23844,3.1244,7594.5,0.33847,4.4353,20.0,0.00089,0.0117,23.0,0.00103,0.0134,30.0,0.00134,0.0175,593.0,0.02643,0.3463,684.0,0.03048,0.3995,1427.0,0.0636,0.8334,2752.5,0.12267,1.6075,1336.5,0.05957,0.7805,756.5,0.03372,0.4418,0.00303,0.00395,0.07808,0.09007,0.1879,0.36243,0.17598,0.09961
flash_128k_L26,flash,128k,26,512,32771,4,0.744,1,512,True,1,False,5,11.939,12.158,0.0184,20757.0,True,True,12.16,0.00162,2611.5,0.12643,1.5094,128.0,0.0062,0.074,878.5,0.04253,0.5078,5254.0,0.25436,3.0367,5552.0,0.26878,3.209,6210.0,0.30064,3.5893,22.0,0.00107,0.0127,23.0,0.00111,0.0133,29.0,0.0014,0.0168,593.5,0.02873,0.343,562.0,0.02721,0.3248,1405.0,0.06802,0.8121,2228.0,0.10786,1.2877,765.0,0.03704,0.4422,597.0,0.0289,0.3451,0.0037,0.00467,0.09557,0.0905,0.22625,0.35878,0.12319,0.09614
