uuid,dt,cs,N,K,rung,axis,base_us,all_us,ratio
v32_64k_L38,fp32,4,65551,2048,cs4,real,17.341,16.142,1.0742
v32_64k_L39,fp32,4,65551,2048,cs4,real,17.217,15.896,1.0831
v32_64k_L40,fp32,4,65551,2048,cs4,real,19.288,17.619,1.0947
v32_64k_L41,fp32,4,65551,2048,cs4,real,16.285,15.062,1.0812
v32_64k_L42,fp32,4,65551,2048,cs4,real,17.197,15.723,1.0937
v32_64k_L43,fp32,4,65551,2048,cs4,real,17.464,16.041,1.0887
v32_64k_L44,fp32,4,65551,2048,cs4,real,22.878,21.342,1.072
v32_64k_L45,fp32,4,65551,2048,cs4,real,17.281,15.851,1.0902
v32_64k_L46,fp32,4,65551,2048,cs4,real,17.862,16.457,1.0854
v32_64k_L47,fp32,4,65551,2048,cs4,real,23.724,22.281,1.0648
v32_64k_L48,fp32,4,65551,2048,cs4,real,17.417,15.917,1.0943
v32_64k_L49,fp32,4,65551,2048,cs4,real,17.332,16.085,1.0776
v32_64k_L50,fp32,4,65551,2048,cs4,real,19.366,17.441,1.1103
v32_64k_L51,fp32,4,65551,2048,cs4,real,17.472,16.206,1.0781
v32_64k_L52,fp32,4,65551,2048,cs4,real,16.176,14.726,1.0984
v32_64k_L53,fp32,4,65551,2048,cs4,real,17.094,15.942,1.0723
v32_64k_L54,fp32,4,65551,2048,cs4,real,16.504,15.185,1.0868
v32_64k_L55,fp32,4,65551,2048,cs4,real,16.339,15.28,1.0693
v32_64k_L56,fp32,4,65551,2048,cs4,real,22.085,20.724,1.0656
v32_64k_L57,fp32,4,65551,2048,cs4,real,16.365,15.059,1.0867
v32_64k_L58,fp32,4,65551,2048,cs4,real,24.192,21.742,1.1127
v32_64k_L59,fp32,4,65551,2048,cs4,real,22.074,20.736,1.0645
v32_64k_L60,fp32,4,65551,2048,cs4,real,22.91,21.624,1.0595
v32_8k_L03,fp32,1,8207,2048,cs1-small,real,11.688,9.854,1.1861
v32_8k_L04,fp32,1,8207,2048,cs1-small,real,10.982,10.249,1.0715
v32_8k_L05,fp32,1,8207,2048,cs1-small,real,11.208,10.118,1.1077
v32_8k_L06,fp32,1,8207,2048,cs1-small,real,13.598,12.467,1.0907
v32_8k_L07,fp32,1,8207,2048,cs1-small,real,14.331,12.63,1.1347
v32_8k_L08,fp32,1,8207,2048,cs1-small,real,14.87,12.747,1.1666
v32_8k_L09,fp32,1,8207,2048,cs1-small,real,10.677,9.688,1.1021
v32_8k_L10,fp32,1,8207,2048,cs1-small,real,10.782,9.809,1.0992
v32_8k_L11,fp32,1,8207,2048,cs1-small,real,11.157,10.296,1.0836
v32_8k_L12,fp32,1,8207,2048,cs1-small,real,13.899,12.709,1.0937
v32_8k_L13,fp32,1,8207,2048,cs1-small,real,13.656,12.642,1.0802
v32_8k_L14,fp32,1,8207,2048,cs1-small,real,13.469,12.457,1.0812
v32_8k_L15,fp32,1,8207,2048,cs1-small,real,11.177,9.93,1.1257
v32_8k_L16,fp32,1,8207,2048,cs1-small,real,13.902,12.733,1.0919
v32_8k_L17,fp32,1,8207,2048,cs1-small,real,11.387,10.381,1.097
v32_8k_L18,fp32,1,8207,2048,cs1-small,real,13.632,12.76,1.0683
v32_8k_L19,fp32,1,8207,2048,cs1-small,real,10.952,10.12,1.0822
v32_8k_L20,fp32,1,8207,2048,cs1-small,real,11.21,9.952,1.1264
v32_8k_L21,fp32,1,8207,2048,cs1-small,real,11.096,10.041,1.105
v32_8k_L22,fp32,1,8207,2048,cs1-small,real,13.539,12.34,1.0971
v32_8k_L23,fp32,1,8207,2048,cs1-small,real,11.917,9.745,1.2228
