cuuid,uuid,bs,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
pro_64k_L30_bs1024,pro_64k_L30,1024,pro,64k,30,16387,1024,0.312,53.82533333333333,78.10033333333332,0.6891818643539721,44.2555,70.65180000000001,True
pro_64k_L30_bs128,pro_64k_L30,128,pro,64k,30,16387,1024,0.312,12.915066666666668,19.14,0.6747683733890631,10.412700000000001,16.2975,True
pro_64k_L30_bs16,pro_64k_L30,16,pro,64k,30,16387,1024,0.312,11.648,17.851533333333332,0.6524929697915772,10.1344,16.0093,True
pro_64k_L30_bs2,pro_64k_L30,2,pro,64k,30,16387,1024,0.312,10.822333333333335,17.16453333333333,0.6305055385523639,9.5806,15.408,True
pro_64k_L30_bs256,pro_64k_L30,256,pro,64k,30,16387,1024,0.312,16.292133333333332,30.408066666666667,0.5357832680363325,13.3568,25.8205,True
pro_64k_L30_bs32,pro_64k_L30,32,pro,64k,30,16387,1024,0.312,11.7972,18.067,0.6529695024077047,10.1629,16.0287,True
pro_64k_L30_bs4,pro_64k_L30,4,pro,64k,30,16387,1024,0.312,11.261733333333334,17.704266666666665,0.6361027850160414,9.8144,15.654200000000001,True
pro_64k_L30_bs512,pro_64k_L30,512,pro,64k,30,16387,1024,0.312,29.678533333333334,47.4212,0.6258494794170821,25.1613,42.9498,True
pro_64k_L30_bs64,pro_64k_L30,64,pro,64k,30,16387,1024,0.312,12.249533333333332,18.49366666666667,0.6623636920747642,10.3039,16.2079,True
pro_64k_L30_bs8,pro_64k_L30,8,pro,64k,30,16387,1024,0.312,11.1444,17.444,0.6388672322861729,9.5999,15.5358,True
pro_64k_L46_bs1024,pro_64k_L46,1024,pro,64k,46,16387,1024,0.519,58.339533333333335,76.48973333333333,0.7627106382904547,49.2986,69.3917,True
pro_64k_L46_bs128,pro_64k_L46,128,pro,64k,46,16387,1024,0.519,13.990266666666667,18.465866666666663,0.7576284893208372,11.5711,15.939200000000001,True
pro_64k_L46_bs16,pro_64k_L46,16,pro,64k,46,16387,1024,0.519,12.765600000000001,17.215733333333333,0.7415077680881056,11.2224,15.5678,True
pro_64k_L46_bs2,pro_64k_L46,2,pro,64k,46,16387,1024,0.519,12.095933333333333,16.631266666666665,0.7273007868713147,10.6142,14.9984,True
pro_64k_L46_bs256,pro_64k_L46,256,pro,64k,46,16387,1024,0.519,17.97746666666667,29.6508,0.6063062941528279,15.1198,25.3981,True
pro_64k_L46_bs32,pro_64k_L46,32,pro,64k,46,16387,1024,0.519,12.908666666666665,17.395,0.7420906390725304,11.184,15.5709,True
pro_64k_L46_bs4,pro_64k_L46,4,pro,64k,46,16387,1024,0.519,12.279200000000001,16.848933333333335,0.7287820396147728,10.9436,15.267100000000001,True
pro_64k_L46_bs512,pro_64k_L46,512,pro,64k,46,16387,1024,0.519,32.91026666666667,46.74953333333333,0.7039699505021798,28.255599999999998,42.105199999999996,True
pro_64k_L46_bs64,pro_64k_L46,64,pro,64k,46,16387,1024,0.519,13.307666666666666,17.8386,0.7460039838701841,11.4047,15.7565,True
pro_64k_L46_bs8,pro_64k_L46,8,pro,64k,46,16387,1024,0.519,12.366866666666667,16.8168,0.7353876282447711,10.6656,15.0844,True
pro_8k_L14_bs1024,pro_8k_L14,1024,pro,8k,14,2051,1024,0.83,34.57886666666667,17.6018,1.9645074178019672,31.222,15.731200000000001,True
pro_8k_L14_bs128,pro_8k_L14,128,pro,8k,14,2051,1024,0.83,9.077266666666667,10.380533333333332,0.874450895265497,7.855899999999999,9.2447,True
pro_8k_L14_bs16,pro_8k_L14,16,pro,8k,14,2051,1024,0.83,8.8234,9.885666666666665,0.8925447617763091,7.6383,9.1072,True
pro_8k_L14_bs2,pro_8k_L14,2,pro,8k,14,2051,1024,0.83,8.1088,9.3674,0.8656404124943955,7.1166,8.5918,True
pro_8k_L14_bs256,pro_8k_L14,256,pro,8k,14,2051,1024,0.83,10.329533333333332,10.901266666666666,0.9475534953124712,9.0398,9.7503,True
pro_8k_L14_bs32,pro_8k_L14,32,pro,8k,14,2051,1024,0.83,8.731666666666666,10.069066666666668,0.8671773616886038,7.660699999999999,9.100700000000002,True
pro_8k_L14_bs4,pro_8k_L14,4,pro,8k,14,2051,1024,0.83,8.477799999999998,9.704333333333334,0.8736097276130935,7.2959,8.716700000000001,True
pro_8k_L14_bs512,pro_8k_L14,512,pro,8k,14,2051,1024,0.83,18.8328,13.068666666666665,1.4410651430903434,16.566200000000002,11.699,True
pro_8k_L14_bs64,pro_8k_L14,64,pro,8k,14,2051,1024,0.83,8.9792,10.1652,0.8833274308424822,7.763,9.2287,True
