cuuid,uuid,bs,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_128k_L34_bs8,flash_128k_L34,8,flash,128k,34,32771,512,0.688,11.972,,,10.0412,,
flash_16k_L10_bs1024,flash_16k_L10,1024,flash,16k,10,4099,512,0.648,37.47153333333333,,,31.001099999999997,,
flash_16k_L10_bs128,flash_16k_L10,128,flash,16k,10,4099,512,0.648,10.056466666666667,,,7.9807,,
flash_16k_L10_bs16,flash_16k_L10,16,flash,16k,10,4099,512,0.648,9.228733333333334,,,7.5455,,
flash_16k_L10_bs2,flash_16k_L10,2,flash,16k,10,4099,512,0.648,9.002466666666667,,,7.2125,,
flash_16k_L10_bs256,flash_16k_L10,256,flash,16k,10,4099,512,0.648,11.5304,,,9.2639,,
flash_16k_L10_bs32,flash_16k_L10,32,flash,16k,10,4099,512,0.648,9.350333333333333,,,7.708699999999999,,
flash_16k_L10_bs4,flash_16k_L10,4,flash,16k,10,4099,512,0.648,8.921333333333333,,,7.206300000000001,,
flash_16k_L10_bs512,flash_16k_L10,512,flash,16k,10,4099,512,0.648,20.827466666666666,,,17.046200000000002,,
flash_16k_L10_bs64,flash_16k_L10,64,flash,16k,10,4099,512,0.648,9.512466666666667,,,7.843100000000001,,
flash_16k_L10_bs8,flash_16k_L10,8,flash,16k,10,4099,512,0.648,8.940666666666665,,,7.4559,,
flash_16k_L22_bs1024,flash_16k_L22,1024,flash,16k,22,4099,512,0.344,36.07186666666667,,,30.6588,,
flash_16k_L22_bs128,flash_16k_L22,128,flash,16k,22,4099,512,0.344,9.612533333333333,,,7.9648,,
flash_16k_L22_bs16,flash_16k_L22,16,flash,16k,22,4099,512,0.344,8.970666666666666,,,7.4943,,
flash_16k_L22_bs2,flash_16k_L22,2,flash,16k,22,4099,512,0.344,8.684733333333334,,,7.1167,,
flash_16k_L22_bs256,flash_16k_L22,256,flash,16k,22,4099,512,0.344,11.253200000000001,,,9.1135,,
flash_16k_L22_bs32,flash_16k_L22,32,flash,16k,22,4099,512,0.344,9.160466666666666,,,7.7184,,
flash_16k_L22_bs4,flash_16k_L22,4,flash,16k,22,4099,512,0.344,8.6376,,,7.3792,,
flash_16k_L22_bs512,flash_16k_L22,512,flash,16k,22,4099,512,0.344,20.323866666666664,,,16.7518,,
flash_16k_L22_bs64,flash_16k_L22,64,flash,16k,22,4099,512,0.344,9.299066666666668,,,7.7599,,
flash_16k_L22_bs8,flash_16k_L22,8,flash,16k,22,4099,512,0.344,8.648533333333333,,,7.1262,,
flash_16k_L34_bs1024,flash_16k_L34,1024,flash,16k,34,4099,512,0.348,37.089933333333335,,,30.9116,,
flash_16k_L34_bs128,flash_16k_L34,128,flash,16k,34,4099,512,0.348,9.811066666666667,,,8.0351,,
flash_16k_L34_bs16,flash_16k_L34,16,flash,16k,34,4099,512,0.348,9.134866666666667,,,7.7118,,
flash_16k_L34_bs2,flash_16k_L34,2,flash,16k,34,4099,512,0.348,8.6464,,,7.4207,,
flash_16k_L34_bs256,flash_16k_L34,256,flash,16k,34,4099,512,0.348,11.387733333333333,,,9.1549,,
flash_16k_L34_bs32,flash_16k_L34,32,flash,16k,34,4099,512,0.348,9.309666666666667,,,7.7566999999999995,,
flash_16k_L34_bs4,flash_16k_L34,4,flash,16k,34,4099,512,0.348,8.680399999999999,,,7.2287,,
flash_16k_L34_bs512,flash_16k_L34,512,flash,16k,34,4099,512,0.348,20.492533333333334,,,16.7423,,
flash_16k_L34_bs64,flash_16k_L34,64,flash,16k,34,4099,512,0.348,9.452733333333333,,,7.795100000000001,,
flash_16k_L34_bs8,flash_16k_L34,8,flash,16k,34,4099,512,0.348,8.799866666666667,,,7.2158999999999995,,
flash_256k_L10_bs1024,flash_256k_L10,1024,flash,256k,10,65538,512,0.193,105.16986666666666,,,89.8964,,
flash_256k_L10_bs128,flash_256k_L10,128,flash,256k,10,65538,512,0.193,21.3308,,,16.2847,,
flash_256k_L10_bs16,flash_256k_L10,16,flash,256k,10,65538,512,0.193,15.797133333333333,,,13.587,,
flash_256k_L10_bs2,flash_256k_L10,2,flash,256k,10,65538,512,0.193,14.636466666666667,,,13.014299999999999,,
flash_256k_L10_bs256,flash_256k_L10,256,flash,256k,10,65538,512,0.193,33.00026666666667,,,22.934099999999997,,
flash_256k_L10_bs32,flash_256k_L10,32,flash,256k,10,65538,512,0.193,16.661133333333336,,,14.0479,,
flash_256k_L10_bs4,flash_256k_L10,4,flash,256k,10,65538,512,0.193,15.0972,,,13.392,,
flash_256k_L10_bs512,flash_256k_L10,512,flash,256k,10,65538,512,0.193,62.714866666666666,,,52.1755,,
flash_256k_L10_bs64,flash_256k_L10,64,flash,256k,10,65538,512,0.193,19.3128,,,15.7119,,
flash_256k_L10_bs8,flash_256k_L10,8,flash,256k,10,65538,512,0.193,15.338466666666667,,,13.5196,,
flash_256k_L22_bs1024,flash_256k_L22,1024,flash,256k,22,65538,512,0.279,101.44086666666666,,,87.36189999999999,,
flash_256k_L22_bs128,flash_256k_L22,128,flash,256k,22,65538,512,0.279,20.818933333333334,,,15.635,,
flash_256k_L22_bs16,flash_256k_L22,16,flash,256k,22,65538,512,0.279,15.137866666666667,,,12.9438,,
flash_256k_L22_bs2,flash_256k_L22,2,flash,256k,22,65538,512,0.279,13.841,,,12.396600000000001,,
flash_256k_L22_bs256,flash_256k_L22,256,flash,256k,22,65538,512,0.279,32.443,,,22.2267,,
flash_256k_L22_bs32,flash_256k_L22,32,flash,256k,22,65538,512,0.279,15.950866666666666,,,13.3725,,
flash_256k_L22_bs4,flash_256k_L22,4,flash,256k,22,65538,512,0.279,14.491533333333333,,,12.844700000000001,,
flash_256k_L22_bs512,flash_256k_L22,512,flash,256k,22,65538,512,0.279,61.0296,,,50.3705,,
flash_256k_L22_bs64,flash_256k_L22,64,flash,256k,22,65538,512,0.279,18.6878,,,15.024,,
flash_256k_L22_bs8,flash_256k_L22,8,flash,256k,22,65538,512,0.279,14.792333333333334,,,12.896,,
flash_256k_L34_bs1024,flash_256k_L34,1024,flash,256k,34,65538,512,0.631,100.31033333333333,,,85.4838,,
flash_256k_L34_bs128,flash_256k_L34,128,flash,256k,34,65538,512,0.631,20.914933333333334,,,15.4718,,
flash_256k_L34_bs16,flash_256k_L34,16,flash,256k,34,65538,512,0.631,14.832866666666666,,,12.575700000000001,,
flash_256k_L34_bs2,flash_256k_L34,2,flash,256k,34,65538,512,0.631,13.847333333333333,,,12.0447,,
flash_256k_L34_bs256,flash_256k_L34,256,flash,256k,34,65538,512,0.631,31.939799999999998,,,21.570700000000002,,
flash_256k_L34_bs32,flash_256k_L34,32,flash,256k,34,65538,512,0.631,15.679866666666667,,,13.0462,,
flash_256k_L34_bs4,flash_256k_L34,4,flash,256k,34,65538,512,0.631,14.039266666666666,,,12.415899999999999,,
flash_256k_L34_bs512,flash_256k_L34,512,flash,256k,34,65538,512,0.631,60.07606666666666,,,49.852199999999996,,
flash_256k_L34_bs64,flash_256k_L34,64,flash,256k,34,65538,512,0.631,18.052,,,14.6078,,
flash_256k_L34_bs8,flash_256k_L34,8,flash,256k,34,65538,512,0.631,14.227066666666667,,,12.5278,,
flash_32k_L10_bs1024,flash_32k_L10,1024,flash,32k,10,8195,512,0.723,40.0272,,,33.4236,,
flash_32k_L10_bs128,flash_32k_L10,128,flash,32k,10,8195,512,0.723,10.391333333333334,,,8.3104,,
flash_32k_L10_bs16,flash_32k_L10,16,flash,32k,10,8195,512,0.723,9.422866666666668,,,7.84,,
flash_32k_L10_bs2,flash_32k_L10,2,flash,32k,10,8195,512,0.723,8.7636,,,7.5422,,
flash_32k_L10_bs256,flash_32k_L10,256,flash,32k,10,8195,512,0.723,12.4714,,,9.9454,,
flash_32k_L10_bs32,flash_32k_L10,32,flash,32k,10,8195,512,0.723,9.506,,,8.0224,,
flash_32k_L10_bs4,flash_32k_L10,4,flash,32k,10,8195,512,0.723,8.964133333333333,,,7.4879,,
flash_32k_L10_bs512,flash_32k_L10,512,flash,32k,10,8195,512,0.723,22.436,,,18.5885,,
flash_32k_L10_bs64,flash_32k_L10,64,flash,32k,10,8195,512,0.723,9.813133333333333,,,8.140699999999999,,
flash_32k_L10_bs8,flash_32k_L10,8,flash,32k,10,8195,512,0.723,9.211666666666666,,,7.676699999999999,,
flash_32k_L22_bs1024,flash_32k_L22,1024,flash,32k,22,8195,512,0.686,40.8506,,,33.906800000000004,,
