cuuid,uuid,bs,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
pro_8k_L30_bs256,pro_8k_L30,256,pro,8k,30,2051,1024,0.461,10.788133333333333,8.6314,1.249870627399186,9.4397,7.5935,True
pro_8k_L30_bs32,pro_8k_L30,32,pro,8k,30,2051,1024,0.461,9.043066666666668,7.6096,1.1883760863470705,8.0191,6.6496,True
pro_8k_L30_bs4,pro_8k_L30,4,pro,8k,30,2051,1024,0.461,8.904399999999999,7.155133333333334,1.2444771585901029,7.6895,6.2303999999999995,True
pro_8k_L30_bs512,pro_8k_L30,512,pro,8k,30,2051,1024,0.461,19.647733333333335,10.741200000000001,1.829193510346454,17.4333,9.5039,True
pro_8k_L30_bs64,pro_8k_L30,64,pro,8k,30,2051,1024,0.461,9.226466666666667,7.737533333333333,1.1924299733765282,8.1183,6.7486999999999995,True
pro_8k_L30_bs8,pro_8k_L30,8,pro,8k,30,2051,1024,0.461,8.656799999999999,7.172266666666666,1.2069824509220701,7.4975,6.2112,True
pro_8k_L46_bs1024,pro_8k_L46,1024,pro,8k,46,2051,1024,0.611,36.89773333333333,18.222733333333334,2.024818816057598,33.7149,16.1373,True
pro_8k_L46_bs128,pro_8k_L46,128,pro,8k,46,2051,1024,0.611,9.723533333333332,8.040333333333333,1.2093445545375399,8.4575,6.864,True
pro_8k_L46_bs16,pro_8k_L46,16,pro,8k,46,2051,1024,0.611,9.286266666666666,7.583933333333333,1.2244657565555253,8.220799999999999,6.771199999999999,True
pro_8k_L46_bs2,pro_8k_L46,2,pro,8k,46,2051,1024,0.611,8.6676,7.281,1.1904408735063865,7.660699999999999,6.32,True
pro_8k_L46_bs256,pro_8k_L46,256,pro,8k,46,2051,1024,0.611,11.103933333333332,8.761533333333333,1.2673504637696598,9.8174,7.7184,True
pro_8k_L46_bs32,pro_8k_L46,32,pro,8k,46,2051,1024,0.611,9.307666666666666,7.656466666666666,1.2156608357205674,8.1758,6.787,True
pro_8k_L46_bs4,pro_8k_L46,4,pro,8k,46,2051,1024,0.611,9.117866666666666,7.227666666666667,1.261522852003874,7.855899999999999,6.3647,True
pro_8k_L46_bs512,pro_8k_L46,512,pro,8k,46,2051,1024,0.611,20.1278,10.7968,1.86423755186722,18.1023,9.6799,True
pro_8k_L46_bs64,pro_8k_L46,64,pro,8k,46,2051,1024,0.611,9.480333333333334,7.786533333333334,1.217529409750167,8.348700000000001,6.7871999999999995,True
pro_8k_L46_bs8,pro_8k_L46,8,pro,8k,46,2051,1024,0.611,8.913,7.2618,1.2273816409154756,7.6895,6.3296,True
v32_128k_L14_bs1024,v32_128k_L14,1024,v32,128k,14,131087,2048,0.904,217.47993333333332,256.7436666666667,0.8470702944960666,207.80870000000002,246.9891,True
v32_128k_L14_bs128,v32_128k_L14,128,v32,128k,14,131087,2048,0.904,34.2524,49.074533333333335,0.697966902045596,24.736,36.2812,True
v32_128k_L14_bs16,v32_128k_L14,16,v32,128k,14,131087,2048,0.904,20.52446666666667,39.4258,0.5205846594531162,17.8399,36.934,True
v32_128k_L14_bs2,v32_128k_L14,2,v32,128k,14,131087,2048,0.904,17.738466666666667,18.598133333333337,0.9537767231119968,16.4543,17.8942,True
v32_128k_L14_bs256,v32_128k_L14,256,v32,128k,14,131087,2048,0.904,66.70846666666667,77.14693333333334,0.8646936927283349,56.690400000000004,67.9606,True
v32_128k_L14_bs32,v32_128k_L14,32,v32,128k,14,131087,2048,0.904,21.264933333333335,22.6066,0.9406515501372756,18.0928,19.020599999999998,True
v32_128k_L14_bs4,v32_128k_L14,4,v32,128k,14,131087,2048,0.904,18.487266666666667,18.738933333333335,0.9865698510053933,17.030099999999997,17.990099999999998,True
v32_128k_L14_bs512,v32_128k_L14,512,v32,128k,14,131087,2048,0.904,119.39073333333334,142.03133333333335,0.8405943289508887,110.6385,132.77579999999998,True
v32_128k_L14_bs64,v32_128k_L14,64,v32,128k,14,131087,2048,0.904,26.128666666666668,33.48446666666667,0.7803220199614945,21.478099999999998,28.035,True
v32_128k_L14_bs8,v32_128k_L14,8,v32,128k,14,131087,2048,0.904,19.9292,28.9724,0.6878684541149508,17.7342,27.2411,True
v32_128k_L34_bs1024,v32_128k_L34,1024,v32,128k,34,131087,2048,0.62,219.78826666666666,396.7228666666666,0.5540095747778928,209.3606,387.2915,True
v32_128k_L34_bs128,v32_128k_L34,128,v32,128k,34,131087,2048,0.62,34.42933333333333,57.47346666666667,0.5990474445019267,25.1163,46.3258,True
v32_128k_L34_bs16,v32_128k_L34,16,v32,128k,34,131087,2048,0.62,20.705866666666665,33.367066666666666,0.6205480054185164,17.8176,30.6843,True
v32_128k_L34_bs2,v32_128k_L34,2,v32,128k,34,131087,2048,0.62,18.282466666666668,15.1806,1.2043309662771344,16.7867,14.5181,True
v32_128k_L34_bs256,v32_128k_L34,256,v32,128k,34,131087,2048,0.62,67.71753333333334,115.42686666666667,0.5866704632023856,56.9273,105.6947,True
v32_128k_L34_bs32,v32_128k_L34,32,v32,128k,34,131087,2048,0.62,21.561400000000003,28.289733333333334,0.7621634232442395,18.1918,24.9309,True
v32_128k_L34_bs4,v32_128k_L34,4,v32,128k,34,131087,2048,0.62,18.8328,15.481399999999999,1.216479129794463,17.2159,14.6461,True
v32_128k_L34_bs512,v32_128k_L34,512,v32,128k,34,131087,2048,0.62,121.64126666666667,210.81613333333334,0.5770016968973279,111.10260000000001,200.2312,True
v32_128k_L34_bs64,v32_128k_L34,64,v32,128k,34,131087,2048,0.62,26.086,40.68646666666667,0.6411468514510148,21.5261,35.378800000000005,True
v32_128k_L34_bs8,v32_128k_L34,8,v32,128k,34,131087,2048,0.62,19.888866666666665,24.144866666666665,0.8237306480604573,17.6926,22.4413,True
v32_128k_L54_bs1024,v32_128k_L54,1024,v32,128k,54,131087,2048,0.93,353.839,250.11973333333333,1.4146784633279634,345.8615,240.5411,True
v32_128k_L54_bs128,v32_128k_L54,128,v32,128k,54,131087,2048,0.93,42.624,45.94673333333333,0.9276829255906479,34.6364,33.458800000000004,True
v32_128k_L54_bs16,v32_128k_L54,16,v32,128k,54,131087,2048,0.93,28.070133333333334,33.16446666666667,0.8463918209650086,25.433400000000002,30.5179,True
v32_128k_L54_bs2,v32_128k_L54,2,v32,128k,54,131087,2048,0.93,25.241133333333334,15.157133333333332,1.6652973077582833,23.5613,14.5053,True
v32_128k_L54_bs256,v32_128k_L54,256,v32,128k,54,131087,2048,0.93,103.506,75.084,1.3785360396356081,93.18939999999999,66.0438,True
v32_128k_L54_bs32,v32_128k_L54,32,v32,128k,54,131087,2048,0.93,28.855266666666665,20.379533333333335,1.4158943776926523,25.935299999999998,16.694200000000002,True
v32_128k_L54_bs4,v32_128k_L54,4,v32,128k,54,131087,2048,0.93,25.877133333333337,15.376866666666666,1.6828612677918782,23.945400000000003,14.5374,True
v32_128k_L54_bs512,v32_128k_L54,512,v32,128k,54,131087,2048,0.93,180.91946666666666,138.81646666666668,1.3032997526230075,172.529,129.2208,True
v32_128k_L54_bs64,v32_128k_L54,64,v32,128k,54,131087,2048,0.93,35.150400000000005,29.706266666666668,1.1832654838260839,31.0267,24.8157,True
v32_128k_L54_bs8,v32_128k_L54,8,v32,128k,54,131087,2048,0.93,27.400066666666667,23.9528,1.1439191521102614,25.186799999999998,22.3005,True
v32_16k_L14_bs1024,v32_16k_L14,1024,v32,16k,14,16399,2048,0.902,61.43066666666667,74.3672,0.8260451740372996,52.0154,62.716,True
