scenario,K,dtype,N,BS,hit_rate,layer,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,radix_single_cuda_cold_us,radix_single_cuda_warm_us,radix_multi_cuda_cold_us,radix_multi_cuda_warm_us,op25_hls_cold_us,op25_hls_warm_us,op27_hls_cold_us,op27_hls_warm_us,op26_r0auto_cold_us,op26_r0auto_warm_us,sglang_v2_cold_us,sglang_v2_warm_us,flashinfer_topk_cold_us,flashinfer_topk_warm_us,speedup_vs_base_gvr_multicta_cutedsl,speedup_vs_base_radix_cutedsl,speedup_vs_base_radix_single_cuda,speedup_vs_base_radix_multi_cuda,speedup_vs_base_op25_hls,speedup_vs_base_op27_hls,speedup_vs_base_op26_r0auto,speedup_vs_base_sglang_v2,speedup_vs_base_flashinfer_topk,mc_cluster_size,op25_ms_path,op27_ms_path,r0_arm,sglang_v2_cold_span_us
worst,512,fp32,8192,1,0.9004,10,12.637,11.373,12.807,11.368,8.299,7.78,16.904,15.279,36.383,31.994,10.787,9.686,10.854,9.713,10.136,8.521,5.749,5.011,11.528,10.753,0.987,1.523,0.748,0.347,1.171,1.164,1.247,2.198,1.096,1,ms_1cta,ms_1cta,plain,5.749
worst,512,fp32,16384,1,0.9004,22,17.694,16.356,17.781,16.353,12.376,11.8,20.792,18.159,36.782,32.511,11.944,10.833,11.946,10.826,12.528,11.19,7.462,6.578,12.173,11.156,0.995,1.43,0.851,0.481,1.481,1.481,1.412,2.371,1.454,1,ms_1cta,ms_1cta,plain,7.462
worst,512,fp32,32768,1,0.9004,12,21.48,19.583,21.466,19.612,20.123,19.441,28.056,23.978,39.264,34.839,13.888,12.397,13.987,12.394,18.502,16.548,11.242,9.293,11.461,10.807,1.001,1.067,0.766,0.547,1.547,1.536,1.161,1.911,1.874,1,ms_1cta,ms_1cta,plain,11.242
worst,512,fp32,65536,1,0.9004,32,36.763,34.966,25.565,23.812,19.755,19.154,43.56,34.716,41.403,36.521,13.523,11.837,13.6,11.829,18.702,17.045,10.146,8.79,12.51,11.599,1.438,1.861,0.844,0.888,2.719,2.703,1.966,3.624,2.939,4,msc_C4,msc_C4,mc,10.146
worst,512,fp32,131072,1,0.9004,14,24.52,22.28,16.496,15.442,19.91,19.242,72.103,54.871,44.215,38.554,14.048,12.7,14.134,12.696,20.301,19.087,10.797,9.439,14.866,13.249,1.486,1.232,0.34,0.555,1.745,1.735,1.208,2.271,1.649,4,msc_C8,msc_C8,mc,10.797
worst,512,fp32,262144,1,0.9004,22,70.999,67.457,31.941,30.406,20.024,19.276,129.44,95.402,49.104,42.314,15.637,14.354,15.635,14.346,25.624,24.038,15.314,12.691,19.994,17.364,2.223,3.546,0.549,1.446,4.54,4.541,2.771,4.636,3.551,4,msc_C8,msc_C8,mc,15.314
worst,512,fp32,524288,1,0.9004,2,65.293,59.658,28.051,25.857,19.765,18.959,242.967,175.569,63.627,52.613,18.714,17.544,18.712,17.563,35.122,33.08,20.92,17.37,26.261,21.372,2.328,3.303,0.269,1.026,3.489,3.489,1.859,3.121,2.486,4,msc_C8,msc_C8,mc,20.92
worst,512,fp32,1048576,1,0.9004,12,115.727,106.603,39.485,36.101,20.85,19.612,471.199,335.723,88.191,68.557,25.056,23.612,25.104,23.624,54.229,51.129,31.818,25.452,41.486,32.615,2.931,5.551,0.246,1.312,4.619,4.61,2.134,3.637,2.79,4,msc_C8,msc_C8,mc,31.818
worst,1024,bf16,4096,1,0.8496,52,10.358,8.888,10.072,8.796,5.84,5.05,15.307,14.658,38.853,33.837,9.997,8.856,10.013,8.852,9.958,8.738,,,,,1.028,1.774,0.677,0.267,1.036,1.035,1.04,,,1,ms_1cta,ms_1cta,plain,
worst,1024,bf16,8192,1,0.8496,26,11.725,10.653,11.827,10.618,6.947,6.426,17.19,16.271,39.051,34.308,11.398,10.271,11.43,10.273,12.2,11.064,,,,,0.991,1.688,0.682,0.3,1.029,1.026,0.961,,,1,ms_1cta,ms_1cta,plain,
