scenario,K,dtype,N,BS,hit_rate,layer,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,radix_single_cuda_cold_us,radix_single_cuda_warm_us,radix_multi_cuda_cold_us,radix_multi_cuda_warm_us,op25_hls_cold_us,op25_hls_warm_us,op27_hls_cold_us,op27_hls_warm_us,op26_r0auto_cold_us,op26_r0auto_warm_us,sglang_v2_cold_us,sglang_v2_warm_us,flashinfer_topk_cold_us,flashinfer_topk_warm_us,speedup_vs_base_gvr_multicta_cutedsl,speedup_vs_base_radix_cutedsl,speedup_vs_base_radix_single_cuda,speedup_vs_base_radix_multi_cuda,speedup_vs_base_op25_hls,speedup_vs_base_op27_hls,speedup_vs_base_op26_r0auto,speedup_vs_base_sglang_v2,speedup_vs_base_flashinfer_topk,mc_cluster_size,op25_ms_path,op27_ms_path,r0_arm,sglang_v2_cold_span_us
worst,2048,bf16,1048576,4,0.8501,40,167.184,163.694,61.373,58.2,22.824,21.256,337.862,279.263,81.235,72.961,40.0,33.817,39.155,33.814,40.349,37.697,,,,,2.724,7.325,0.495,2.058,4.18,4.27,4.143,,,4,msc_C8,msc_C8,mc,
worst,2048,bf16,1048576,8,0.8501,40,167.077,163.74,61.704,58.347,32.949,30.902,338.21,281.02,81.43,73.321,40.301,34.044,39.942,34.041,40.757,37.86,,,,,2.708,5.071,0.494,2.052,4.146,4.183,4.099,,,4,msc_C8,msc_C8,mc,
worst,2048,bf16,1048576,16,0.8501,40,168.32,164.196,62.632,58.435,62.936,59.754,339.504,283.636,86.272,77.023,77.754,66.287,76.707,66.244,41.49,37.954,,,,,2.687,2.674,0.496,1.951,2.165,2.194,4.057,,,4,msc_C8,msc_C8,mc,
worst,2048,bf16,1048576,32,0.8501,40,170.675,164.543,107.226,98.458,122.706,117.174,356.717,296.939,105.675,98.766,117.176,99.65,115.656,99.601,69.33,61.726,,,,,1.592,1.391,0.478,1.615,1.457,1.476,2.462,,,2,msc_C8,msc_C8,mc,
worst,2048,bf16,1048576,64,0.8501,40,192.848,184.718,146.558,134.948,229.043,225.537,405.271,396.888,174.368,168.625,178.243,175.167,177.773,175.216,86.016,77.481,,,,,1.316,0.842,0.476,1.106,1.082,1.085,2.242,,,2,ms_1cta,ms_1cta,mc,
worst,2048,fp16,524288,2,0.8501,41,89.08,86.391,38.203,35.916,14.563,13.428,174.43,151.29,60.306,54.982,30.994,26.168,30.419,26.397,26.459,24.226,,,,,2.332,6.117,0.511,1.477,2.874,2.928,3.367,,,4,msc_C8,msc_C8,mc,
worst,2048,fp16,524288,4,0.8501,41,89.042,86.772,38.435,36.225,17.418,16.23,175.173,151.928,60.406,55.482,29.594,26.524,30.134,26.706,26.925,24.582,,,,,2.317,5.112,0.508,1.474,3.009,2.955,3.307,,,4,msc_C8,msc_C8,mc,
worst,2048,fp16,524288,8,0.8501,41,89.355,86.801,38.912,36.467,22.531,20.749,176.113,152.856,60.742,55.985,29.802,26.687,30.294,26.863,27.222,24.778,,,,,2.296,3.966,0.507,1.471,2.998,2.95,3.282,,,4,msc_C8,msc_C8,mc,
worst,2048,fp16,524288,16,0.8501,41,89.949,87.149,39.445,36.595,32.256,30.163,176.446,153.65,63.562,58.715,58.131,51.941,58.712,52.074,27.925,24.855,,,,,2.28,2.789,0.51,1.415,1.547,1.532,3.221,,,4,msc_C8,msc_C8,mc,
worst,2048,fp16,524288,32,0.8501,41,91.184,87.429,60.787,56.209,61.336,58.024,182.104,159.656,78.25,75.306,43.285,35.274,41.312,35.272,39.929,36.082,,,,,1.5,1.487,0.501,1.165,2.107,2.207,2.284,,,2,msc_C4,msc_C4,mc,
worst,2048,fp16,524288,64,0.8501,41,95.153,87.695,66.365,57.149,119.304,113.798,187.392,159.834,122.502,116.267,91.592,86.374,92.299,86.408,45.038,36.667,,,,,1.434,0.798,0.508,0.777,1.039,1.031,2.113,,,2,ms_1cta,ms_1cta,mc,
worst,2048,fp16,1048576,2,0.8501,40,164.723,161.548,59.795,56.794,16.984,15.846,335.131,290.404,79.949,71.573,40.755,32.949,40.915,32.959,38.899,36.158,,,,,2.755,9.699,0.492,2.06,4.042,4.026,4.235,,,4,msc_C8,msc_C8,mc,
worst,2048,fp16,1048576,4,0.8501,40,165.017,162.098,60.306,57.181,22.608,20.94,336.187,290.624,80.954,72.498,40.131,33.295,39.978,33.292,39.437,36.523,,,,,2.736,7.299,0.491,2.038,4.112,4.128,4.184,,,4,msc_C8,msc_C8,mc,
worst,2048,fp16,1048576,8,0.8501,40,165.053,162.077,60.714,57.313,32.294,30.145,338.091,293.582,81.24,73.084,40.72,33.457,40.771,33.48,39.902,36.685,,,,,2.719,5.111,0.488,2.032,4.053,4.048,4.136,,,4,msc_C8,msc_C8,mc,
worst,2048,fp16,1048576,16,0.8501,40,166.163,162.425,61.592,57.453,61.438,58.191,338.664,294.668,86.019,76.781,77.166,65.399,76.632,65.368,40.592,36.778,,,,,2.698,2.705,0.491,1.932,2.153,2.168,4.093,,,4,msc_C8,msc_C8,mc,
worst,2048,fp16,1048576,32,0.8501,40,168.63,162.758,105.792,97.074,119.942,114.377,354.974,308.894,104.934,97.745,115.673,98.02,115.117,97.951,67.734,59.599,,,,,1.594,1.406,0.475,1.607,1.458,1.465,2.49,,,2,msc_C8,msc_C8,mc,
worst,2048,fp16,1048576,64,0.8501,40,190.003,181.775,146.018,134.421,222.715,219.689,402.716,395.04,173.131,167.039,172.84,170.338,172.837,170.415,84.963,76.18,,,,,1.301,0.853,0.472,1.097,1.099,1.099,2.236,,,2,ms_1cta,ms_1cta,mc,
worst,2048,fp32,524288,2,0.8501,41,86.799,81.794,35.97,33.612,20.314,18.857,251.066,182.752,73.131,61.659,33.454,30.982,33.379,30.973,26.054,23.87,22.146,18.465,29.43,24.673,2.413,4.273,0.346,1.187,2.595,2.6,3.331,3.919,2.949,4,msc_C8,msc_C8,mc,22.146
worst,2048,fp32,524288,4,0.8501,41,86.936,81.855,36.453,33.675,24.37,22.502,251.087,183.361,72.365,61.356,33.757,31.146,33.477,31.101,26.352,23.901,22.643,18.533,29.773,24.704,2.385,3.567,0.346,1.201,2.575,2.597,3.299,3.839,2.92,4,msc_C8,msc_C8,mc,22.643
worst,2048,fp32,524288,8,0.8501,41,87.266,81.985,37.165,33.949,31.616,29.257,250.511,183.251,72.758,61.796,44.875,41.66,44.899,41.645,27.123,24.142,23.286,18.728,30.397,24.854,2.348,2.76,0.348,1.199,1.945,1.944,3.217,3.747,2.871,4,msc_C4,msc_C4,mc,23.286
worst,2048,fp32,524288,16,0.8501,41,88.37,81.971,39.538,34.201,59.499,55.887,250.581,183.319,76.088,64.448,45.454,41.878,45.496,41.882,28.434,24.284,29.107,28.776,44.978,37.962,2.235,1.485,0.353,1.161,1.944,1.942,3.108,3.036,1.965,4,msc_C4,msc_C4,mc,29.107
worst,2048,fp32,524288,32,0.8501,41,93.206,82.11,63.616,53.139,116.227,109.639,263.741,184.161,91.311,78.348,49.955,44.234,49.984,44.234,44.571,35.462,100.197,77.09,50.818,39.449,1.465,0.802,0.353,1.021,1.866,1.865,2.091,0.93,1.834,2,msc_C4,msc_C4,mc,52.766
worst,2048,fp32,524288,64,0.8501,41,141.136,128.858,123.242,111.51,207.719,204.273,325.303,314.801,148.435,140.4,117.061,112.157,117.051,112.122,66.651,54.758,155.205,134.129,90.698,80.564,1.145,0.679,0.434,0.951,1.206,1.206,2.118,0.909,1.556,2,ms_1cta,ms_1cta,mc,80.347
worst,2048,fp32,1048576,2,0.8501,40,159.117,151.093,55.765,52.018,23.883,21.948,478.159,344.069,99.784,80.554,46.082,42.755,46.218,42.769,37.728,35.247,33.501,26.676,45.205,36.149,2.853,6.662,0.333,1.595,3.453,3.443,4.217,4.75,3.52,4,msc_C8,msc_C8,mc,33.501
worst,2048,fp32,1048576,4,0.8501,40,159.291,151.193,56.069,52.108,31.355,28.749,478.407,343.751,100.005,80.975,46.027,42.796,46.106,42.833,38.203,35.267,33.893,26.76,45.605,36.248,2.841,5.08,0.333,1.593,3.461,3.455,4.17,4.7,3.493,4,msc_C8,msc_C8,mc,33.893
worst,2048,fp32,1048576,8,0.8501,40,159.887,151.325,57.294,52.368,59.437,55.737,478.096,344.257,100.646,81.434,68.165,64.364,68.165,64.362,39.29,35.549,35.274,27.036,46.805,36.463,2.791,2.69,0.334,1.589,2.346,2.346,4.069,4.533,3.416,4,msc_C4,msc_C4,mc,35.274
worst,2048,fp32,1048576,16,0.8501,40,163.982,151.426,64.357,52.742,116.078,109.48,495.986,344.339,111.762,85.402,70.107,64.636,70.325,64.636,45.206,35.73,45.574,43.344,72.832,58.516,2.548,1.413,0.331,1.467,2.339,2.332,3.627,3.598,2.252,4,msc_C4,msc_C4,mc,45.574
worst,2048,fp32,1048576,32,0.8501,40,217.965,208.558,145.782,134.362,227.874,221.909,616.692,606.706,144.283,136.911,97.406,90.285,97.789,90.523,84.803,75.817,178.715,157.632,87.723,77.364,1.495,0.957,0.353,1.511,2.238,2.229,2.57,1.22,2.485,2,msc_C4,msc_C4,mc,92.253
worst,2048,fp32,1048576,64,0.8501,40,263.502,245.618,229.051,207.134,446.826,441.534,620.599,610.91,227.966,219.838,212.035,208.003,211.915,207.893,111.011,96.777,278.979,253.208,150.059,139.03,1.15,0.59,0.425,1.156,1.243,1.243,2.374,0.945,1.756,2,ms_1cta,ms_1cta,mc,142.291
