cell,BS,arm_us,pr_us,x_arm,x_v3,exact
flash_512k_L10,32,30.455,21.19655,0.696,1.255,OK
flash_512k_L10,64,34.238,26.743650000000002,0.7811,1.2019,OK
flash_512k_L10,128,41.799,37.76275,0.9034,1.1565,OK
flash_512k_L10,256,58.418,83.08535,1.4223,1.3226,OK
flash_512k_L10,512,102.775,149.5068,1.4547,1.288,OK
flash_512k_L10,1024,164.002,272.31,1.6604,1.3526,OK
flash_512k_L22,2,24.908,20.9773,0.8422,2.113,OK
flash_512k_L22,4,25.13,21.382150000000003,0.8509,2.0564,OK
flash_512k_L22,8,26.823,24.10845,0.8988,2.0546,OK
flash_512k_L22,16,28.305,24.6365,0.8704,1.5043,OK
flash_512k_L22,32,29.69,25.9324,0.8734,1.4939,OK
flash_512k_L22,64,33.126,34.8605,1.0523,1.4193,OK
flash_512k_L22,128,40.327,46.07465,1.1425,1.3769,OK
flash_512k_L22,256,56.367,120.3377,2.1349,1.8729,OK
flash_512k_L22,512,99.199,219.29175,2.2106,1.8426,OK
flash_512k_L22,1024,158.573,406.25584999999995,2.562,1.9666,OK
flash_512k_L34,2,22.61,14.804649999999999,0.6548,1.3569,OK
flash_512k_L34,4,23.091,15.30545,0.6628,1.3511,OK
flash_512k_L34,8,24.704,16.68625,0.6754,1.475,OK
flash_512k_L34,16,26.72,17.2078,0.644,1.1081,OK
flash_512k_L34,32,29.008,18.31015,0.6312,1.0768,OK
flash_512k_L34,64,32.753,24.13415,0.7369,1.0087,OK
flash_512k_L34,128,40.106,32.4088,0.8081,0.9631,OK
flash_512k_L34,256,56.123,63.6361,1.1339,0.9875,OK
flash_512k_L34,512,97.196,113.4851,1.1676,0.9484,OK
flash_512k_L34,1024,155.821,202.4279,1.2991,0.9764,OK
flash_64k_L10,2,22.552,10.1631,0.4507,1.0694,OK
flash_64k_L10,4,22.294,10.4719,0.4697,1.102,OK
flash_64k_L10,8,22.158,10.4848,0.4732,1.0984,OK
flash_64k_L10,16,22.358,10.6784,0.4776,1.1093,OK
flash_64k_L10,32,22.492,10.908700000000001,0.485,1.105,OK
flash_64k_L10,64,24.58,11.33895,0.4613,1.093,OK
flash_64k_L10,128,26.98,12.25105,0.4541,1.0839,OK
flash_64k_L10,256,31.142,15.289299999999999,0.491,0.9921,OK
flash_64k_L10,512,51.946,27.5117,0.5296,1.0367,OK
flash_64k_L10,1024,79.524,49.22175,0.619,1.1116,OK
flash_64k_L22,2,21.029,11.4863,0.5462,1.279,OK
flash_64k_L22,4,22.514,11.83825,0.5258,1.3124,OK
flash_64k_L22,8,22.702,11.878200000000001,0.5232,1.3018,OK
flash_64k_L22,16,23.006,12.108649999999999,0.5263,1.2793,OK
flash_64k_L22,32,23.909,12.337399999999999,0.516,1.2668,OK
flash_64k_L22,64,24.727,12.76305,0.5162,1.2465,OK
flash_64k_L22,128,28.007,13.705549999999999,0.4894,1.2163,OK
flash_64k_L22,256,31.244,17.787,0.5693,1.0793,OK
flash_64k_L22,512,51.168,32.4672,0.6345,1.1362,OK
flash_64k_L22,1024,80.801,57.79285,0.7152,1.1949,OK
flash_64k_L34,2,20.134,10.33595,0.5134,1.1957,OK
flash_64k_L34,4,21.775,10.6318,0.4883,1.2155,OK
flash_64k_L34,8,21.909,10.673549999999999,0.4872,1.2137,OK
flash_64k_L34,16,22.2,10.65595,0.48,1.1695,OK
flash_64k_L34,32,23.173,10.959850000000001,0.473,1.1613,OK
flash_64k_L34,64,24.422,11.348600000000001,0.4647,1.1435,OK
flash_64k_L34,128,26.479,12.2462,0.4625,1.1178,OK
flash_64k_L34,256,30.681,15.48615,0.5048,1.0289,OK
flash_64k_L34,512,50.39,27.79005,0.5515,1.0803,OK
flash_64k_L34,1024,78.453,49.8234,0.6351,1.1645,OK
flash_8k_L10,2,12.169,8.07675,0.6637,1.7621,OK
flash_8k_L10,4,12.16,7.8527,0.6458,1.7006,OK
flash_8k_L10,8,12.271,8.0591,0.6567,1.717,OK
