uuid,model,cs,N,K,band,base_us
pro_1024k_L54,pro,8,262127,1024,32k-1M,20.378
pro_1024k_L56,pro,8,262127,1024,32k-1M,20.498
pro_1024k_L58,pro,8,262127,1024,32k-1M,19.901
pro_1024k_L60,pro,8,262127,1024,32k-1M,25.872
pro_128k_L02,pro,1,32771,1024,32k-1M,15.19
pro_128k_L04,pro,1,32771,1024,32k-1M,13.614
pro_128k_L06,pro,1,32771,1024,32k-1M,16.803
pro_128k_L08,pro,1,32771,1024,32k-1M,15.669
pro_128k_L10,pro,1,32771,1024,32k-1M,16.315
pro_128k_L12,pro,1,32771,1024,32k-1M,13.416
pro_128k_L14,pro,1,32771,1024,32k-1M,13.224
pro_128k_L16,pro,1,32771,1024,32k-1M,13.861
pro_128k_L18,pro,1,32771,1024,32k-1M,13.69
pro_128k_L20,pro,1,32771,1024,32k-1M,13.459
pro_128k_L22,pro,1,32771,1024,32k-1M,14.594
pro_128k_L24,pro,1,32771,1024,32k-1M,13.846
pro_128k_L26,pro,1,32771,1024,32k-1M,14.674
pro_128k_L28,pro,1,32771,1024,32k-1M,13.632
pro_128k_L30,pro,1,32771,1024,32k-1M,13.59
pro_128k_L32,pro,1,32771,1024,32k-1M,15.042
pro_128k_L34,pro,1,32771,1024,32k-1M,14.168
pro_128k_L36,pro,1,32771,1024,32k-1M,13.506
pro_128k_L38,pro,1,32771,1024,32k-1M,14.654
pro_128k_L40,pro,1,32771,1024,32k-1M,13.224
pro_128k_L42,pro,1,32771,1024,32k-1M,15.637
pro_128k_L44,pro,1,32771,1024,32k-1M,13.549
pro_128k_L46,pro,1,32771,1024,32k-1M,14.408
pro_128k_L48,pro,1,32771,1024,32k-1M,13.613
pro_128k_L50,pro,1,32771,1024,32k-1M,14.098
pro_128k_L52,pro,1,32771,1024,32k-1M,14.961
pro_128k_L54,pro,1,32771,1024,32k-1M,13.531
pro_128k_L56,pro,1,32771,1024,32k-1M,15.173
pro_128k_L58,pro,1,32771,1024,32k-1M,13.792
pro_128k_L60,pro,1,32771,1024,32k-1M,13.422
pro_16k_L02,pro,1,4099,1024,4k-32k,10.179
pro_16k_L04,pro,1,4099,1024,4k-32k,9.928
pro_16k_L06,pro,1,4099,1024,4k-32k,9.71
pro_16k_L08,pro,1,4099,1024,4k-32k,12.499
pro_16k_L10,pro,1,4099,1024,4k-32k,12.389
pro_16k_L12,pro,1,4099,1024,4k-32k,9.699
pro_16k_L14,pro,1,4099,1024,4k-32k,9.797
pro_16k_L16,pro,1,4099,1024,4k-32k,9.539
pro_16k_L18,pro,1,4099,1024,4k-32k,9.55
pro_16k_L20,pro,1,4099,1024,4k-32k,9.565
pro_16k_L22,pro,1,4099,1024,4k-32k,9.894
pro_16k_L24,pro,1,4099,1024,4k-32k,9.822
pro_16k_L26,pro,1,4099,1024,4k-32k,9.584
pro_16k_L28,pro,1,4099,1024,4k-32k,9.606
pro_16k_L30,pro,1,4099,1024,4k-32k,9.878
pro_16k_L32,pro,1,4099,1024,4k-32k,9.779
pro_16k_L34,pro,1,4099,1024,4k-32k,9.563
pro_16k_L36,pro,1,4099,1024,4k-32k,9.773
pro_16k_L38,pro,1,4099,1024,4k-32k,11.928
pro_16k_L40,pro,1,4099,1024,4k-32k,12.43
pro_16k_L42,pro,1,4099,1024,4k-32k,12.157
pro_16k_L44,pro,1,4099,1024,4k-32k,12.456
pro_16k_L46,pro,1,4099,1024,4k-32k,9.698
pro_16k_L48,pro,1,4099,1024,4k-32k,9.693
pro_16k_L50,pro,1,4099,1024,4k-32k,12.141
pro_16k_L52,pro,1,4099,1024,4k-32k,12.693
pro_16k_L54,pro,1,4099,1024,4k-32k,12.419
pro_16k_L56,pro,1,4099,1024,4k-32k,12.733
pro_16k_L58,pro,1,4099,1024,4k-32k,11.963
pro_16k_L60,pro,1,4099,1024,4k-32k,12.757
pro_256k_L02,pro,4,65539,1024,32k-1M,17.112
pro_256k_L04,pro,4,65539,1024,32k-1M,18.426
pro_256k_L06,pro,4,65539,1024,32k-1M,17.018
pro_256k_L08,pro,4,65539,1024,32k-1M,17.984
pro_256k_L10,pro,4,65539,1024,32k-1M,19.03
pro_256k_L12,pro,4,65539,1024,32k-1M,14.528
pro_256k_L14,pro,4,65539,1024,32k-1M,14.611
