model,isl,layer,dtype,N,K,s,z,mode,admit,band,miss
flash,32k,4,bf16,8195,512,4096,3.0,iid,1.22607421875,0.379150390625,0
flash,32k,6,fp32,8195,512,1024,3.0,strat,1.37158203125,0.770751953125,0
flash,32k,6,fp32,8195,512,1024,3.0,iid,1.44580078125,0.8203125,0
flash,32k,6,fp32,8195,512,2048,3.0,strat,1.26513671875,0.54150390625,0
flash,32k,6,fp32,8195,512,2048,3.0,iid,1.30078125,0.5703125,0
flash,32k,6,fp32,8195,512,4096,3.0,strat,1.163818359375,0.36279296875,0
flash,32k,6,fp32,8195,512,4096,3.0,iid,1.19384765625,0.3798828125,0
flash,32k,6,bf16,8195,512,1024,3.0,strat,1.375,0.773681640625,0
flash,32k,6,bf16,8195,512,1024,3.0,iid,1.447509765625,0.821533203125,0
flash,32k,6,bf16,8195,512,2048,3.0,strat,1.26708984375,0.54345703125,0
flash,32k,6,bf16,8195,512,2048,3.0,iid,1.302978515625,0.572509765625,0
flash,32k,6,bf16,8195,512,4096,3.0,strat,1.164306640625,0.36328125,0
flash,32k,6,bf16,8195,512,4096,3.0,iid,1.195556640625,0.381591796875,0
pro,32k,2,fp32,8195,1024,1024,3.0,strat,1.2440185546875,0.5091552734375,0
pro,32k,2,fp32,8195,1024,1024,3.0,iid,1.2412109375,0.47705078125,0
pro,32k,2,fp32,8195,1024,2048,3.0,strat,1.183349609375,0.352294921875,0
pro,32k,2,fp32,8195,1024,2048,3.0,iid,1.1805419921875,0.3511962890625,0
pro,32k,2,fp32,8195,1024,4096,3.0,strat,1.117431640625,0.2442626953125,0
pro,32k,2,fp32,8195,1024,4096,3.0,iid,1.125,0.2510986328125,0
pro,32k,2,bf16,8195,1024,1024,3.0,strat,1.247314453125,0.5118408203125,0
pro,32k,2,bf16,8195,1024,1024,3.0,iid,1.2435302734375,0.478271484375,0
pro,32k,2,bf16,8195,1024,2048,3.0,strat,1.1875,0.355712890625,0
pro,32k,2,bf16,8195,1024,2048,3.0,iid,1.182373046875,0.352294921875,0
pro,32k,2,bf16,8195,1024,4096,3.0,strat,1.119140625,0.24462890625,0
pro,32k,2,bf16,8195,1024,4096,3.0,iid,1.1265869140625,0.250732421875,0
pro,32k,4,fp32,8195,1024,1024,3.0,strat,1.2677001953125,0.493896484375,0
pro,32k,4,fp32,8195,1024,1024,3.0,iid,1.2779541015625,0.5374755859375,0
pro,32k,4,fp32,8195,1024,2048,3.0,strat,1.193603515625,0.3682861328125,0
pro,32k,4,fp32,8195,1024,2048,3.0,iid,1.215576171875,0.377685546875,0
pro,32k,4,fp32,8195,1024,4096,3.0,strat,1.1015625,0.240966796875,0
pro,32k,4,fp32,8195,1024,4096,3.0,iid,1.129150390625,0.2506103515625,0
pro,32k,4,bf16,8195,1024,1024,3.0,strat,1.2913818359375,0.5045166015625,0
pro,32k,4,bf16,8195,1024,1024,3.0,iid,1.2950439453125,0.545166015625,0
pro,32k,4,bf16,8195,1024,2048,3.0,strat,1.2030029296875,0.371337890625,0
pro,32k,4,bf16,8195,1024,2048,3.0,iid,1.232421875,0.3856201171875,0
pro,32k,4,bf16,8195,1024,4096,3.0,strat,1.112548828125,0.2379150390625,0
pro,32k,4,bf16,8195,1024,4096,3.0,iid,1.1402587890625,0.24755859375,0
pro,32k,6,fp32,8195,1024,1024,3.0,strat,1.239013671875,0.4854736328125,0
pro,32k,6,fp32,8195,1024,1024,3.0,iid,1.249755859375,0.50146484375,0
pro,32k,6,fp32,8195,1024,2048,3.0,strat,1.1610107421875,0.3421630859375,0
pro,32k,6,fp32,8195,1024,2048,3.0,iid,1.1900634765625,0.3533935546875,0
pro,32k,6,fp32,8195,1024,4096,3.0,strat,1.121826171875,0.25341796875,0
pro,32k,6,fp32,8195,1024,4096,3.0,iid,1.1356201171875,0.2491455078125,0
pro,32k,6,bf16,8195,1024,1024,3.0,strat,1.2403564453125,0.4866943359375,0
pro,32k,6,bf16,8195,1024,1024,3.0,iid,1.2515869140625,0.5028076171875,0
pro,32k,6,bf16,8195,1024,2048,3.0,strat,1.16259765625,0.3433837890625,0
pro,32k,6,bf16,8195,1024,2048,3.0,iid,1.1929931640625,0.3558349609375,0
pro,32k,6,bf16,8195,1024,4096,3.0,strat,1.123779296875,0.2545166015625,0
pro,32k,6,bf16,8195,1024,4096,3.0,iid,1.1376953125,0.2508544921875,0
