uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
v32_64k_L40,v32,64k,40,65551,2048,0.513,19.8957,12.63025,1.5752419785831635,18.3439,11.66385,True
v32_64k_L41,v32,64k,41,65551,2048,0.595,16.604650000000003,11.923,1.392657049400319,14.9661,10.763,True
v32_64k_L42,v32,64k,42,65551,2048,0.586,17.1935,9.1471,1.8796667796350757,15.802950000000001,8.25585,True
v32_64k_L43,v32,64k,43,65551,2048,0.396,17.63325,12.43025,1.4185756521389354,16.1519,11.26225,True
v32_64k_L44,v32,64k,44,65551,2048,0.792,23.27655,9.7663,2.3833539825727246,21.9327,9.0959,True
v32_64k_L45,v32,64k,45,65551,2048,0.579,17.243,12.25575,1.406931440344328,15.9647,11.2542,True
v32_64k_L46,v32,64k,46,65551,2048,0.399,17.936,9.657549999999999,1.8571998074045697,16.444599999999998,8.8911,True
v32_64k_L47,v32,64k,47,65551,2048,0.496,24.247700000000002,9.851049999999999,2.4614330452083792,22.6925,9.11825,True
v32_64k_L48,v32,64k,48,65551,2048,0.609,18.0989,9.6623,1.873146145327717,16.555049999999998,8.9039,True
v32_64k_L49,v32,64k,49,65551,2048,0.608,17.58695,9.430299999999999,1.864940669968082,16.05905,8.3423,True
v32_64k_L50,v32,64k,50,65551,2048,0.444,19.31675,9.7232,1.9866659124568042,17.92295,8.78065,True
v32_64k_L51,v32,64k,51,65551,2048,0.674,17.5902,9.3439,1.882532989436959,15.996649999999999,8.43815,True
v32_64k_L52,v32,64k,52,65551,2048,0.784,16.699,9.6622,1.728281343793339,15.31815,8.9327,True
v32_64k_L53,v32,64k,53,65551,2048,0.726,17.22835,9.5246,1.8088266173907566,15.770850000000001,8.64475,True
v32_64k_L54,v32,64k,54,65551,2048,0.745,16.6703,12.1535,1.3716460278931997,15.10075,10.9775,True
v32_64k_L55,v32,64k,55,65551,2048,0.771,16.8959,12.4671,1.3552389890190983,15.302299999999999,11.23995,True
v32_64k_L56,v32,64k,56,65551,2048,0.81,22.534200000000002,12.0974,1.862730834724817,21.0541,11.302200000000001,True
v32_64k_L57,v32,64k,57,65551,2048,0.755,16.72795,9.758299999999998,1.714227888054272,15.15,8.6334,True
v32_64k_L58,v32,64k,58,65551,2048,0.865,24.23,12.38065,1.957086259606725,22.81085,11.14865,True
v32_64k_L59,v32,64k,59,65551,2048,0.869,22.26205,9.25585,2.4051869898496623,20.707,8.410950000000001,True
v32_64k_L60,v32,64k,60,65551,2048,0.875,23.3485,12.7919,1.8252566076970584,21.97905,11.52935,True
v32_8k_L03,v32,8k,3,8207,2048,0.9,11.6286,7.8558,1.480256625677843,10.1374,7.24955,True
v32_8k_L04,v32,8k,4,8207,2048,0.7,10.57915,7.88445,1.3417739981863035,9.6848,7.26875,True
v32_8k_L05,v32,8k,5,8207,2048,0.914,11.6927,8.17425,1.4304309263846835,10.2319,7.5759,True
v32_8k_L06,v32,8k,6,8207,2048,0.887,13.7663,7.708699999999999,1.7858134315773089,12.367799999999999,7.10215,True
v32_8k_L07,v32,8k,7,8207,2048,0.864,14.5724,7.371149999999999,1.9769506793376883,12.93745,6.7231000000000005,True
