hw,K,dtype,N,BS,gvr_cuda_cold_us,gvr_cuda_warm_us,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,gvr_cutedsl_rs_cold_us,gvr_cutedsl_rs_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,gvr_op8_cold_us,gvr_op8_warm_us,gvr_port_cold_us,gvr_port_warm_us,gvr_mt_cold_us,gvr_mt_warm_us,gvr_sandwich_cold_us,gvr_sandwich_warm_us,radix_single_cuda_cold_us,radix_single_cuda_warm_us,radix_multi_cuda_cold_us,radix_multi_cuda_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,radix_cutedsl_single_cold_us,radix_cutedsl_single_warm_us,radix_cutedsl_multi_cold_us,radix_cutedsl_multi_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,gvr_cold_speedup_vs_gvr_cutedsl,gvr_cold_speedup_vs_gvr_cutedsl_rs,gvr_cold_speedup_vs_gvr_multicta_cutedsl,gvr_cold_speedup_vs_gvr_op8,gvr_cold_speedup_vs_gvr_port,gvr_cold_speedup_vs_gvr_mt,gvr_cold_speedup_vs_gvr_sandwich,gvr_cold_speedup_vs_radix_single_cuda,gvr_cold_speedup_vs_radix_multi_cuda,gvr_cold_speedup_vs_radix_cutedsl,gvr_cold_speedup_vs_radix_cutedsl_single,gvr_cold_speedup_vs_radix_cutedsl_multi,gvr_cold_speedup_vs_sglang_streaming
B300,512,bf16,16384,4,11.048,9.359,11.408,9.537,10.49,8.735,10.794,9.341,9.85,8.588,10.175,9.528,,,,,18.702,16.895,35.848,32.429,9.472,8.7,9.53,8.695,14.861,13.539,,,1.033,0.949,0.977,0.892,0.921,,,1.693,3.245,0.857,0.863,1.345,
B300,512,bf16,16384,8,10.984,9.353,11.266,9.55,10.454,8.74,10.832,9.368,9.954,8.588,10.108,9.548,,,,,18.691,16.928,35.733,32.34,9.496,8.705,9.478,8.71,14.939,13.667,,,1.026,0.952,0.986,0.906,0.92,,,1.702,3.253,0.865,0.863,1.36,
B300,512,bf16,16384,16,10.963,9.373,11.389,9.546,10.43,8.764,10.765,9.376,10.062,8.616,11.703,11.439,,,,,18.576,16.954,34.699,32.572,9.451,8.749,9.419,8.746,14.81,13.668,,,1.039,0.951,0.982,0.918,1.067,,,1.694,3.165,0.862,0.859,1.351,
B300,512,bf16,16384,32,10.982,9.437,11.318,9.564,10.701,8.833,10.837,9.398,10.242,8.686,11.252,9.482,,,,,18.632,16.998,34.386,32.507,9.542,8.768,9.534,8.767,15.166,13.933,,,1.031,0.974,0.987,0.933,1.025,,,1.697,3.131,0.869,0.868,1.381,
B300,512,bf16,16384,64,11.13,9.492,11.306,9.66,10.741,8.943,11.03,9.51,10.421,8.884,11.35,10.805,,,,,18.709,17.05,35.65,33.316,9.65,8.822,9.656,8.814,15.32,13.985,,,1.016,0.965,0.991,0.936,1.02,,,1.681,3.203,0.867,0.868,1.377,
B300,512,bf16,16384,128,11.717,9.609,11.888,9.785,11.229,9.057,11.496,9.624,10.902,9.023,12.141,9.611,,,,,18.974,17.188,42.698,41.421,10.118,8.922,10.114,8.914,27.821,25.933,,,1.015,0.958,0.981,0.931,1.036,,,1.619,3.644,0.864,0.863,2.374,
B300,512,bf16,16384,256,14.83,12.502,14.99,12.292,14.333,11.708,14.922,12.316,14.126,11.455,14.873,12.293,,,,,27.472,25.84,78.904,76.992,18.322,16.551,18.323,16.549,52.842,50.065,,,1.011,0.966,1.006,0.953,1.003,,,1.852,5.32,1.235,1.236,3.563,
B300,512,bf16,16384,512,25.168,21.958,25.91,22.203,24.672,20.906,25.128,21.66,23.589,20.024,25.165,22.199,,,,,48.726,46.895,140.39,138.351,34.19,31.648,34.144,31.646,90.576,86.226,,,1.029,0.98,0.998,0.937,1.0,,,1.936,5.578,1.358,1.357,3.599,
B300,512,bf16,16384,1024,39.304,35.014,40.248,35.091,38.203,32.965,38.501,34.736,36.179,32.035,40.107,35.067,,,,,79.47,77.552,256.6,254.499,58.232,54.291,58.232,54.314,178.646,170.672,,,1.024,0.972,0.98,0.92,1.02,,,2.022,6.529,1.482,1.482,4.545,
B300,512,bf16,16384,2048,70.808,65.718,71.998,65.844,67.792,61.295,70.05,65.434,65.122,60.113,72.028,65.824,,,,,151.523,149.278,505.694,503.686,113.979,106.9,113.995,106.909,355.17,339.263,,,1.017,0.957,0.989,0.92,1.017,,,2.14,7.142,1.61,1.61,5.016,
