scenario,K,N,BS,arm,us_cold,us_warm
best,512,65536,1,radix_multi_cuda,40.361599999999996,35.80992
best,512,65536,1,op27_hls,19.8368,18.44992
best,512,65536,1,op26_r0auto,13.848,12.36032
best,512,65536,1,sglang_v2,9.4176,8.32128
best,512,65536,1,flashinfer_topk,12.587200000000001,11.61472
best,512,65536,2,gvr_cutedsl,23.950400000000002,22.48192
best,512,65536,2,radix_cutedsl,18.6992,17.912959999999998
best,512,65536,2,gvr_multicta_cutedsl,19.0864,17.34528
best,512,65536,2,radix_single_cuda,42.33285,33.6301
best,512,65536,2,radix_multi_cuda,39.54725,35.113620000000004
best,512,65536,2,op27_hls,20.1904,18.516479999999998
best,512,65536,2,op26_r0auto,14.0624,12.40448
best,512,65536,2,sglang_v2,9.408,8.35264
best,512,65536,2,flashinfer_topk,12.553600000000001,11.61538
best,512,65536,4,gvr_cutedsl,24.176,22.6221
best,512,65536,4,radix_cutedsl,19.312,18.595200000000002
best,512,65536,4,gvr_multicta_cutedsl,19.2608,17.32738
best,512,65536,4,radix_single_cuda,42.2368,33.49892
best,512,65536,4,radix_multi_cuda,38.152,35.37154
best,512,65536,4,op27_hls,20.0944,18.50752
best,512,65536,4,op26_r0auto,14.3184,12.408959999999999
best,512,65536,4,sglang_v2,9.392,8.39104
best,512,65536,4,flashinfer_topk,12.624,11.61282
best,512,65536,8,gvr_cutedsl,24.2992,22.65602
best,512,65536,8,radix_cutedsl,19.864,18.919040000000003
best,512,65536,8,gvr_multicta_cutedsl,19.5104,17.54816
best,512,65536,8,radix_single_cuda,42.45925,33.70306
best,512,65536,8,radix_multi_cuda,38.1344,35.5904
best,512,65536,8,op27_hls,20.398400000000002,18.65984
best,512,65536,8,op26_r0auto,14.425600000000001,12.6272
best,512,65536,8,sglang_v2,9.52645,8.4685
best,512,65536,8,flashinfer_topk,12.884799999999998,11.70432
best,512,65536,16,gvr_cutedsl,24.5424,22.64066
best,512,65536,16,radix_cutedsl,20.6496,19.0285
