model,K,dtype,layer,hit_rate,op,us_cold,us_warm,vdiff,recall,n_neg
flash,512,bf16,32,0.3691,op26_1cta,14.048,11.853,0.0,1.0,0
flash,512,bf16,32,0.3691,op26_mc,12.635,10.440,0.0,1.0,0
flash,512,bf16,32,0.3691,op26_r0auto,15.837,13.672,0.0,1.0,0
flash,512,bf16,32,0.3691,op27_hls,24.725,19.487,0.0,1.0,0
flash,512,bf16,32,0.3691,radix_cutedsl,14.758,13.404,0.0,1.0,0
flash,512,bf16,32,0.3691,radix_multi_cuda,38.326,34.180,0.0,1.0,0
flash,512,bf16,32,0.3691,radix_single_cuda,21.578,19.622,0.0,1.0,0
flash,512,bf16,34,0.3926,gvr_cutedsl,12.672,10.561,0.0,1.0,0
flash,512,bf16,34,0.3926,gvr_multicta_cutedsl,11.154,9.106,0.0,1.0,0
flash,512,bf16,34,0.3926,op21_legacy,21.430,18.849,0.0,1.0,0
flash,512,bf16,34,0.3926,op26_1cta,12.677,10.506,0.0,1.0,0
flash,512,bf16,34,0.3926,op26_mc,11.096,9.105,0.0,1.0,0
flash,512,bf16,34,0.3926,op26_r0auto,16.133,13.679,0.0,1.0,0
flash,512,bf16,34,0.3926,op27_hls,24.040,18.890,0.0,1.0,0
flash,512,bf16,34,0.3926,radix_cutedsl,14.357,13.421,0.0,1.0,0
flash,512,bf16,34,0.3926,radix_multi_cuda,38.168,33.941,0.0,1.0,0
flash,512,bf16,34,0.3926,radix_single_cuda,21.856,19.747,0.0,1.0,0
flash,512,bf16,36,0.748,gvr_cutedsl,15.586,12.931,0.0,1.0,0
flash,512,bf16,36,0.748,gvr_multicta_cutedsl,14.378,11.481,0.0,1.0,0
flash,512,bf16,36,0.748,op21_legacy,16.387,13.931,0.0,1.0,0
flash,512,bf16,36,0.748,op26_1cta,14.912,12.800,0.0,1.0,0
flash,512,bf16,36,0.748,op26_mc,13.834,11.459,0.0,1.0,0
flash,512,bf16,36,0.748,op26_r0auto,13.685,11.704,0.0,1.0,0
flash,512,bf16,36,0.748,op27_hls,16.227,13.901,0.0,1.0,0
flash,512,bf16,36,0.748,radix_cutedsl,14.133,13.245,0.0,1.0,0
flash,512,bf16,36,0.748,radix_multi_cuda,38.882,34.584,0.0,1.0,0
flash,512,bf16,36,0.748,radix_single_cuda,21.936,19.667,0.0,1.0,0
flash,512,bf16,38,0.2559,gvr_cutedsl,13.787,11.501,0.0,1.0,0
flash,512,bf16,38,0.2559,gvr_multicta_cutedsl,12.275,9.940,0.0,1.0,0
flash,512,bf16,38,0.2559,op21_legacy,23.662,20.763,0.0,1.0,0
flash,512,bf16,38,0.2559,op26_1cta,13.702,11.440,0.0,1.0,0
flash,512,bf16,38,0.2559,op26_mc,12.302,9.931,0.0,1.0,0
flash,512,bf16,38,0.2559,op26_r0auto,14.597,12.396,0.0,1.0,0
flash,512,bf16,38,0.2559,op27_hls,26.203,20.878,0.0,1.0,0
flash,512,bf16,38,0.2559,radix_cutedsl,14.549,13.237,0.0,1.0,0
flash,512,bf16,38,0.2559,radix_multi_cuda,38.381,34.401,0.0,1.0,0
flash,512,bf16,38,0.2559,radix_single_cuda,22.119,19.932,0.0,1.0,0
