scenario,K,N,arm,us_cold,us_warm
best,1024,131072,sglang_v2,11.7168,10.18624
best,1024,131072,flashinfer_topk,15.52485,13.913620000000002
best,1024,262144,gvr_cutedsl,42.2576,38.7085
best,1024,262144,radix_cutedsl,19.9376,19.209
best,1024,262144,gvr_multicta_cutedsl,24.644849999999998,22.80642
best,1024,262144,radix_single_cuda,129.03375,94.45322
best,1024,262144,radix_multi_cuda,49.184050000000006,43.097660000000005
best,1024,262144,op27_hls,17.2928,15.909780000000001
best,1024,262144,op26_r0auto,18.288,16.6586
best,1024,262144,sglang_v2,14.16,11.825940000000001
best,1024,262144,flashinfer_topk,18.7024,15.820799999999998
best,1024,524288,gvr_cutedsl,67.12644999999999,61.582800000000006
best,1024,524288,radix_cutedsl,19.73285,18.91712
best,1024,524288,gvr_multicta_cutedsl,29.851200000000002,27.25636
best,1024,524288,radix_single_cuda,242.53304999999997,174.29842000000002
best,1024,524288,radix_multi_cuda,64.6497,54.27716
best,1024,524288,op27_hls,29.8112,28.16836
best,1024,524288,op26_r0auto,24.7632,22.502419999999997
best,1024,524288,sglang_v2,22.62885,18.89668
best,1024,524288,flashinfer_topk,25.8688,21.06116
best,1024,1048576,gvr_cutedsl,118.3186,109.24682000000001
best,1024,1048576,radix_cutedsl,20.488,19.231360000000002
best,1024,1048576,gvr_multicta_cutedsl,41.3632,37.845800000000004
best,1024,1048576,radix_single_cuda,469.82135,333.56578
best,1024,1048576,radix_multi_cuda,89.60335,70.91272000000001
best,1024,1048576,op27_hls,42.830400000000004,41.294760000000004
best,1024,1048576,op26_r0auto,36.744,33.88548
best,1024,1048576,sglang_v2,32.58565,26.06784
best,1024,1048576,flashinfer_topk,40.39525,31.34404
best,2048,8192,gvr_cutedsl,14.09275,12.600959999999999
best,2048,8192,radix_cutedsl,7.96,7.26204
best,2048,8192,gvr_multicta_cutedsl,14.06715,12.60344
best,2048,8192,radix_single_cuda,17.30875,15.671
best,2048,8192,radix_multi_cuda,24.676650000000002,22.10106
best,2048,8192,op27_hls,12.027149999999999,10.728959999999999
best,2048,8192,op26_r0auto,11.10075,9.68636
best,2048,8192,sglang_v2,5.731199999999999,4.77248
best,2048,8192,flashinfer_topk,12.203100000000001,11.46362
best,2048,16384,gvr_cutedsl,14.18235,12.57916
best,2048,16384,radix_cutedsl,11.4335,10.80128
best,2048,16384,gvr_multicta_cutedsl,14.183950000000001,12.579139999999999
best,2048,16384,radix_single_cuda,20.72635,18.12732
best,2048,16384,radix_multi_cuda,26.494349999999997,24.0729
best,2048,16384,op27_hls,14.305549999999998,12.73276
best,2048,16384,op26_r0auto,12.54075,10.93308
best,2048,16384,sglang_v2,7.39195,6.33148
best,2048,16384,flashinfer_topk,12.55355,11.509739999999999
best,2048,32768,gvr_cutedsl,17.134349999999998,15.34202
best,2048,32768,radix_cutedsl,19.31505,18.68412
best,2048,32768,gvr_multicta_cutedsl,17.1455,15.35164
best,2048,32768,radix_single_cuda,28.6303,23.78614
best,2048,32768,radix_multi_cuda,43.5183,38.75764
best,2048,32768,op27_hls,18.53115,16.895319999999998
best,2048,32768,op26_r0auto,15.6959,14.12986
best,2048,32768,sglang_v2,11.3039,9.253120000000001
best,2048,32768,flashinfer_topk,11.576,10.8211
best,2048,65536,gvr_cutedsl,22.8143,21.0169
best,2048,65536,radix_cutedsl,19.5231,18.572740000000003
best,2048,65536,gvr_multicta_cutedsl,19.14875,17.383
best,2048,65536,radix_single_cuda,45.011050000000004,36.29816
best,2048,65536,radix_multi_cuda,45.14065,40.44912
best,2048,65536,op27_hls,23.35035,21.90138
best,2048,65536,op26_r0auto,17.207900000000002,15.36312
best,2048,65536,sglang_v2,11.1872,10.206719999999999
best,2048,65536,flashinfer_topk,13.04955,12.0985
best,2048,131072,gvr_cutedsl,29.21755,26.95222
best,2048,131072,radix_cutedsl,19.7423,18.88504
best,2048,131072,gvr_multicta_cutedsl,19.72955,18.40826
best,2048,131072,radix_single_cuda,71.91335000000001,55.030879999999996
best,2048,131072,radix_multi_cuda,47.62385,42.429379999999995
best,2048,131072,op27_hls,25.015849999999997,23.24984
best,2048,131072,op26_r0auto,18.05755,16.70138
best,2048,131072,sglang_v2,12.263950000000001,10.95036
best,2048,131072,flashinfer_topk,14.9856,13.39452
best,2048,262144,gvr_cutedsl,45.55185,42.162440000000004
best,2048,262144,radix_cutedsl,19.536,18.808880000000002
best,2048,262144,gvr_multicta_cutedsl,25.251150000000003,23.4297
best,2048,262144,radix_single_cuda,128.4214,94.87589999999999
best,2048,262144,radix_multi_cuda,53.6319,46.98032
best,2048,262144,op27_hls,26.81755,25.55834
best,2048,262144,op26_r0auto,22.42715,20.8473
best,2048,262144,sglang_v2,16.84475,14.66682
best,2048,262144,flashinfer_topk,18.98555,16.23036
best,2048,524288,gvr_cutedsl,52.63665,47.57168
best,2048,524288,radix_cutedsl,19.61585,18.7532
best,2048,524288,gvr_multicta_cutedsl,24.5567,22.16184
best,2048,524288,radix_single_cuda,241.46970000000002,174.8641
best,2048,524288,radix_multi_cuda,68.57430000000001,58.12464
best,2048,524288,op27_hls,31.99675,30.0825
best,2048,524288,op26_r0auto,29.43195,27.62042
best,2048,524288,sglang_v2,23.2559,19.708740000000002
best,2048,524288,flashinfer_topk,27.363,22.59514
best,2048,1048576,gvr_cutedsl,138.5291,130.62810000000002
best,2048,1048576,radix_cutedsl,20.579150000000002,19.124419999999997
best,2048,1048576,gvr_multicta_cutedsl,50.30545,47.0245
best,2048,1048576,radix_single_cuda,465.28490000000005,331.78267999999997
best,2048,1048576,radix_multi_cuda,95.0029,75.24203999999999
best,2048,1048576,op27_hls,43.9775,41.47572
best,2048,1048576,op26_r0auto,43.77115,41.8194
best,2048,1048576,sglang_v2,35.5999,29.171740000000003
best,2048,1048576,flashinfer_topk,43.343900000000005,34.36664
worst,512,4096,gvr_cutedsl,10.24,8.14016
worst,512,4096,radix_cutedsl,6.352,5.75488
worst,512,4096,gvr_multicta_cutedsl,9.8448,8.13118
worst,512,4096,radix_single_cuda,14.537600000000001,13.60576
worst,512,4096,radix_multi_cuda,36.48635,31.65626
worst,512,4096,op27_hls,11.491200000000001,10.02494
worst,512,4096,op26_r0auto,8.864,7.11166
worst,512,4096,sglang_v2,5.056,4.1248000000000005
worst,512,4096,flashinfer_topk,6.526350000000001,6.011520000000001
worst,512,8192,gvr_cutedsl,9.4864,7.91548
worst,512,8192,radix_cutedsl,7.857600000000001,7.3216
worst,512,8192,gvr_multicta_cutedsl,9.3856,7.91484
worst,512,8192,radix_single_cuda,16.84315,15.27294
worst,512,8192,radix_multi_cuda,36.7648,31.66072
worst,512,8192,op27_hls,12.8944,11.6448
worst,512,8192,op26_r0auto,8.916799999999999,7.296
worst,512,8192,sglang_v2,5.5952,4.88126
worst,512,8192,flashinfer_topk,11.42715,10.63358
worst,512,16384,gvr_cutedsl,13.3232,11.92
worst,512,16384,radix_cutedsl,11.27675,10.650879999999999
worst,512,16384,gvr_multicta_cutedsl,13.2192,11.92702
worst,512,16384,radix_single_cuda,20.2192,17.44828
worst,512,16384,radix_multi_cuda,37.447849999999995,32.42938
worst,512,16384,op27_hls,14.2096,13.11552
worst,512,16384,op26_r0auto,11.364799999999999,10.01532
worst,512,16384,sglang_v2,7.134399999999999,6.26174
worst,512,16384,flashinfer_topk,12.06555,10.94976
worst,512,32768,gvr_cutedsl,12.830350000000001,11.039959999999999
worst,512,32768,radix_cutedsl,15.7728,15.16478
worst,512,32768,gvr_multicta_cutedsl,12.816,11.02654
worst,512,32768,radix_single_cuda,27.09755,22.8729
worst,512,32768,radix_multi_cuda,39.56475,34.30074
worst,512,32768,op27_hls,19.001549999999998,17.62944
worst,512,32768,op26_r0auto,11.68475,9.7696
worst,512,32768,sglang_v2,10.90715,8.80704
worst,512,32768,flashinfer_topk,11.619200000000001,10.884459999999999
worst,512,65536,gvr_cutedsl,14.750350000000001,12.97278
worst,512,65536,radix_cutedsl,15.867149999999999,15.11678
worst,512,65536,gvr_multicta_cutedsl,13.1584,11.49568
worst,512,65536,radix_single_cuda,42.1935,33.24028
worst,512,65536,radix_multi_cuda,40.87355,35.88282
worst,512,65536,op27_hls,18.3023,17.0009
worst,512,65536,op26_r0auto,13.425600000000001,11.87324
worst,512,65536,sglang_v2,9.897549999999999,8.88894
worst,512,65536,flashinfer_topk,12.5936,11.57824
worst,512,131072,gvr_cutedsl,19.65755,17.33694
worst,512,131072,radix_cutedsl,18.96155,18.24252
worst,512,131072,gvr_multicta_cutedsl,13.7904,12.453719999999999
worst,512,131072,radix_single_cuda,71.29910000000001,54.13878
worst,512,131072,radix_multi_cuda,42.9823,37.02842
worst,512,131072,op27_hls,18.713549999999998,17.32478
worst,512,131072,op26_r0auto,14.82075,13.24604
worst,512,131072,sglang_v2,10.945549999999999,9.60126
worst,512,131072,flashinfer_topk,15.1024,13.4048
worst,512,262144,gvr_cutedsl,32.0784,28.40124
worst,512,262144,radix_cutedsl,19.14555,18.44734
worst,512,262144,gvr_multicta_cutedsl,18.7935,16.84028
worst,512,262144,radix_single_cuda,128.899,94.70519999999999
worst,512,262144,radix_multi_cuda,48.472,41.04438
worst,512,262144,op27_hls,22.0864,21.05404
worst,512,262144,op26_r0auto,18.238400000000002,16.18688
worst,512,262144,sglang_v2,15.20795,13.08352
worst,512,262144,flashinfer_topk,19.4799,16.670060000000003
worst,512,524288,gvr_cutedsl,51.787099999999995,46.120239999999995
