scenario,K,dtype,N,BS,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,op21_legacy_cold_us,op21_legacy_warm_us,op21_hls_cold_us,op21_hls_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,speedup_vs_base_op21_legacy,speedup_vs_base_op21_hls,speedup_vs_base_radix_cutedsl,speedup_vs_base_gvr_multicta_cutedsl,speedup_vs_base_sglang_streaming,mc_cluster_size
real,1024,bf16,262144,32,37.539,34.814,15.76,12.351,15.866,12.432,32.269,29.965,28.114,25.12,,,2.3819,2.366,1.1633,1.3352,,2
real,1024,bf16,262144,64,38.858,35.052,26.349,18.926,26.312,18.888,61.24,57.834,29.736,25.542,,,1.4747,1.4768,0.6345,1.3068,,2
real,1024,bf16,262144,128,44.598,35.526,30.646,19.276,30.357,19.247,111.61,103.921,46.631,36.317,,,1.4553,1.4691,0.3996,0.9564,,1
real,1024,bf16,262144,256,93.984,80.983,90.146,86.459,91.157,87.665,218.163,214.496,106.326,94.251,,,1.0426,1.031,0.4308,0.8839,,1
real,1024,bf16,262144,512,190.512,155.751,154.17,149.497,155.352,150.19,396.124,392.901,205.204,175.09,,,1.2357,1.2263,0.4809,0.9284,,1
real,1024,bf16,262144,1024,301.887,272.272,257.637,253.052,258.631,254.507,751.179,747.589,322.058,299.115,,,1.1718,1.1672,0.4019,0.9374,,1
real,1024,bf16,262144,2048,532.155,517.232,478.176,473.231,481.153,476.524,1498.461,1495.304,581.063,566.828,,,1.1129,1.106,0.3551,0.9158,,1
real,1024,bf16,524288,2,63.23,60.796,16.597,14.038,16.603,14.168,14.821,13.612,28.078,25.974,,,3.8097,3.8083,4.2662,2.2519,,4
real,1024,bf16,524288,4,62.906,60.798,16.688,14.109,16.843,14.104,17.734,16.377,28.136,25.946,,,3.7695,3.7348,3.5472,2.2358,,4
real,1024,bf16,524288,8,63.291,60.79,17.299,14.255,17.299,14.359,22.512,20.833,28.691,26.104,,,3.6587,3.6587,2.8114,2.206,,4
real,1024,bf16,524288,16,63.52,60.794,30.504,24.99,30.616,25.125,32.501,30.373,29.184,26.163,,,2.0823,2.0747,1.9544,2.1765,,4
real,1024,bf16,524288,32,64.397,60.923,22.339,16.925,22.302,16.956,62.091,58.591,43.756,39.512,,,2.8827,2.8875,1.0371,1.4717,,2
real,1024,bf16,524288,64,68.453,61.143,44.179,30.997,44.243,31.026,120.81,115.035,49.695,39.996,,,1.5494,1.5472,0.5666,1.3775,,2
real,1024,bf16,1048576,2,115.727,112.888,19.994,16.435,20.088,16.549,17.082,15.843,44.019,41.053,,,5.7881,5.761,6.7748,2.629,,4
real,1024,bf16,1048576,4,115.835,112.872,20.403,16.486,20.357,16.509,22.661,20.84,44.322,41.068,,,5.6774,5.6902,5.1116,2.6135,,4
real,1024,bf16,1048576,8,116.144,112.888,20.848,16.677,21.013,16.854,32.014,29.766,44.917,41.21,,,5.571,5.5272,3.6279,2.5857,,4
real,1024,bf16,1048576,16,116.607,112.91,37.853,29.994,38.058,30.163,61.114,57.551,45.669,41.294,,,3.0805,3.0639,1.908,2.5533,,4
real,1024,bf16,1048576,32,118.762,113.015,57.181,43.457,57.403,43.571,119.371,113.196,76.327,67.812,,,2.0769,2.0689,0.9949,1.556,,2
real,1024,bf16,1048576,64,136.688,128.849,75.658,68.211,75.618,68.385,229.999,226.612,104.024,92.993,,,1.8067,1.8076,0.5943,1.314,,2
real,1024,fp16,4096,1,10.538,9.011,10.97,9.894,10.947,9.914,5.523,4.877,10.26,9.063,,,0.9606,0.9626,1.908,1.0271,,1
real,1024,fp16,4096,2,9.915,9.013,10.77,9.853,10.765,9.903,5.56,4.916,9.951,9.046,,,0.9206,0.921,1.7833,0.9964,,1
real,1024,fp16,4096,4,9.933,9.011,10.848,9.879,10.755,9.888,5.526,4.926,10.152,9.06,,,0.9157,0.9236,1.7975,0.9784,,1
real,1024,fp16,4096,8,9.965,8.985,10.802,9.902,10.966,9.887,5.55,4.928,9.969,9.023,,,0.9225,0.9087,1.7955,0.9996,,1
real,1024,fp16,4096,16,10.173,9.018,10.862,9.877,10.758,9.868,5.611,4.924,10.224,9.039,,,0.9366,0.9456,1.813,0.995,,1
real,1024,fp16,4096,32,10.195,9.036,11.019,9.917,10.912,9.928,5.758,4.961,10.274,9.076,,,0.9252,0.9343,1.7706,0.9923,,1
real,1024,fp16,4096,64,10.258,9.162,11.286,10.11,11.133,10.125,5.819,4.991,10.286,9.169,,,0.9089,0.9214,1.7628,0.9973,,1
real,1024,fp16,4096,128,10.608,9.34,11.464,10.344,11.403,10.335,6.238,5.212,10.651,9.372,,,0.9253,0.9303,1.7005,0.996,,1
real,1024,fp16,4096,256,12.725,11.414,11.997,10.565,11.994,10.607,10.522,8.981,12.755,11.42,,,1.0607,1.0609,1.2094,0.9976,,1
real,1024,fp16,4096,512,22.35,20.237,21.891,18.908,21.707,18.95,19.347,16.561,22.252,20.248,,,1.021,1.0296,1.1552,1.0044,,1
real,1024,fp16,4096,1024,34.8,32.176,32.326,29.518,32.611,29.616,32.288,28.032,34.904,32.26,,,1.0765,1.0671,1.0778,0.997,,1
real,1024,fp16,4096,2048,63.469,59.617,57.237,53.544,57.539,53.632,61.983,54.498,63.507,59.593,,,1.1089,1.1031,1.024,0.9994,,1
real,1024,fp16,8192,1,15.451,14.362,11.888,10.85,11.955,10.865,6.946,6.209,15.688,14.416,,,1.2997,1.2924,2.2244,0.9849,,1
real,1024,fp16,8192,2,15.443,14.319,11.723,10.819,11.941,10.847,7.022,6.22,15.538,14.369,,,1.3173,1.2933,2.1992,0.9939,,1
real,1024,fp16,8192,4,15.338,14.336,11.835,10.856,11.867,10.835,6.88,6.223,15.19,14.41,,,1.296,1.2925,2.2294,1.0097,,1
real,1024,fp16,8192,8,15.44,14.328,11.976,10.825,11.85,10.843,6.944,6.227,15.512,14.4,,,1.2892,1.303,2.2235,0.9954,,1
real,1024,fp16,8192,16,15.398,14.341,11.997,10.845,11.97,10.826,6.966,6.236,15.538,14.391,,,1.2835,1.2864,2.2105,0.991,,1
real,1024,fp16,8192,32,15.482,14.36,11.987,10.886,11.997,10.876,7.093,6.271,15.448,14.445,,,1.2916,1.2905,2.1827,1.0022,,1
real,1024,fp16,8192,64,15.686,14.517,12.214,11.076,12.245,11.066,7.16,6.307,15.838,14.574,,,1.2843,1.281,2.1908,0.9904,,1
real,1024,fp16,8192,128,16.086,14.717,12.686,11.322,12.664,11.3,7.454,6.404,16.219,14.775,,,1.268,1.2702,2.158,0.9918,,1
real,1024,fp16,8192,256,21.003,19.304,14.294,12.549,14.314,12.566,12.989,11.439,21.017,19.342,,,1.4694,1.4673,1.617,0.9993,,1
real,1024,fp16,8192,512,36.645,34.72,25.394,22.736,25.658,22.847,24.08,21.465,36.757,34.736,,,1.4431,1.4282,1.5218,0.997,,1
real,1024,fp16,8192,1024,58.512,55.705,39.069,35.648,39.674,35.744,40.666,36.589,58.565,55.708,,,1.4977,1.4748,1.4388,0.9991,,1
real,1024,fp16,8192,2048,108.328,105.158,68.941,64.735,68.975,64.813,79.031,71.593,108.255,105.121,,,1.5713,1.5705,1.3707,1.0007,,1
real,1024,fp16,16384,1,13.886,12.737,12.712,11.335,12.736,11.335,9.582,9.137,13.304,12.287,,,1.0924,1.0903,1.4492,1.0437,,1
real,1024,fp16,16384,2,13.84,12.73,12.626,11.336,12.68,11.368,9.869,9.155,13.53,12.367,,,1.0962,1.0915,1.4024,1.0229,,1
real,1024,fp16,16384,4,13.938,12.697,12.637,11.346,12.651,11.334,9.827,9.164,13.528,12.306,,,1.103,1.1017,1.4183,1.0303,,1
real,1024,fp16,16384,8,13.97,12.706,12.706,11.342,12.584,11.308,9.87,9.162,13.563,12.347,,,1.0995,1.1101,1.4154,1.03,,1
real,1024,fp16,16384,16,13.992,12.705,12.786,11.328,12.71,11.332,9.877,9.176,13.481,12.316,,,1.0943,1.1009,1.4166,1.0379,,1
real,1024,fp16,16384,32,14.219,12.778,12.926,11.373,12.909,11.359,10.013,9.225,13.629,12.372,,,1.1,1.1015,1.4201,1.0433,,1
real,1024,fp16,16384,64,14.44,12.927,13.142,11.468,13.131,11.505,10.109,9.28,13.866,12.533,,,1.0988,1.0997,1.4284,1.0414,,1
real,1024,fp16,16384,128,15.114,13.168,13.739,11.647,13.837,11.691,10.645,9.384,14.568,12.796,,,1.1001,1.0923,1.4198,1.0375,,1
real,1024,fp16,16384,256,19.434,17.073,18.21,15.756,18.363,15.799,19.202,17.327,19.432,17.187,,,1.0672,1.0583,1.0121,1.0001,,1
real,1024,fp16,16384,512,34.155,30.752,32.083,28.3,32.019,28.287,35.891,33.216,33.486,30.479,,,1.0646,1.0667,0.9516,1.02,,1
real,1024,fp16,16384,1024,53.431,49.025,49.315,44.247,49.333,44.341,60.89,56.886,52.773,48.309,,,1.0835,1.0831,0.8775,1.0125,,1
real,1024,fp16,16384,2048,97.071,92.53,87.463,83.171,87.363,83.445,119.322,112.039,96.296,92.505,,,1.1099,1.1111,0.8135,1.008,,1
real,1024,fp16,32768,1,17.347,15.921,36.023,22.956,23.496,19.116,14.835,13.715,17.653,16.192,,,0.4816,0.7383,1.1693,0.9827,,1
real,1024,fp16,32768,2,17.202,15.924,35.941,22.872,23.84,19.084,14.789,13.683,17.496,16.23,,,0.4786,0.7216,1.1632,0.9832,,1
real,1024,fp16,32768,4,17.25,15.916,31.459,22.883,23.499,19.048,14.742,13.734,17.468,16.159,,,0.5483,0.7341,1.1701,0.9875,,1
real,1024,fp16,32768,8,17.285,15.895,31.389,22.458,23.45,18.866,15.28,14.126,17.752,16.216,,,0.5507,0.7371,1.1312,0.9737,,1
real,1024,fp16,32768,16,17.406,15.9,31.114,22.507,23.493,18.856,15.314,14.179,17.708,16.18,,,0.5594,0.7409,1.1366,0.9829,,1
real,1024,fp16,32768,32,17.6,15.973,31.266,22.714,23.51,19.003,15.619,14.373,18.073,16.267,,,0.5629,0.7486,1.1268,0.9738,,1
real,1024,fp16,32768,64,18.222,16.122,31.73,22.65,23.957,18.976,14.723,13.602,18.633,16.39,,,0.5743,0.7606,1.2377,0.9779,,1
real,1024,fp16,32768,128,18.962,16.389,32.059,22.767,24.138,19.27,15.451,13.745,19.499,16.654,,,0.5915,0.7856,1.2272,0.9725,,1
real,1024,fp16,32768,256,27.274,23.375,34.627,30.513,29.042,24.922,28.112,25.903,27.56,23.865,,,0.7877,0.9391,0.9702,0.9896,,1
real,1024,fp16,32768,512,46.653,41.428,62.171,54.296,50.675,44.231,53.922,50.104,47.648,42.041,,,0.7504,0.9206,0.8652,0.9791,,1
real,1024,fp16,32768,1024,73.714,67.154,98.635,88.678,80.331,71.917,93.786,86.417,75.281,68.448,,,0.7473,0.9176,0.786,0.9792,,1
real,1024,fp16,32768,2048,136.112,133.493,180.272,176.157,148.285,144.567,184.352,179.515,138.421,135.576,,,0.755,0.9179,0.7383,0.9833,,1
real,1024,fp16,65536,1,20.397,19.068,14.016,12.412,13.861,12.462,14.725,13.713,17.621,15.804,,,1.4553,1.4715,1.3852,1.1575,,4
real,1024,fp16,65536,2,20.277,19.068,13.99,12.557,14.072,12.676,14.742,13.755,17.257,15.81,,,1.4494,1.4409,1.3755,1.175,,4
real,1024,fp16,65536,4,20.418,19.077,14.475,12.894,14.035,12.505,14.88,13.894,17.589,15.848,,,1.4106,1.4548,1.3722,1.1608,,4
real,1024,fp16,65536,8,20.483,19.069,14.653,13.078,14.242,12.701,15.216,14.192,17.68,15.89,,,1.3979,1.4382,1.3461,1.1585,,4
real,1024,fp16,65536,16,20.56,19.08,14.914,13.16,14.198,12.739,15.434,14.357,17.785,15.994,,,1.3786,1.4481,1.3321,1.156,,4
real,1024,fp16,65536,32,20.934,19.173,15.429,13.532,14.906,13.029,18.04,16.584,19.151,17.617,,,1.3568,1.4044,1.1604,1.0931,,2
real,1024,fp16,65536,64,21.528,19.273,17.414,14.711,17.317,14.682,23.219,21.56,20.105,17.869,,,1.2362,1.2432,0.9272,1.0708,,2
real,1024,fp16,65536,128,22.8,19.534,18.576,14.995,18.531,14.974,24.293,22.22,23.56,20.107,,,1.2274,1.2304,0.9385,0.9677,,1
real,1024,fp16,65536,256,41.765,36.534,33.111,27.788,33.107,27.833,45.915,42.632,43.219,37.832,,,1.2614,1.2615,0.9096,0.9664,,1
real,1024,fp16,65536,512,75.286,65.599,58.397,48.697,58.264,48.493,90.224,83.404,78.887,68.202,,,1.2892,1.2922,0.8344,0.9544,,1
real,1024,fp16,65536,1024,119.73,113.57,92.637,87.239,92.917,87.609,157.981,151.236,124.661,119.007,,,1.2925,1.2886,0.7579,0.9604,,1
real,1024,fp16,65536,2048,218.213,212.788,164.356,159.241,164.624,160.087,306.788,300.026,228.481,223.22,,,1.3277,1.3255,0.7113,0.9551,,1
real,1024,fp16,131072,1,25.144,23.631,48.135,36.949,21.93,19.153,14.506,13.617,17.305,16.322,,,0.5224,1.1466,1.7334,1.453,,4
real,1024,fp16,131072,2,25.056,23.586,44.797,36.97,22.061,19.251,14.518,13.586,17.748,16.536,,,0.5593,1.1358,1.7259,1.4118,,4
real,1024,fp16,131072,4,25.104,23.611,44.528,36.997,21.906,19.261,14.726,13.581,17.854,16.51,,,0.5638,1.146,1.7047,1.4061,,4
real,1024,fp16,131072,8,25.24,23.604,46.096,38.696,23.035,21.155,15.517,14.154,18.115,16.625,,,0.5476,1.0957,1.6266,1.3933,,4
real,1024,fp16,131072,16,25.424,23.634,45.842,38.453,23.392,21.233,17.982,16.63,18.355,16.69,,,0.5546,1.0869,1.4139,1.3851,,4
real,1024,fp16,131072,32,25.838,23.713,46.303,38.518,24.304,21.844,22.63,20.965,22.365,20.093,,,0.558,1.0631,1.1418,1.1553,,2
real,1024,fp16,131072,64,26.635,23.919,44.496,37.201,33.486,29.146,32.242,29.953,23.385,20.452,,,0.5986,0.7954,0.8261,1.139,,2
real,1024,fp16,131072,128,28.824,24.286,46.064,37.816,35.211,29.682,60.902,57.525,29.934,24.87,,,0.6257,0.8186,0.4733,0.9629,,1
real,1024,fp16,131072,256,52.813,42.296,75.28,68.855,58.861,52.025,118.319,112.794,56.778,45.089,,,0.7016,0.8972,0.4464,0.9302,,1
real,1024,fp16,131072,512,109.907,95.132,135.762,128.229,108.783,98.012,204.402,201.988,120.624,106.735,,,0.8096,1.0103,0.5377,0.9112,,1
real,1024,fp16,131072,1024,170.759,157.17,221.736,218.239,173.295,166.521,405.193,402.72,194.588,178.316,,,0.7701,0.9854,0.4214,0.8775,,1
real,1024,fp16,131072,2048,292.233,277.876,418.902,415.094,322.394,316.339,803.064,801.392,338.858,325.631,,,0.6976,0.9064,0.3639,0.8624,,1
real,1024,fp16,262144,1,38.045,35.891,39.414,36.339,26.395,23.572,14.461,13.622,21.05,19.696,,,0.9653,1.4414,2.6309,1.8074,,4
real,1024,fp16,262144,2,37.426,35.772,39.285,36.365,25.976,23.624,14.573,13.673,21.27,19.779,,,0.9527,1.4408,2.5682,1.7596,,4
real,1024,fp16,262144,4,37.495,35.788,39.296,36.396,26.014,23.672,14.701,13.726,21.568,19.786,,,0.9542,1.4413,2.5505,1.7385,,4
real,1024,fp16,262144,8,37.728,35.783,39.378,36.684,26.382,23.884,17.499,16.314,21.947,19.943,,,0.9581,1.4301,2.156,1.7191,,4
real,1024,fp16,262144,16,37.955,35.795,41.568,38.612,29.978,27.139,22.499,20.836,22.285,19.987,,,0.9131,1.2661,1.687,1.7032,,4
real,1024,fp16,262144,32,38.666,35.867,42.706,39.048,31.275,27.752,31.634,29.401,29.519,26.379,,,0.9054,1.2363,1.2223,1.3099,,2
real,1024,fp16,262144,64,39.974,36.144,43.715,36.486,43.752,36.545,60.2,56.762,31.156,26.828,,,0.9144,0.9136,0.664,1.283,,2
real,1024,fp16,262144,128,45.963,36.565,48.904,36.866,48.856,36.856,109.171,101.516,48.509,37.928,,,0.9399,0.9408,0.421,0.9475,,1
real,1024,fp16,262144,256,103.01,90.303,98.805,94.831,98.675,94.64,213.404,210.062,117.94,106.342,,,1.0426,1.0439,0.4827,0.8734,,1
real,1024,fp16,262144,512,200.959,169.009,171.0,166.937,171.941,167.068,388.095,385.056,210.069,192.767,,,1.1752,1.1688,0.5178,0.9566,,1
real,1024,fp16,262144,1024,318.293,291.054,285.113,281.862,285.844,282.427,735.946,732.58,343.071,327.709,,,1.1164,1.1135,0.4325,0.9278,,1
real,1024,fp16,262144,2048,567.947,553.833,532.961,529.608,534.014,530.873,1468.037,1465.547,633.087,623.939,,,1.0656,1.0635,0.3869,0.8971,,1
real,1024,fp16,524288,2,61.911,59.492,16.726,14.191,17.094,14.565,14.626,13.58,27.703,25.773,,,3.7015,3.6218,4.2329,2.2348,,4
real,1024,fp16,524288,4,61.586,59.474,16.912,14.262,17.317,14.522,17.469,16.186,27.834,25.745,,,3.6416,3.5564,3.5254,2.2126,,4
real,1024,fp16,524288,8,62.002,59.48,17.523,14.486,17.867,14.805,22.054,20.462,28.496,25.883,,,3.5383,3.4702,2.8114,2.1758,,4
real,1024,fp16,524288,16,62.336,59.47,30.829,25.32,31.408,25.818,31.717,29.505,28.938,25.941,,,2.022,1.9847,1.9654,2.1541,,4
real,1024,fp16,524288,32,63.299,59.615,23.37,17.704,23.107,17.427,60.498,56.958,43.376,39.045,,,2.7086,2.7394,1.0463,1.4593,,2
real,1024,fp16,524288,64,67.271,59.858,44.087,30.949,43.97,30.741,117.506,111.715,49.051,39.477,,,1.5259,1.5299,0.5725,1.3715,,2
real,1024,fp16,1048576,2,114.565,111.472,20.328,16.753,20.496,16.998,16.907,15.654,44.881,41.924,,,5.6358,5.5896,6.7762,2.5526,,4
real,1024,fp16,1048576,4,114.563,111.452,20.568,16.748,20.883,16.967,22.182,20.517,45.066,41.888,,,5.57,5.4859,5.1647,2.5421,,4
real,1024,fp16,1048576,8,114.84,111.44,21.221,17.014,21.517,17.336,31.333,29.048,45.535,42.079,,,5.4116,5.3372,3.6651,2.522,,4
real,1024,fp16,1048576,16,115.347,111.443,38.328,30.435,39.312,30.935,59.746,56.174,46.459,42.097,,,3.0095,2.9341,1.9306,2.4828,,4
real,1024,fp16,1048576,32,117.424,111.605,58.19,44.358,59.448,44.822,116.619,110.53,76.484,68.077,,,2.0179,1.9752,1.0069,1.5353,,2
real,1024,fp16,1048576,64,135.754,127.857,75.418,67.886,75.189,67.717,224.676,221.385,104.988,94.199,,,1.8,1.8055,0.6042,1.293,,2
real,1024,fp32,4096,1,10.686,9.416,10.776,9.612,10.702,9.576,6.427,5.622,10.604,9.359,7.592,6.484,0.9916,0.9985,1.6627,1.0077,1.4075,1
real,1024,fp32,4096,2,10.845,9.439,10.76,9.638,10.784,9.583,6.456,5.638,11.022,9.428,7.634,6.53,1.0079,1.0057,1.6798,0.9839,1.4206,1
real,1024,fp32,4096,4,10.661,9.434,10.867,9.647,10.782,9.6,6.451,5.652,10.736,9.391,7.562,6.54,0.981,0.9888,1.6526,0.993,1.4098,1
real,1024,fp32,4096,8,10.68,9.443,10.877,9.636,10.811,9.61,6.544,5.675,10.553,9.393,7.598,6.531,0.9819,0.9879,1.632,1.012,1.4056,1
real,1024,fp32,4096,16,10.893,9.667,11.014,9.859,10.942,9.82,6.71,6.015,10.791,9.629,7.819,6.876,0.989,0.9955,1.6234,1.0095,1.3931,1
real,1024,fp32,4096,32,10.962,9.795,11.046,9.928,11.002,9.906,6.781,6.083,10.804,9.757,7.87,6.935,0.9924,0.9964,1.6166,1.0146,1.3929,1
real,1024,fp32,4096,64,11.134,9.853,11.141,10.031,11.074,9.992,6.963,6.104,11.193,9.793,7.962,6.967,0.9994,1.0054,1.599,0.9947,1.3984,1
real,1024,fp32,4096,128,11.437,10.056,11.434,10.235,11.382,10.186,7.57,6.517,11.566,10.029,8.317,7.114,1.0003,1.0048,1.5108,0.9888,1.3751,1
real,1024,fp32,4096,256,14.149,12.45,13.213,11.684,12.67,11.181,13.326,11.628,13.735,12.109,10.878,9.491,1.0708,1.1167,1.0618,1.0301,1.3007,1
real,1024,fp32,4096,512,25.006,22.579,24.102,20.993,23.576,20.17,24.472,21.832,25.259,22.579,19.31,17.133,1.0375,1.0607,1.0218,0.99,1.295,1
real,1024,fp32,4096,1024,38.749,35.898,36.944,32.842,35.744,31.348,41.634,37.13,44.612,40.287,32.027,28.792,1.0489,1.0841,0.9307,0.8686,1.2099,1
real,1024,fp32,4096,2048,70.136,65.9,63.728,58.728,60.939,56.316,80.816,72.623,81.926,75.638,59.69,53.739,1.1006,1.1509,0.8678,0.8561,1.175,1
real,1024,fp32,8192,1,18.867,17.768,11.195,10.301,11.256,10.31,7.939,7.407,18.828,17.772,8.546,7.551,1.6853,1.6762,2.3765,1.0021,2.2077,1
real,1024,fp32,8192,2,18.869,17.757,11.362,10.278,11.301,10.291,7.979,7.418,19.195,17.747,8.533,7.585,1.6607,1.6697,2.3648,0.983,2.2113,1
real,1024,fp32,8192,4,19.037,17.749,11.307,10.279,11.294,10.295,7.912,7.418,19.307,17.757,8.402,7.576,1.6836,1.6856,2.4061,0.986,2.2658,1
real,1024,fp32,8192,8,18.898,17.782,11.298,10.291,11.394,10.3,7.96,7.453,19.036,17.796,8.528,7.597,1.6727,1.6586,2.3741,0.9928,2.216,1
real,1024,fp32,8192,16,19.326,17.979,11.571,10.485,11.502,10.509,8.405,7.791,19.381,17.95,9.003,7.947,1.6702,1.6802,2.2993,0.9972,2.1466,1
real,1024,fp32,8192,32,19.394,18.095,11.664,10.565,11.653,10.574,8.542,7.841,19.452,18.095,9.005,8.012,1.6627,1.6643,2.2704,0.997,2.1537,1
real,1024,fp32,8192,64,19.531,18.187,11.81,10.653,11.832,10.674,8.774,7.889,19.509,18.183,9.275,8.06,1.6538,1.6507,2.226,1.0011,2.1058,1
real,1024,fp32,8192,128,20.222,18.428,12.539,10.899,12.592,10.923,9.362,8.04,20.198,18.426,9.84,8.364,1.6127,1.6059,2.16,1.0012,2.0551,1
real,1024,fp32,8192,256,27.621,25.405,16.387,13.808,15.832,13.258,16.469,14.613,26.948,24.747,13.719,11.651,1.6855,1.7446,1.6772,1.025,2.0133,1
real,1024,fp32,8192,512,48.669,45.535,29.413,24.831,28.429,23.841,30.483,27.71,50.007,47.076,23.549,21.084,1.6547,1.7119,1.5966,0.9732,2.0667,1
real,1024,fp32,8192,1024,77.035,73.239,45.466,38.872,44.01,37.262,51.426,47.313,85.285,80.989,38.542,34.853,1.6943,1.7504,1.498,0.9033,1.9987,1
real,1024,fp32,8192,2048,143.295,139.268,77.227,72.568,74.355,69.442,100.021,93.697,163.528,156.865,72.408,66.207,1.8555,1.9272,1.4326,0.8763,1.979,1
real,1024,fp32,16384,1,16.253,14.81,12.27,11.041,12.293,11.068,12.187,11.543,16.483,14.802,11.32,10.418,1.3246,1.3221,1.3336,0.986,1.4358,1
real,1024,fp32,16384,2,16.038,14.777,12.326,11.046,12.19,11.057,12.253,11.576,16.106,14.758,11.301,10.443,1.3012,1.3157,1.3089,0.9958,1.4192,1
real,1024,fp32,16384,4,16.173,14.775,12.154,11.063,12.176,11.077,12.224,11.585,16.186,14.801,11.298,10.479,1.3307,1.3283,1.3231,0.9992,1.4315,1
real,1024,fp32,16384,8,16.08,14.779,12.16,11.037,12.154,11.06,12.309,11.612,16.104,14.797,11.312,10.484,1.3224,1.323,1.3064,0.9985,1.4215,1
real,1024,fp32,16384,16,16.424,15.011,12.45,11.246,12.528,11.271,12.626,11.955,16.583,15.043,11.861,10.841,1.3192,1.311,1.3008,0.9904,1.3847,1
real,1024,fp32,16384,32,16.667,15.135,12.685,11.294,12.605,11.291,12.848,12.013,16.686,15.139,12.008,10.914,1.3139,1.3223,1.2972,0.9989,1.388,1
real,1024,fp32,16384,64,17.194,15.231,13.077,11.414,13.157,11.442,13.269,12.077,17.198,15.229,12.582,11.05,1.3148,1.3068,1.2958,0.9998,1.3666,1
real,1024,fp32,16384,128,18.048,15.478,13.983,11.709,14.126,11.731,14.12,12.278,17.967,15.473,13.459,11.554,1.2907,1.2776,1.2782,1.0045,1.341,1
real,1024,fp32,16384,256,25.49,21.573,20.539,15.882,20.382,15.928,25.446,22.947,24.147,20.832,19.363,16.712,1.2411,1.2506,1.0017,1.0556,1.3164,1
real,1024,fp32,16384,512,44.088,38.495,37.659,28.565,38.216,28.709,48.24,44.18,44.853,39.54,33.251,30.242,1.1707,1.1537,0.9139,0.9829,1.3259,1
real,1024,fp32,16384,1024,69.794,61.897,58.934,44.94,58.751,45.425,84.163,76.026,76.01,67.704,56.034,50.91,1.1843,1.188,0.8293,0.9182,1.2456,1
real,1024,fp32,16384,2048,124.077,120.272,98.475,92.347,98.915,92.707,163.877,158.64,140.054,136.751,104.61,102.634,1.26,1.2544,0.7571,0.8859,1.1861,1
real,1024,fp32,32768,1,19.261,17.555,27.823,24.477,23.726,20.863,17.626,16.797,19.273,17.56,16.219,15.33,0.6923,0.8118,1.0928,0.9994,1.1876,1
real,1024,fp32,32768,2,19.302,17.526,27.653,24.312,23.445,20.736,17.68,16.772,19.268,17.535,16.19,15.414,0.698,0.8233,1.0917,1.0018,1.1922,1
real,1024,fp32,32768,4,19.386,17.538,27.536,24.462,23.027,20.772,20.181,19.138,19.439,17.543,16.238,15.436,0.704,0.8419,0.9606,0.9973,1.1939,1
real,1024,fp32,32768,8,19.366,17.525,27.12,24.312,23.024,20.696,20.285,19.413,19.386,17.544,16.245,15.419,0.7141,0.8411,0.9547,0.999,1.1921,1
real,1024,fp32,32768,16,19.723,17.755,27.294,24.6,23.202,20.913,20.571,19.637,19.758,17.739,16.813,15.787,0.7226,0.8501,0.9588,0.9982,1.1731,1
real,1024,fp32,32768,32,20.208,17.875,27.565,24.728,23.461,21.026,21.502,19.99,20.301,17.863,17.107,15.871,0.7331,0.8613,0.9398,0.9954,1.1813,1
real,1024,fp32,32768,64,20.83,17.996,28.083,24.833,24.115,21.139,20.392,18.647,20.723,17.993,17.65,16.001,0.7417,0.8638,1.0215,1.0052,1.1802,1
real,1024,fp32,32768,128,22.055,18.357,28.709,25.197,24.568,21.528,21.432,18.863,22.117,18.353,18.541,16.495,0.7682,0.8977,1.0291,0.9972,1.1895,1
real,1024,fp32,32768,256,33.072,26.52,40.67,34.481,34.84,28.175,40.01,36.038,31.499,25.801,27.872,25.342,0.8132,0.9493,0.8266,1.0499,1.1866,1
real,1024,fp32,32768,512,59.595,48.686,75.783,63.384,63.739,51.914,78.64,70.195,58.486,49.362,49.984,46.267,0.7864,0.935,0.7578,1.019,1.1923,1
real,1024,fp32,32768,1024,93.576,87.091,120.042,113.926,100.514,95.488,137.818,129.925,99.287,93.053,83.509,81.733,0.7795,0.931,0.679,0.9425,1.1205,1
real,1024,fp32,32768,2048,164.085,157.764,216.792,211.112,178.685,173.604,263.46,255.948,179.477,173.961,158.087,156.357,0.7569,0.9183,0.6228,0.9142,1.0379,1
real,1024,fp32,65536,1,24.478,22.65,14.694,12.966,14.019,12.269,17.362,16.566,16.999,15.215,25.987,25.27,1.6659,1.7461,1.4099,1.44,0.9419,4
real,1024,fp32,65536,2,24.611,22.911,15.027,13.165,13.982,12.412,19.018,18.355,16.932,15.419,26.005,25.354,1.6378,1.7602,1.2941,1.4535,0.9464,4
real,1024,fp32,65536,4,24.843,23.007,15.211,13.493,14.275,12.678,19.786,19.016,16.991,15.352,25.968,25.357,1.6332,1.7403,1.2556,1.4621,0.9567,4
real,1024,fp32,65536,8,24.938,23.045,15.637,13.683,14.736,12.878,20.207,19.322,17.37,15.495,25.981,25.388,1.5948,1.6923,1.2341,1.4357,0.9599,4
