scenario,K,dtype,N,BS,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,op21_legacy_cold_us,op21_legacy_warm_us,op21_hls_cold_us,op21_hls_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,speedup_vs_base_op21_legacy,speedup_vs_base_op21_hls,speedup_vs_base_radix_cutedsl,speedup_vs_base_gvr_multicta_cutedsl,speedup_vs_base_sglang_streaming,mc_cluster_size
best,512,fp32,32768,64,16.672,13.803,14.536,12.284,14.667,12.355,19.776,18.144,16.673,13.816,17.326,15.544,1.1469,1.1367,0.843,0.9999,0.9623,1
best,512,fp32,32768,128,17.659,14.206,15.541,12.592,15.509,12.662,20.946,18.336,17.702,14.197,18.085,16.027,1.1363,1.1386,0.8431,0.9976,0.9764,1
best,512,fp32,32768,256,26.472,20.622,24.072,18.977,24.238,19.002,39.107,35.035,25.183,20.027,27.261,24.495,1.0997,1.0922,0.6769,1.0512,0.9711,1
best,512,fp32,32768,512,50.215,38.207,47.965,33.996,48.099,33.937,76.839,68.308,48.013,37.904,48.402,44.611,1.0469,1.044,0.6535,1.0459,1.0375,1
best,512,fp32,32768,1024,79.099,69.45,73.074,63.918,73.307,64.151,134.344,126.191,81.391,73.625,80.736,78.755,1.0825,1.079,0.5888,0.9718,0.9797,1
best,512,fp32,32768,2048,131.271,123.188,119.755,112.922,119.97,112.743,257.298,249.309,141.609,135.547,151.858,150.158,1.0962,1.0942,0.5102,0.927,0.8644,1
best,512,fp32,65536,1,28.12,26.422,13.371,11.87,12.725,11.177,16.283,15.411,20.671,18.985,25.68,24.543,2.1031,2.2098,1.727,1.3604,1.095,4
best,512,fp32,65536,2,28.49,26.529,13.838,12.038,13.35,11.529,18.95,18.314,21.308,19.282,25.368,24.603,2.0588,2.1341,1.5034,1.3371,1.1231,4
best,512,fp32,65536,4,28.299,26.738,13.989,12.273,13.438,11.793,19.586,18.846,20.97,19.147,25.328,24.629,2.0229,2.1059,1.4449,1.3495,1.1173,4
best,512,fp32,65536,8,28.69,26.737,14.288,12.478,13.715,12.005,20.498,19.446,21.459,19.34,25.317,24.634,2.008,2.0919,1.3996,1.337,1.1332,4
