scenario,K,dtype,N,BS,hr,layer,gvr_ms_auto_cold_us,gvr_ms_auto_warm_us,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,op21_cold_speedup_vs_gvr_cutedsl,op21_cold_speedup_vs_gvr_multicta_cutedsl,op21_cold_speedup_vs_radix_cutedsl,op21_cold_speedup_vs_sglang_streaming
best,1024,bf16,4096,256,0.9004,52,12.493,11.188,12.163,10.939,12.125,10.925,10.63,9.144,,,0.974,0.971,0.851,
best,1024,bf16,4096,512,0.9004,52,22.674,20.045,21.166,18.822,21.059,18.83,19.277,16.762,,,0.934,0.929,0.85,
best,1024,bf16,4096,1024,0.9004,52,33.779,31.269,32.023,29.874,32.045,29.9,32.656,28.286,,,0.948,0.949,0.967,
best,1024,bf16,4096,2048,0.9004,52,60.003,56.605,58.543,55.4,58.554,55.45,62.365,54.714,,,0.976,0.976,1.039,
best,1024,bf16,8192,1,0.9004,26,13.563,12.35,11.282,10.088,11.219,10.085,6.629,5.944,,,0.832,0.827,0.489,
best,1024,bf16,8192,2,0.9004,26,13.351,12.332,11.139,10.084,11.15,10.084,6.582,5.96,,,0.834,0.835,0.493,
best,1024,bf16,8192,4,0.9004,26,13.451,12.33,11.107,10.072,11.173,10.077,6.635,5.976,,,0.826,0.831,0.493,
best,1024,bf16,8192,8,0.9004,26,13.437,12.347,11.17,10.096,11.184,10.115,6.669,6.007,,,0.831,0.832,0.496,
best,1024,bf16,8192,16,0.9004,26,13.805,12.728,11.602,10.483,11.643,10.488,7.101,6.395,,,0.84,0.843,0.514,
best,1024,bf16,8192,32,0.9004,26,14.003,12.804,11.717,10.555,11.653,10.592,7.222,6.442,,,0.837,0.832,0.516,
best,1024,bf16,8192,64,0.9004,26,14.12,12.904,11.85,10.655,11.822,10.659,7.39,6.478,,,0.839,0.837,0.523,
best,1024,bf16,8192,128,0.9004,26,14.446,13.087,12.29,10.851,12.101,10.851,7.602,6.598,,,0.851,0.838,0.526,
best,1024,bf16,8192,256,0.9004,26,16.221,14.663,15.042,13.596,15.134,13.587,13.277,11.741,,,0.927,0.933,0.818,
best,1024,bf16,8192,512,0.9004,26,28.85,26.555,25.558,23.279,25.56,23.258,24.352,21.942,,,0.886,0.886,0.844,
best,1024,bf16,8192,1024,0.9004,26,44.442,41.613,39.856,37.061,39.831,37.065,41.175,37.358,,,0.897,0.896,0.926,
best,1024,bf16,8192,2048,0.9004,26,79.022,75.575,73.475,69.44,73.397,69.479,80.109,72.867,,,0.93,0.929,1.014,
best,1024,bf16,16384,1,0.9004,28,20.83,16.792,13.355,12.072,12.867,11.707,9.502,9.022,,,0.641,0.618,0.456,
best,1024,bf16,16384,2,0.9004,28,20.829,16.737,13.301,12.031,12.939,11.697,9.565,9.039,,,0.639,0.621,0.459,
best,1024,bf16,16384,4,0.9004,28,20.435,16.753,13.354,12.033,12.853,11.701,9.634,9.046,,,0.653,0.629,0.471,
best,1024,bf16,16384,8,0.9004,28,20.696,16.749,13.514,12.06,12.912,11.715,9.654,9.075,,,0.653,0.624,0.466,
best,1024,bf16,16384,16,0.9004,28,20.376,17.144,13.805,12.457,13.354,12.122,10.123,9.483,,,0.678,0.655,0.497,
best,1024,bf16,16384,32,0.9004,28,20.326,17.159,13.958,12.527,13.555,12.195,10.232,9.522,,,0.687,0.667,0.503,
best,1024,bf16,16384,64,0.9004,28,20.179,17.142,14.154,12.634,13.675,12.314,10.421,9.57,,,0.701,0.678,0.516,
best,1024,bf16,16384,128,0.9004,28,20.517,17.389,14.843,12.849,14.272,12.55,10.936,9.715,,,0.723,0.696,0.533,
best,1024,bf16,16384,256,0.9004,28,24.922,22.468,18.99,16.596,18.658,16.366,19.589,17.823,,,0.762,0.749,0.786,
best,1024,bf16,16384,512,0.9004,28,42.578,38.987,32.314,29.295,31.45,28.556,36.565,33.94,,,0.759,0.739,0.859,
best,1024,bf16,16384,1024,0.9004,28,67.084,62.917,50.472,46.64,49.08,45.761,62.011,58.104,,,0.752,0.732,0.924,
best,1024,bf16,16384,2048,0.9004,28,124.292,119.43,92.274,87.289,90.785,86.168,121.442,114.045,,,0.742,0.73,0.977,
best,1024,bf16,32768,1,0.9004,40,29.954,19.709,14.845,13.326,15.435,13.715,14.464,13.608,,,0.496,0.515,0.483,
best,1024,bf16,32768,2,0.9004,40,28.81,19.653,14.8,13.322,15.149,13.693,15.24,14.192,,,0.514,0.526,0.529,
best,1024,bf16,32768,4,0.9004,40,28.874,19.764,14.795,13.335,15.275,13.711,15.437,14.428,,,0.512,0.529,0.535,
best,1024,bf16,32768,8,0.9004,40,28.754,19.752,14.902,13.358,15.4,13.741,15.499,14.44,,,0.518,0.536,0.539,
best,1024,bf16,32768,16,0.9004,40,27.413,19.937,15.333,13.734,15.715,14.124,15.677,14.54,,,0.559,0.573,0.572,
best,1024,bf16,32768,32,0.9004,40,27.08,20.008,15.501,13.809,16.043,14.198,16.206,14.916,,,0.572,0.592,0.598,
best,1024,bf16,32768,64,0.9004,40,27.301,19.969,16.01,13.935,16.526,14.344,15.698,14.655,,,0.586,0.605,0.575,
best,1024,bf16,32768,128,0.9004,40,27.829,20.075,16.902,14.225,17.418,14.611,16.52,14.879,,,0.607,0.626,0.594,
best,1024,bf16,32768,256,0.9004,40,31.267,27.191,23.242,19.955,23.816,20.44,30.184,28.053,,,0.743,0.762,0.965,
best,1024,bf16,32768,512,0.9004,40,54.739,47.959,39.538,34.623,40.277,35.235,57.901,54.238,,,0.722,0.736,1.058,
best,1024,bf16,32768,1024,0.9004,40,87.249,78.538,62.661,56.825,63.794,57.729,101.124,93.691,,,0.718,0.731,1.159,
best,1024,bf16,32768,2048,0.9004,40,159.495,155.425,114.098,111.947,116.274,113.837,198.285,193.553,,,0.715,0.729,1.243,
best,1024,bf16,65536,1,0.9004,38,23.512,20.803,15.88,14.688,14.781,13.227,14.362,13.496,,,0.675,0.629,0.611,
best,1024,bf16,65536,2,0.9004,38,23.787,20.847,15.95,14.691,15.034,13.34,14.834,13.923,,,0.671,0.632,0.624,
best,1024,bf16,65536,4,0.9004,38,23.331,21.313,15.963,14.676,15.378,13.704,14.968,13.938,,,0.684,0.659,0.642,
best,1024,bf16,65536,8,0.9004,38,23.424,21.485,16.139,14.715,15.659,13.784,15.309,14.429,,,0.689,0.669,0.654,
best,1024,bf16,65536,16,0.9004,38,23.351,21.461,16.522,15.106,15.623,13.818,15.878,14.677,,,0.708,0.669,0.68,
best,1024,bf16,65536,32,0.9004,38,23.698,21.855,16.83,15.153,16.046,14.407,18.605,17.345,,,0.71,0.677,0.785,
best,1024,bf16,65536,64,0.9004,38,23.28,20.588,17.424,15.323,16.901,14.808,24.238,22.543,,,0.748,0.726,1.041,
best,1024,bf16,65536,128,0.9004,38,24.494,20.943,18.752,15.657,19.104,15.795,26.299,24.261,,,0.766,0.78,1.074,
best,1024,bf16,65536,256,0.9004,38,40.595,35.004,29.575,24.154,30.714,25.233,49.797,46.556,,,0.729,0.757,1.227,
best,1024,bf16,65536,512,0.9004,38,72.119,62.343,51.527,42.236,53.456,43.493,98.111,90.987,,,0.714,0.741,1.36,
best,1024,bf16,65536,1024,0.9004,38,113.189,108.423,81.389,74.917,84.109,78.217,171.265,164.883,,,0.719,0.743,1.513,
