scenario,sweep,K,dtype,N,BS,op,radix_cold_us_local,radix_warm_us_local,base_cold_us_local,base_warm_us_local,speedup_same_node_cold
best,bs,1024,fp32,32768,4,radix_multi_cuda,40.486,37.971,23.67,21.797,0.5846
best,bs,1024,fp32,32768,8,radix_multi_cuda,40.211,37.92,23.678,21.829,0.5888
best,bs,1024,fp32,32768,16,radix_multi_cuda,40.641,38.089,24.024,22.055,0.5911
best,bs,1024,fp32,32768,32,radix_multi_cuda,47.635,46.187,24.413,22.145,0.5125
best,bs,1024,fp32,32768,64,radix_multi_cuda,65.513,64.473,25.195,22.288,0.3846
best,bs,1024,fp32,32768,128,radix_multi_cuda,52.971,49.082,26.369,22.602,0.4978
best,bs,1024,fp32,32768,256,radix_multi_cuda,96.687,91.293,38.27,31.807,0.3958
best,bs,1024,fp32,32768,512,radix_multi_cuda,167.935,162.566,69.114,58.511,0.4116
best,bs,1024,fp32,32768,1024,radix_multi_cuda,307.65,307.466,108.127,101.832,0.3515
best,bs,1024,fp32,32768,2048,radix_multi_cuda,607.217,606.705,191.779,186.244,0.3158
best,bs,1024,fp32,65536,1,radix_multi_cuda,40.552,36.983,32.844,30.652,0.8099
best,bs,1024,fp32,65536,2,radix_multi_cuda,41.12,37.952,32.39,30.59,0.7877
best,bs,1024,fp32,65536,4,radix_multi_cuda,41.679,38.356,32.409,30.641,0.7776
best,bs,1024,fp32,65536,8,radix_multi_cuda,41.523,38.55,32.576,30.645,0.7845
best,bs,1024,fp32,65536,16,radix_multi_cuda,42.067,38.827,32.894,30.956,0.7819
best,bs,1024,fp32,65536,32,radix_multi_cuda,49.206,47.363,33.696,31.046,0.6848
best,bs,1024,fp32,65536,64,radix_multi_cuda,69.624,67.515,34.467,31.299,0.495
best,bs,1024,fp32,65536,128,radix_multi_cuda,62.339,55.649,37.209,32.05,0.5969
best,bs,1024,fp32,65536,256,radix_multi_cuda,114.35,103.946,59.868,47.133,0.5236
best,bs,1024,fp32,65536,512,radix_multi_cuda,198.429,190.817,197.348,184.777,0.9946
best,bs,1024,fp32,65536,1024,radix_multi_cuda,359.965,362.768,336.559,321.259,0.935
best,bs,1024,fp32,65536,2048,radix_multi_cuda,693.179,693.73,595.932,595.931,0.8597
best,bs,1024,fp32,131072,1,radix_multi_cuda,43.936,39.426,27.344,24.907,0.6224
best,bs,1024,fp32,131072,2,radix_multi_cuda,44.287,40.204,27.238,24.845,0.615
best,bs,1024,fp32,131072,4,radix_multi_cuda,44.587,40.584,27.125,24.835,0.6084
best,bs,1024,fp32,131072,8,radix_multi_cuda,44.499,40.665,27.357,24.917,0.6148
best,bs,1024,fp32,131072,16,radix_multi_cuda,45.416,41.578,28.009,25.148,0.6167
best,bs,1024,fp32,131072,32,radix_multi_cuda,54.254,50.962,28.712,25.266,0.5292
best,bs,1024,fp32,131072,64,radix_multi_cuda,79.992,74.922,30.604,25.622,0.3826
best,bs,1024,fp32,131072,128,radix_multi_cuda,83.066,69.735,39.531,27.217,0.4759
best,bs,1024,fp32,131072,256,radix_multi_cuda,159.253,150.182,91.162,79.469,0.5724
best,bs,1024,fp32,131072,512,radix_multi_cuda,260.892,252.643,187.353,163.444,0.7181
best,bs,1024,fp32,131072,1024,radix_multi_cuda,469.904,461.26,300.747,282.523,0.64
best,bs,1024,fp32,131072,2048,radix_multi_cuda,908.392,903.561,548.475,538.407,0.6038
best,bs,1024,fp32,262144,1,radix_multi_cuda,49.813,43.691,42.14,38.706,0.846
best,bs,1024,fp32,262144,2,radix_multi_cuda,50.818,44.599,42.064,38.643,0.8277
best,bs,1024,fp32,262144,4,radix_multi_cuda,50.601,44.862,42.127,38.639,0.8325
best,bs,1024,fp32,262144,8,radix_multi_cuda,50.779,44.88,42.47,38.794,0.8364
best,bs,1024,fp32,262144,16,radix_multi_cuda,52.85,46.38,43.175,39.044,0.8169
best,bs,1024,fp32,262144,32,radix_multi_cuda,64.694,58.38,44.479,39.217,0.6875
best,bs,1024,fp32,262144,64,radix_multi_cuda,99.379,88.318,52.903,39.741,0.5323
best,bs,1024,fp32,262144,128,radix_multi_cuda,133.964,125.586,87.209,75.135,0.651
best,bs,1024,fp32,262144,256,radix_multi_cuda,232.723,223.642,160.083,145.078,0.6879
