scenario,K,dtype,N,BS,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,op21_legacy_cold_us,op21_legacy_warm_us,op21_hls_cold_us,op21_hls_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,op25_hls_cold_us,op25_hls_warm_us,radix_single_cuda_cold_us,radix_single_cuda_warm_us,radix_multi_cuda_cold_us,radix_multi_cuda_warm_us,op26_1cta_cold_us,op26_1cta_warm_us,op26_mc_cold_us,op26_mc_warm_us,op27_hls_cold_us,op27_hls_warm_us,op26_r0auto_cold_us,op26_r0auto_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,speedup_vs_base_op21_legacy,speedup_vs_base_op21_hls,speedup_vs_base_radix_cutedsl,speedup_vs_base_gvr_multicta_cutedsl,speedup_vs_base_op25_hls,speedup_vs_base_radix_single_cuda,speedup_vs_base_radix_multi_cuda,speedup_vs_base_op26_1cta,speedup_vs_base_op26_mc,speedup_vs_base_op27_hls,speedup_vs_base_sglang_streaming,speedup_vs_base_op26_r0auto,mc_cluster_size,op25_ms_path,op26_mc_cluster_size,op27_ms_path
best,512,fp32,262144,1,37.608,33.718,18.237,16.417,17.616,16.017,19.15,18.412,19.956,18.235,16.317,14.859,130.871,94.749,47.815,40.808,36.613,32.905,19.977,18.238,15.902,14.516,18.762,17.024,78.184,77.939,2.0622,2.1349,1.9639,1.8845,2.3048,0.2874,0.7865,1.0272,1.8826,2.365,0.481,2.0045,4,msc_C8,4,msc_C8
best,512,fp32,524288,1,65.274,59.585,23.947,22.29,23.328,21.92,19.061,18.27,28.093,25.678,18.901,17.631,244.445,175.012,61.418,50.682,61.482,56.017,28.168,25.696,18.619,17.351,25.87,23.59,148.322,149.447,2.7258,2.7981,3.4245,2.3235,3.4535,0.267,1.0628,1.0617,2.3173,3.5058,0.4401,2.5232,4,msc_C8,4,msc_C8
best,512,fp32,1048576,1,118.624,108.802,35.562,33.269,35.573,33.408,20.243,18.908,42.031,38.284,25.893,24.237,472.89,336.089,86.439,67.384,112.954,103.67,42.041,38.29,25.357,23.852,36.878,33.613,288.332,291.271,3.3357,3.3347,5.86,2.8223,4.5813,0.2508,1.3723,1.0502,2.8216,4.6782,0.4114,3.2167,4,msc_C8,4,msc_C8
best,1024,bf16,4096,1,9.914,8.492,9.411,8.335,9.536,8.36,5.587,4.917,9.657,8.42,9.805,8.709,15.013,14.329,37.974,33.522,9.571,8.401,9.54,8.59,9.776,8.72,9.176,8.121,,,1.0534,1.0396,1.7745,1.0266,1.0111,0.6604,0.2611,1.0358,1.0392,1.0141,,1.0804,1,ms_1cta,1,ms_1cta
best,1024,bf16,8192,1,12.872,11.941,10.477,9.54,10.533,9.588,6.858,6.302,12.933,11.929,11.367,10.329,16.381,15.592,37.882,34.215,10.318,9.238,10.454,9.355,11.335,10.373,10.236,9.287,,,1.2286,1.2221,1.8769,0.9953,1.1324,0.7858,0.3398,1.2475,1.2313,1.1356,,1.2575,1,ms_1cta,1,ms_1cta
best,1024,bf16,16384,1,12.278,10.749,12.397,10.902,12.483,10.961,9.688,9.128,11.477,10.327,14.245,12.853,19.291,17.999,39.231,35.457,12.134,10.694,12.283,11.2,14.14,12.713,11.595,10.113,,,0.9904,0.9836,1.2673,1.0698,0.8619,0.6365,0.313,1.0119,0.9996,0.8683,,1.0589,1,ms_1cta,1,ms_1cta
best,1024,bf16,32768,1,14.107,12.623,14.334,12.566,14.469,12.577,14.781,13.997,14.548,12.822,15.536,13.445,24.588,22.96,40.368,37.826,14.742,13.255,14.978,13.368,15.439,13.441,12.428,11.281,,,0.9842,0.975,0.9544,0.9697,0.908,0.5737,0.3495,0.9569,0.9418,0.9137,,1.1351,1,ms_1cta,1,ms_1cta
best,1024,bf16,65536,1,26.638,25.495,13.259,11.955,13.437,12.156,14.869,13.925,22.838,21.377,14.432,12.957,34.216,30.987,41.376,38.11,19.336,18.224,18.748,17.281,14.732,13.324,15.225,13.864,,,2.0091,1.9824,1.7915,1.1664,1.8458,0.7785,0.6438,1.3776,1.4208,1.8082,,1.7496,4,msc_C8,4,msc_C8
best,1024,bf16,131072,1,25.373,23.467,13.598,11.913,13.57,11.868,14.726,13.656,18.021,16.463,14.346,12.601,55.982,47.962,45.41,40.867,25.075,23.187,22.419,21.043,14.675,12.838,15.916,14.509,,,1.8659,1.8698,1.723,1.408,1.7686,0.4532,0.5588,1.0119,1.1318,1.729,,1.5942,4,msc_C8,4,msc_C8
best,1024,bf16,262144,1,38.997,37.354,14.498,12.714,14.477,12.69,14.56,13.71,22.287,20.795,14.642,12.668,94.761,79.821,49.092,44.087,38.635,37.071,25.32,23.844,14.82,12.972,21.307,19.8,,,2.6898,2.6937,2.6784,1.7498,2.6634,0.4115,0.7944,1.0094,1.5402,2.6314,,1.8302,4,msc_C8,4,msc_C8
best,1024,bf16,524288,1,63.598,61.367,16.211,13.776,16.434,13.985,14.627,13.619,28.559,26.335,16.939,14.575,175.377,146.097,56.338,50.189,63.222,60.752,28.522,26.454,17.327,14.864,25.504,23.588,,,3.9231,3.8699,4.348,2.2269,3.7545,0.3626,1.1289,1.0059,2.2298,3.6705,,2.4936,4,msc_C8,4,msc_C8
best,1024,bf16,1048576,1,115.239,111.905,19.61,16.274,19.672,16.364,15.322,14.036,42.264,39.16,19.763,16.181,340.471,280.186,74.42,65.423,114.041,110.707,41.894,38.754,19.996,16.536,37.948,35.404,,,5.8765,5.858,7.5211,2.7266,5.831,0.3385,1.5485,1.0105,2.7507,5.7631,,3.0368,4,msc_C8,4,msc_C8
best,1024,fp16,4096,1,10.33,8.763,10.077,8.974,10.093,8.995,5.238,4.358,9.984,8.807,10.486,9.334,14.233,13.383,35.637,31.618,9.93,8.754,9.309,8.441,10.358,9.285,10.721,9.535,,,1.0251,1.0235,1.9721,1.0347,0.9851,0.7258,0.2899,1.0403,1.1097,0.9973,,0.9635,1,ms_1cta,1,ms_1cta
best,1024,fp16,8192,1,12.37,11.007,11.431,10.102,11.443,10.113,6.53,5.721,12.439,11.1,12.211,10.951,15.792,14.683,36.371,32.406,10.867,9.571,11.065,9.727,12.156,10.903,13.502,12.16,,,1.0821,1.081,1.8943,0.9945,1.013,0.7833,0.3401,1.1383,1.1179,1.0176,,0.9162,1,ms_1cta,1,ms_1cta
best,1024,fp16,16384,1,17.837,16.315,12.39,10.791,12.294,10.776,9.213,8.433,17.046,15.938,13.995,12.442,18.714,17.225,37.295,33.86,17.548,16.047,12.477,11.274,13.969,12.503,13.28,11.83,,,1.4396,1.4509,1.9361,1.0464,1.2745,0.9531,0.4783,1.0165,1.4296,1.2769,,1.3431,1,ms_1cta,1,ms_1cta
best,1024,fp16,32768,1,14.981,13.309,14.486,12.373,14.918,12.503,12.923,11.828,15.578,13.543,15.476,13.192,24.446,22.064,38.976,35.563,16.456,14.628,16.807,14.522,15.506,13.259,12.741,11.441,,,1.0342,1.0042,1.1593,0.9617,0.968,0.6128,0.3844,0.9104,0.8914,0.9661,,1.1758,1,ms_1cta,1,ms_1cta
