model,isl,dtype,BS,N,hit,gvr_base,gvr_pr,op26_r0auto,radix_cutedsl,sglang_v2,flashinfer_topk
flash,256k,bf16,1,65538,0.279296875,13.09905,12.8111,13.09885,14.696,,10.329600000000001
flash,256k,bf16,2,65538,0.279296875,13.4335,13.0543,13.3598,14.704,,10.5344
flash,256k,bf16,4,65538,0.279296875,13.4031,13.07185,13.31965,14.9632,,10.5776
flash,256k,bf16,8,65538,0.279296875,14.01425,13.63825,13.93425,15.048,,10.8064
flash,256k,bf16,16,65538,0.279296875,14.1454,13.822299999999998,14.124600000000001,15.491200000000001,,12.836799999999998
flash,256k,bf16,32,65538,0.279296875,14.601450000000002,14.2719,14.5758,22.1648,,13.912
flash,256k,bf16,64,65538,0.279296875,16.0318,16.21895,15.38225,30.912,,16.904
flash,256k,bf16,128,65538,0.279296875,16.187,17.435,17.25255,23.302400000000002,,23.1264
flash,256k,bf16,256,65538,0.279296875,26.27975,26.4269,25.31165,43.8784,,34.88
flash,256k,bf16,512,65538,0.279296875,46.593199999999996,46.5787,43.83,85.74719999999999,,63.55675
flash,256k,bf16,1024,65538,0.279296875,72.4376,72.96085000000001,69.07435000000001,149.52960000000002,,106.6528
flash,256k,fp16,1,65538,0.279296875,15.7408,13.699200000000001,14.28465,12.478399999999999,,9.8608
flash,256k,fp16,2,65538,0.279296875,15.459200000000001,13.3584,13.8655,14.284799999999999,,9.9424
flash,256k,fp16,4,65538,0.279296875,15.601600000000001,13.428700000000001,14.011149999999999,14.52,,10.2544
flash,256k,fp16,8,65538,0.279296875,15.7904,13.513399999999999,14.24475,14.872,,10.4336
flash,256k,fp16,16,65538,0.279296875,15.96,13.66865,14.540700000000001,15.1392,,12.04
flash,256k,fp16,32,65538,0.279296875,16.3952,14.092649999999999,14.884649999999999,21.7088,,13.368
flash,256k,fp16,64,65538,0.279296875,17.7392,15.98845,15.643,30.596799999999998,,15.656
flash,256k,fp16,128,65538,0.279296875,18.139,16.996650000000002,20.284650000000003,23.00965,,21.624
flash,256k,fp16,256,65538,0.279296875,28.3998,25.81905,29.4734,43.2736,,32.0608
flash,256k,fp16,512,65538,0.279296875,50.8909,47.0301,52.261900000000004,84.7632,,58.5152
flash,256k,fp16,1024,65538,0.279296875,78.8426,72.7018,82.50655,147.71845000000002,,98.09125
flash,256k,fp32,1,65538,0.279296875,16.8012,12.9855,13.8735,19.05445,9.587200000000001,13.192
