model,isl,L,K,npad,h,onepass6,onepass8,best_c
pro,512k,8,1024,131136,0.896,1,1,1803
pro,512k,10,1024,131136,0.866,1,1,1047
pro,512k,12,1024,131136,0.860,1,1,1054
pro,512k,14,1024,131136,0.780,1,1,1345
pro,512k,16,1024,131136,0.586,1,1,1199
pro,512k,18,1024,131136,0.632,1,1,1469
pro,512k,20,1024,131136,0.745,1,1,1041
pro,512k,22,1024,131136,0.411,1,1,1667
pro,512k,24,1024,131136,0.601,1,1,1120
pro,512k,26,1024,131136,0.436,1,1,1371
pro,512k,28,1024,131136,0.612,1,1,1062
pro,512k,30,1024,131136,0.230,1,1,1327
pro,512k,32,1024,131136,0.373,1,1,1029
pro,512k,34,1024,131136,0.629,1,1,1614
pro,512k,36,1024,131136,0.314,1,1,1331
pro,512k,38,1024,131136,0.600,1,1,1128
pro,512k,40,1024,131136,0.414,1,1,1614
pro,512k,42,1024,131136,0.624,1,1,1029
pro,512k,44,1024,131136,0.393,1,1,1637
pro,512k,46,1024,131136,0.664,1,1,1382
pro,512k,48,1024,131136,0.297,1,1,1871
pro,512k,50,1024,131136,0.628,1,1,1472
pro,512k,52,1024,131136,0.591,1,1,1129
pro,512k,54,1024,131136,0.668,1,1,1321
pro,512k,56,1024,131136,0.734,1,1,1079
pro,512k,58,1024,131136,0.762,1,1,1403
pro,512k,60,1024,131136,0.859,1,1,1066
pro,64k,2,1024,16448,0.787,1,1,1302
pro,64k,4,1024,16448,0.796,1,1,1307
pro,64k,6,1024,16448,0.840,1,1,1134
pro,64k,8,1024,16448,0.860,1,1,1058
pro,64k,10,1024,16448,0.737,1,1,1073
pro,64k,12,1024,16448,0.655,1,1,1370
pro,64k,14,1024,16448,0.606,1,1,1113
pro,64k,16,1024,16448,0.544,1,1,1407
pro,64k,18,1024,16448,0.506,1,1,1537
pro,64k,20,1024,16448,0.632,1,1,1404
pro,64k,22,1024,16448,0.515,1,1,1547
pro,64k,24,1024,16448,0.647,1,1,1379
pro,64k,26,1024,16448,0.521,1,1,1460
pro,64k,28,1024,16448,0.642,1,1,1415
pro,64k,30,1024,16448,0.312,1,1,1374
pro,64k,32,1024,16448,0.416,1,1,1466
pro,64k,34,1024,16448,0.626,1,1,1580
pro,64k,36,1024,16448,0.487,1,1,1084
pro,64k,38,1024,16448,0.269,1,1,2217
pro,64k,40,1024,16448,0.294,1,1,1523
pro,64k,42,1024,16448,0.441,1,1,1286
pro,64k,44,1024,16448,0.144,1,1,2910
pro,64k,46,1024,16448,0.519,1,1,1454
pro,64k,48,1024,16448,0.271,1,1,1693
pro,64k,50,1024,16448,0.441,1,1,1393
pro,64k,52,1024,16448,0.374,1,1,1027
pro,64k,54,1024,16448,0.635,1,1,1620
pro,64k,56,1024,16448,0.602,1,1,1125
pro,64k,58,1024,16448,0.655,1,1,1432
pro,64k,60,1024,16448,0.860,1,1,1051
v32,128k,3,2048,131136,0.904,1,1,7130
v32,128k,4,2048,131136,0.924,1,1,5129
v32,128k,5,2048,131136,0.925,1,1,3174
v32,128k,6,2048,131136,0.855,1,1,2178
v32,128k,7,2048,131136,0.849,1,1,2174
v32,128k,8,2048,131136,0.873,1,1,2065
v32,128k,9,2048,131136,0.933,1,1,4056
v32,128k,10,2048,131136,0.872,1,1,2064
v32,128k,11,2048,131136,0.853,1,1,2182
v32,128k,12,2048,131136,0.874,1,1,2055
v32,128k,13,2048,131136,0.881,1,1,4146
v32,128k,14,2048,131136,0.904,1,1,5684
v32,128k,15,2048,131136,0.917,1,1,5127
v32,128k,16,2048,131136,0.915,1,1,7934
v32,128k,17,2048,131136,0.801,1,1,2511
v32,128k,18,2048,131136,0.887,1,1,4301
v32,128k,19,2048,131136,0.901,1,1,4031
v32,128k,20,2048,131136,0.849,1,1,2194
v32,128k,21,2048,131136,0.786,1,1,2686
v32,128k,22,2048,131136,0.826,1,1,2308
v32,128k,23,2048,131136,0.610,1,1,2140
v32,128k,24,2048,131136,0.343,1,1,2433
v32,128k,25,2048,131136,0.607,1,1,2181
v32,128k,26,2048,131136,0.492,1,1,2092
v32,128k,27,2048,131136,0.507,1,1,3098
v32,128k,28,2048,131136,0.539,1,1,2802
v32,128k,29,2048,131136,0.480,1,1,2167
v32,128k,30,2048,131136,0.492,1,1,2115
v32,128k,31,2048,131136,0.498,1,1,2059
v32,128k,32,2048,131136,0.500,1,1,3253
v32,128k,33,2048,131136,0.573,1,1,2457
v32,128k,34,2048,131136,0.620,1,1,2094
v32,128k,35,2048,131136,0.673,1,1,2601
v32,128k,36,2048,131136,0.787,1,1,2557
v32,128k,37,2048,131136,0.796,1,1,2612
v32,128k,38,2048,131136,0.801,1,1,2489
v32,128k,39,2048,131136,0.780,1,1,2660
v32,128k,40,2048,131136,0.809,1,1,2515
v32,128k,41,2048,131136,0.828,1,1,2318
v32,128k,42,2048,131136,0.855,1,1,2144
v32,128k,43,2048,131136,0.863,1,1,2115
v32,128k,44,2048,131136,0.886,1,1,4833
v32,128k,45,2048,131136,0.801,1,1,2452
v32,128k,46,2048,131136,0.858,1,1,2127
v32,128k,47,2048,131136,0.932,1,1,3208
v32,128k,48,2048,131136,0.857,1,1,2149
v32,128k,49,2048,131136,0.874,1,1,2056
v32,128k,50,2048,131136,0.867,1,1,2087
v32,128k,51,2048,131136,0.911,1,1,5029
v32,128k,52,2048,131136,0.876,1,1,7146
v32,128k,53,2048,131136,0.886,1,1,6323
v32,128k,54,2048,131136,0.930,1,1,3320
v32,128k,55,2048,131136,0.928,1,1,3064
v32,128k,56,2048,131136,0.910,1,1,3186
v32,128k,57,2048,131136,0.920,1,1,3777
v32,128k,58,2048,131136,0.884,1,1,5094
v32,128k,59,2048,131136,0.899,1,1,5298
v32,128k,60,2048,131136,0.907,1,1,3880
v32,16k,3,2048,16448,0.856,1,1,2141
