cell,BS,champ_us,pr_us,speedup,exact
pro_256k_L14,1,14.635,14.39505,0.9836,OK
pro_256k_L14,2,14.864,14.492700000000001,0.975,OK
pro_256k_L14,4,15.215,14.54385,0.9559,OK
pro_256k_L14,8,15.54,14.948649999999999,0.9619,OK
pro_256k_L14,16,15.963,15.33105,0.9604,OK
pro_256k_L14,32,16.759,16.18225,0.9656,OK
pro_256k_L14,64,20.663,18.6158,0.9009,OK
pro_256k_L14,128,16.45,20.86695,1.2685,OK
pro_256k_L14,256,16.624,32.5373,1.9573,OK
pro_256k_L14,512,16.492,61.887449999999994,3.7526,OK
pro_256k_L14,1024,16.72,103.7718,6.2063,OK
pro_256k_L30,1,14.633,13.54235,0.9255,OK
pro_256k_L30,2,14.93,13.6591,0.9149,OK
pro_256k_L30,4,15.31,14.21425,0.9284,OK
pro_256k_L30,8,15.647,14.59825,0.933,OK
pro_256k_L30,16,16.04,14.823649999999999,0.9242,OK
pro_256k_L30,32,16.608,15.844299999999999,0.954,OK
pro_256k_L30,64,20.204,18.5422,0.9178,OK
pro_256k_L30,128,16.562,20.58205,1.2427,OK
pro_256k_L30,256,16.594,32.313,1.9473,OK
pro_256k_L30,512,16.726,61.3527,3.6681,OK
pro_256k_L30,1024,17.177,101.69765,5.9204,OK
pro_256k_L46,1,15.14,13.931049999999999,0.9201,OK
pro_256k_L46,2,15.259,14.08625,0.9231,OK
pro_256k_L46,4,15.741,14.6031,0.9277,OK
pro_256k_L46,8,15.954,15.01595,0.9412,OK
pro_256k_L46,16,16.351,15.27015,0.9339,OK
pro_256k_L46,32,17.187,16.2381,0.9448,OK
pro_256k_L46,64,21.276,18.8831,0.8875,OK
pro_256k_L46,128,16.85,20.75025,1.2314,OK
pro_256k_L46,256,16.993,32.68775,1.9236,OK
pro_256k_L46,512,17.044,62.484300000000005,3.666,OK
pro_256k_L46,1024,17.204,103.71435000000001,6.0286,OK
pro_32k_L14,1,12.218,11.3775,0.9312,OK
pro_32k_L14,2,12.34,11.3903,0.9231,OK
pro_32k_L14,4,12.37,11.444700000000001,0.9252,OK
pro_32k_L14,8,12.452,11.44155,0.9188,OK
pro_32k_L14,16,12.872,11.657549999999999,0.9056,OK
pro_32k_L14,32,12.961,11.73105,0.9051,OK
pro_32k_L14,64,13.215,11.9662,0.9055,OK
pro_32k_L14,128,13.723,12.510200000000001,0.9116,OK
pro_32k_L14,256,17.466,14.90865,0.8536,OK
pro_32k_L14,512,13.893,27.4525,1.976,OK
pro_32k_L14,1024,14.206,50.538650000000004,3.5576,OK
pro_32k_L30,1,11.645,10.68775,0.9178,OK
pro_32k_L30,2,11.878,10.6238,0.8944,OK
