  scen     K        N   BS |   anchor    rival     hbec      off | rv/hbec  rv/off
 worst  2048   131072  256 |    74.55    61.29    61.24    61.29 |   1.001   1.000
 worst  2048   131072  512 |   147.63   110.79   110.60   110.58 |   1.002   1.002
 worst  2048   262144    1 |    34.62    16.67    17.61    16.66 |   0.946   1.000
 worst  2048   262144   16 |    35.80    21.83    22.54    21.84 |   0.969   1.000
 worst  2048   262144   64 |    43.91   106.96   104.02   107.11 |   1.028   0.999
 worst  2048   262144  256 |   126.05   106.76   106.66   106.56 |   1.001   1.002
 worst  2048   262144  512 |   245.12   198.43   197.86   201.37 |   1.003   0.985
 worst  2048   524288    1 |    53.84    23.02    24.24    23.09 |   0.950   0.997
 worst  2048   524288   16 |    55.45    30.73    34.18    30.84 |   0.899   0.996
 worst  2048   524288   64 |    83.09   160.91   155.04   161.39 |   1.038   0.997
 worst  2048   524288  256 |   214.96   527.57   557.02   528.24 |   0.947   0.999
 worst  2048   524288  512 |   458.38  1004.07  1066.80  1002.74 |   0.941   1.001
 worst  2048  1048576    1 |    94.65    32.99    30.84    32.99 |   1.070   1.000
 worst  2048  1048576   16 |   101.99    45.97    41.37    45.93 |   1.111   1.001
 worst  2048  1048576   64 |   146.26   278.71   209.55   277.93 |   1.330   1.003
 worst  2048  1048576  256 |   383.08   872.52   657.82   874.01 |   1.326   0.998
 worst  2048  1048576  512 |   852.38  1670.40  1252.44  1671.85 |   1.334   0.999

geomean t(rival)/t(hbec): {'real': 1.104, 'best': 1.112, 'worst': 1.085}
geomean t(rival)/t(off) [parity ~1.0]: {'real': 1.001, 'best': 1.001, 'worst': 1.001}
