family,sweep,scenario,model,op,K,dtype,N,BS,isl,cr,hit,us,us_span,exact
real,bs,,flash,op26_r0auto,512,bf16,2051,128,8k,4,0.333984375,9.3103,9.3103,
real,bs,,flash,radix_cutedsl,512,bf16,2051,128,8k,4,0.333984375,5.7776000000000005,5.7776000000000005,True
real,bs,,flash,flashinfer_topk,512,bf16,2051,256,8k,4,0.333984375,8.256,8.256,True
real,bs,,flash,gvr_base,512,bf16,2051,256,8k,4,0.333984375,10.44625,10.44625,True
real,bs,,flash,gvr_pr,512,bf16,2051,256,8k,4,0.333984375,9.36635,9.36635,True
real,bs,,flash,op26_r0auto,512,bf16,2051,256,8k,4,0.333984375,8.9967,8.9967,
real,bs,,flash,radix_cutedsl,512,bf16,2051,256,8k,4,0.333984375,9.7424,9.7424,True
real,bs,,flash,flashinfer_topk,512,bf16,2051,512,8k,4,0.333984375,14.5328,14.5328,True
real,bs,,flash,gvr_base,512,bf16,2051,512,8k,4,0.333984375,18.219099999999997,18.219099999999997,True
real,bs,,flash,gvr_pr,512,bf16,2051,512,8k,4,0.333984375,16.526349999999997,16.526349999999997,True
real,bs,,flash,op26_r0auto,512,bf16,2051,512,8k,4,0.333984375,15.70545,15.70545,
real,bs,,flash,radix_cutedsl,512,bf16,2051,512,8k,4,0.333984375,17.80795,17.80795,True
real,bs,,flash,flashinfer_topk,512,bf16,2051,1024,8k,4,0.333984375,25.2527,25.2527,True
real,bs,,flash,gvr_base,512,bf16,2051,1024,8k,4,0.333984375,27.77425,27.77425,True
real,bs,,flash,gvr_pr,512,bf16,2051,1024,8k,4,0.333984375,24.841450000000002,24.841450000000002,True
real,bs,,flash,op26_r0auto,512,bf16,2051,1024,8k,4,0.333984375,23.8062,23.8062,
real,bs,,flash,radix_cutedsl,512,bf16,2051,1024,8k,4,0.333984375,30.0319,30.0319,True
real,bs,,flash,flashinfer_topk,512,bf16,4099,1,16k,4,0.34375,6.4048,6.4048,True
