model,isl,L,dtype,N,cs,BS,hit,base,pr,op26,pr_vs_base,op26_vs_pr,pr_exact
v32,8k,34,fp16,8207,1,256,0.841796875,20.022,14.96455,18.34215,1.338,1.226,True
v32,8k,34,fp16,8207,1,512,0.841796875,35.28745,25.80605,32.0492,1.367,1.242,True
v32,8k,34,fp16,8207,1,1024,0.841796875,55.189699999999995,39.94075,49.86175,1.382,1.248,True
v32,8k,34,fp32,8207,1,1,0.841796875,14.4862,11.16475,11.65595,1.297,1.044,True
v32,8k,34,fp32,8207,1,2,0.841796875,14.6415,11.3086,11.759799999999998,1.295,1.04,True
v32,8k,34,fp32,8207,1,4,0.841796875,14.451049999999999,11.169450000000001,11.75665,1.294,1.053,True
v32,8k,34,fp32,8207,1,8,0.841796875,14.57595,11.19025,11.846350000000001,1.303,1.059,True
v32,8k,34,fp32,8207,1,16,0.841796875,14.9118,11.481399999999999,11.94065,1.299,1.04,True
v32,8k,34,fp32,8207,1,32,0.841796875,15.19015,11.72955,12.332600000000001,1.295,1.051,True
v32,8k,34,fp32,8207,1,64,0.841796875,15.5007,11.988700000000001,12.6093,1.293,1.052,True
v32,8k,34,fp32,8207,1,128,0.841796875,16.19815,12.6623,13.3406,1.279,1.054,True
v32,8k,34,fp32,8207,1,256,0.841796875,20.11815,15.6271,16.64625,1.287,1.065,True
v32,8k,34,fp32,8207,1,512,0.841796875,36.84435,28.5081,29.37705,1.292,1.03,True
v32,8k,34,fp32,8207,1,1024,0.841796875,65.0553,52.77705,46.0122,1.233,0.872,True
v32,16k,34,bf16,16399,1,1,0.5341796875,15.32,13.31985,17.13235,1.15,1.286,True
v32,16k,34,bf16,16399,1,2,0.5341796875,15.31145,13.319799999999999,15.243,1.15,1.144,True
v32,16k,34,bf16,16399,1,4,0.5341796875,15.289399999999999,13.3039,15.251100000000001,1.149,1.146,True
v32,16k,34,bf16,16399,1,8,0.5341796875,15.3775,13.2911,16.6174,1.157,1.25,True
v32,16k,34,bf16,16399,1,16,0.5341796875,15.211049999999998,13.207799999999999,15.9822,1.152,1.21,True
v32,16k,34,bf16,16399,1,32,0.5341796875,15.31655,13.32465,15.305299999999999,1.149,1.149,True
v32,16k,34,bf16,16399,1,64,0.5341796875,15.526200000000001,13.475100000000001,15.5038,1.152,1.151,True
v32,16k,34,bf16,16399,1,128,0.5341796875,15.95975,14.08625,16.5998,1.133,1.178,True
v32,16k,34,bf16,16399,1,256,0.5341796875,20.082900000000002,18.01425,21.335900000000002,1.115,1.184,True
v32,16k,34,bf16,16399,1,512,0.5341796875,35.2188,31.201150000000002,36.926050000000004,1.129,1.183,True
v32,16k,34,bf16,16399,1,1024,0.5341796875,55.519400000000005,47.8891,57.6346,1.159,1.204,True
