model,isl,L,dtype,N,cs,BS,hit,base,pr,op26,pr_vs_base,op26_vs_pr,pr_exact
v32,64k,54,fp32,65551,4,1,0.745,23.63015,18.980700000000002,18.4877,1.245,0.974,True
v32,64k,54,fp32,65551,4,2,0.745,23.940450000000002,19.299049999999998,18.657349999999997,1.24,0.967,True
v32,64k,54,fp32,65551,4,4,0.745,24.3277,19.59505,19.0541,1.242,0.972,True
v32,64k,54,fp32,65551,4,8,0.745,24.5213,19.83015,19.396549999999998,1.237,0.978,True
v32,64k,54,fp32,65551,4,16,0.745,25.1565,20.332549999999998,19.61575,1.237,0.965,True
v32,64k,54,fp32,65551,4,32,0.745,25.9389,21.0892,21.21565,1.23,1.006,True
v32,64k,54,fp32,65551,2,64,0.745,29.724400000000003,24.242900000000002,22.958,1.226,0.947,True
v32,64k,54,fp32,65551,1,128,0.745,29.466849999999997,25.0285,28.8045,1.177,1.151,True
v32,64k,54,fp32,65551,1,256,0.745,46.02975,39.21705,51.56575,1.174,1.315,True
v32,64k,54,fp32,65551,1,512,0.745,87.01325,74.431,120.4,1.169,1.618,True
v32,64k,54,fp32,65551,1,1024,0.745,144.51485,121.88155,186.95275,1.186,1.534,True
v32,128k,54,fp32,131087,8,1,0.93,22.90045,19.687900000000003,18.1981,1.163,0.924,True
v32,128k,54,fp32,131087,8,2,0.93,22.58525,19.690900000000003,18.1262,1.147,0.921,True
v32,128k,54,fp32,131087,8,4,0.93,23.042849999999998,20.13895,18.5869,1.144,0.923,True
v32,128k,54,fp32,131087,4,8,0.93,24.86845,21.1919,19.01905,1.173,0.897,True
v32,128k,54,fp32,131087,4,16,0.93,25.57085,21.603,19.465349999999997,1.184,0.901,True
v32,128k,54,fp32,131087,4,32,0.93,27.24925,23.050900000000002,22.87335,1.182,0.992,True
v32,128k,54,fp32,131087,2,64,0.93,33.30825,27.042849999999998,25.9117,1.232,0.958,True
v32,128k,54,fp32,131087,1,128,0.93,41.2618,34.6252,42.54825,1.192,1.229,True
v32,128k,54,fp32,131087,1,256,0.93,102.5394,67.20230000000001,84.7204,1.526,1.261,True
v32,128k,54,fp32,131087,1,512,0.93,182.9127,119.35195,160.41385,1.533,1.344,True
v32,128k,54,fp32,131087,1,1024,0.93,341.96025,215.43075,255.04305,1.587,1.184,True
v32,256k,54,fp32,163775,8,1,0.865,33.10995,19.6621,18.12605,1.684,0.922,True
v32,256k,54,fp32,163775,8,2,0.865,33.2075,19.92935,18.454099999999997,1.666,0.926,True
v32,256k,54,fp32,163775,8,4,0.865,33.7083,20.350150000000003,18.70535,1.656,0.919,True
v32,256k,54,fp32,163775,4,8,0.865,36.2236,21.844450000000002,19.3645,1.658,0.886,True
v32,256k,54,fp32,163775,4,16,0.865,36.8524,22.4045,19.721400000000003,1.645,0.88,True
v32,256k,54,fp32,163775,4,32,0.865,38.657,23.87975,24.13255,1.619,1.011,True
v32,256k,54,fp32,163775,2,64,0.865,46.1274,28.812450000000002,27.754900000000003,1.601,0.963,True
v32,256k,54,fp32,163775,1,128,0.865,62.71755,44.75305,46.0474,1.401,1.029,True
v32,256k,54,fp32,163775,1,256,0.865,137.95175,79.6614,88.6772,1.732,1.113,True
v32,256k,54,fp32,163775,1,512,0.865,253.37585,143.9821,178.57525,1.76,1.24,True
v32,256k,54,fp32,163775,1,1024,0.865,462.3924,257.2125,280.7738,1.798,1.092,True
