model,isl,N,K,L,hit,op,us,us_span,exact
pro,256k,65539,1024,46,0.709,flashinfer_topk,13.8733,13.8733,True
pro,512k,131075,1024,14,0.78,op26_r0auto,15.0783,15.0783,
pro,512k,131075,1024,14,0.78,radix_cutedsl,19.8557,19.8557,True
pro,512k,131075,1024,14,0.78,sglang_v2,11.8319,11.8319,True
pro,512k,131075,1024,14,0.78,flashinfer_topk,15.435,15.435,True
pro,512k,131075,1024,30,0.23,op26_r0auto,15.4125,15.4125,
pro,512k,131075,1024,30,0.23,radix_cutedsl,19.7822,19.7822,True
pro,512k,131075,1024,30,0.23,sglang_v2,11.3567,11.3567,True
pro,512k,131075,1024,30,0.23,flashinfer_topk,14.6989,14.6989,True
pro,512k,131075,1024,46,0.664,op26_r0auto,14.8848,14.8848,
pro,512k,131075,1024,46,0.664,radix_cutedsl,19.9965,19.9965,True
pro,512k,131075,1024,46,0.664,sglang_v2,12.0703,12.0703,True
pro,512k,131075,1024,46,0.664,flashinfer_topk,15.4207,15.4207,True
pro,1024k,262127,1024,14,0.71,op26_r0auto,19.3645,19.3645,
pro,1024k,262127,1024,14,0.71,radix_cutedsl,19.7757,19.7757,True
pro,1024k,262127,1024,14,0.71,sglang_v2,16.8735,16.8735,True
pro,1024k,262127,1024,14,0.71,flashinfer_topk,18.6077,18.6077,True
pro,1024k,262127,1024,30,0.267,op26_r0auto,19.3919,19.3919,
pro,1024k,262127,1024,30,0.267,radix_cutedsl,19.9342,19.9342,True
pro,1024k,262127,1024,30,0.267,sglang_v2,15.8861,15.8861,True
pro,1024k,262127,1024,30,0.267,flashinfer_topk,17.5646,17.5646,True
pro,1024k,262127,1024,46,0.64,op26_r0auto,20.1502,20.1502,
pro,1024k,262127,1024,46,0.64,radix_cutedsl,19.3662,19.3662,True
pro,1024k,262127,1024,46,0.64,sglang_v2,15.0413,15.0413,True
pro,1024k,262127,1024,46,0.64,flashinfer_topk,17.427,17.427,True
v32,4k,4111,2048,14,0.81,op26_r0auto,11.8095,11.8095,
v32,4k,4111,2048,14,0.81,radix_cutedsl,6.7215,6.7215,True
v32,4k,4111,2048,14,0.81,sglang_v2,7.4815,7.4815,True
v32,4k,4111,2048,14,0.81,flashinfer_topk,8.5231,8.5231,True
v32,4k,4111,2048,34,0.729,op26_r0auto,12.0015,12.0015,
v32,4k,4111,2048,34,0.729,radix_cutedsl,6.6526,6.6526,True
v32,4k,4111,2048,34,0.729,sglang_v2,6.4959,6.4959,True
v32,4k,4111,2048,34,0.729,flashinfer_topk,8.7135,8.7135,True
v32,4k,4111,2048,54,0.719,op26_r0auto,11.8477,11.8477,
v32,4k,4111,2048,54,0.719,radix_cutedsl,6.7326,6.7326,True
v32,4k,4111,2048,54,0.719,sglang_v2,7.1967,7.1967,True
v32,4k,4111,2048,54,0.719,flashinfer_topk,8.5807,8.5807,True
v32,8k,8207,2048,14,0.923,op26_r0auto,11.7742,11.7742,
v32,8k,8207,2048,14,0.923,radix_cutedsl,9.3727,9.3727,True
v32,8k,8207,2048,14,0.923,sglang_v2,6.92,6.92,True
v32,8k,8207,2048,14,0.923,flashinfer_topk,12.5678,12.5678,True
v32,8k,8207,2048,34,0.842,op26_r0auto,11.7663,11.7663,
v32,8k,8207,2048,34,0.842,radix_cutedsl,9.8206,9.8206,True
v32,8k,8207,2048,34,0.842,sglang_v2,7.8175,7.8175,True
v32,8k,8207,2048,34,0.842,flashinfer_topk,12.5566,12.5566,True
v32,8k,8207,2048,54,0.908,op26_r0auto,12.2175,12.2175,
v32,8k,8207,2048,54,0.908,radix_cutedsl,9.6783,9.6783,True
v32,8k,8207,2048,54,0.908,sglang_v2,8.6159,8.6159,True
v32,8k,8207,2048,54,0.908,flashinfer_topk,12.5439,12.5439,True
v32,16k,16399,2048,14,0.902,op26_r0auto,13.8479,13.8479,
v32,16k,16399,2048,14,0.902,radix_cutedsl,19.1838,19.1838,True
v32,16k,16399,2048,14,0.902,sglang_v2,11.7903,11.7903,True
v32,16k,16399,2048,14,0.902,flashinfer_topk,12.8719,12.8719,True
v32,16k,16399,2048,34,0.533,op26_r0auto,13.8446,13.8446,
v32,16k,16399,2048,34,0.533,radix_cutedsl,18.7791,18.7791,True
v32,16k,16399,2048,34,0.533,sglang_v2,10.8751,10.8751,True
v32,16k,16399,2048,34,0.533,flashinfer_topk,12.8799,12.8799,True
v32,16k,16399,2048,54,0.676,op26_r0auto,11.2815,11.2815,
v32,16k,16399,2048,54,0.676,radix_cutedsl,18.9582,18.9582,True
v32,16k,16399,2048,54,0.676,sglang_v2,11.392,11.392,True
v32,16k,16399,2048,54,0.676,flashinfer_topk,12.8334,12.8334,True
v32,32k,32783,2048,14,0.758,op26_r0auto,16.9965,16.9965,
v32,32k,32783,2048,14,0.758,radix_cutedsl,18.843,18.843,True
v32,32k,32783,2048,14,0.758,sglang_v2,10.875,10.875,True
v32,32k,32783,2048,14,0.758,flashinfer_topk,13.0895,13.0895,True
v32,32k,32783,2048,34,0.429,op26_r0auto,16.7583,16.7583,
v32,32k,32783,2048,34,0.429,radix_cutedsl,19.2174,19.2174,True
v32,32k,32783,2048,34,0.429,sglang_v2,10.9135,10.9135,True
v32,32k,32783,2048,34,0.429,flashinfer_topk,12.8526,12.8526,True
v32,32k,32783,2048,54,0.512,op26_r0auto,12.9999,12.9999,
v32,32k,32783,2048,54,0.512,radix_cutedsl,19.0622,19.0622,True
v32,32k,32783,2048,54,0.512,sglang_v2,10.7887,10.7887,True
v32,32k,32783,2048,54,0.512,flashinfer_topk,12.9935,12.9935,True
v32,64k,65551,2048,14,0.854,op26_r0auto,17.2238,17.2238,
