model,isl,N,K,L,BS,hit,op,us,us_span,exact
flash,32k,8195,512,10,4,0.723,sglang_v2,6.3056,6.3056,True
flash,32k,8195,512,10,4,0.723,flashinfer_topk,11.6494,11.6494,True
flash,32k,8195,512,10,8,0.723,gvr_pr,9.5503,9.5503,True
flash,32k,8195,512,10,8,0.723,radix_cutedsl,9.6367,9.6367,True
flash,32k,8195,512,10,8,0.723,sglang_v2,6.3039,6.3039,True
flash,32k,8195,512,10,8,0.723,flashinfer_topk,11.8526,11.8526,True
flash,32k,8195,512,10,16,0.723,gvr_pr,9.4334,9.4334,True
flash,32k,8195,512,10,16,0.723,radix_cutedsl,9.6126,9.6126,True
flash,32k,8195,512,10,16,0.723,sglang_v2,6.264,6.264,True
flash,32k,8195,512,10,16,0.723,flashinfer_topk,14.507,14.507,True
flash,32k,8195,512,10,32,0.723,gvr_pr,9.544,9.544,True
flash,32k,8195,512,10,32,0.723,radix_cutedsl,9.7712,9.7712,True
flash,32k,8195,512,10,32,0.723,sglang_v2,6.4479,6.4479,True
flash,32k,8195,512,10,32,0.723,flashinfer_topk,15.2142,15.2142,True
flash,32k,8195,512,10,64,0.723,gvr_pr,9.8064,9.8064,True
flash,32k,8195,512,10,64,0.723,radix_cutedsl,9.9695,9.9695,True
flash,32k,8195,512,10,64,0.723,sglang_v2,6.6464,6.6464,True
flash,32k,8195,512,10,64,0.723,flashinfer_topk,14.9598,14.9598,True
flash,32k,8195,512,10,128,0.723,gvr_pr,10.2495,10.2495,True
flash,32k,8195,512,10,128,0.723,radix_cutedsl,10.4847,10.4847,True
flash,32k,8195,512,10,128,0.723,sglang_v2,7.1359,7.1359,True
flash,32k,8195,512,10,128,0.723,flashinfer_topk,15.0796,15.0796,True
flash,32k,8195,512,10,256,0.723,gvr_pr,12.3728,12.3728,True
flash,32k,8195,512,10,256,0.723,radix_cutedsl,18.6429,18.6429,True
flash,32k,8195,512,10,256,0.723,sglang_v2,9.1086,9.1086,True
flash,32k,8195,512,10,256,0.723,flashinfer_topk,14.0463,14.0463,True
flash,32k,8195,512,10,512,0.723,gvr_pr,22.198,22.198,True
flash,32k,8195,512,10,512,0.723,radix_cutedsl,34.5532,34.5532,True
