K,dtype,N,scen,cs,BS,base,pr,op26,pr_vs_base,op26_vs_pr,pr_exact
1024,fp32,65536,best,4,8,20.17595,15.3024,14.89115,1.318,0.973,True
1024,fp32,65536,best,4,16,20.56315,15.635200000000001,15.1776,1.315,0.971,True
1024,fp32,65536,best,4,32,21.59355,16.66075,16.44155,1.296,0.987,True
1024,fp32,65536,best,2,64,23.8975,19.006349999999998,17.9232,1.257,0.943,True
1024,fp32,65536,best,1,128,24.5263,21.4303,23.6944,1.144,1.106,True
1024,fp32,65536,best,1,256,40.30235,32.1695,38.9039,1.253,1.209,True
1024,fp32,65536,best,1,512,75.5149,61.1855,85.0414,1.234,1.39,True
1024,fp32,65536,best,1,1024,124.69255,100.8606,130.7149,1.236,1.296,True
1024,fp32,65536,worst,4,1,18.0128,15.15035,14.15355,1.189,0.934,True
1024,fp32,65536,worst,4,2,17.95035,15.1328,14.1744,1.186,0.937,True
1024,fp32,65536,worst,4,4,18.217599999999997,15.279950000000001,14.368,1.192,0.94,True
1024,fp32,65536,worst,4,8,18.4768,15.625549999999999,14.494299999999999,1.182,0.928,True
1024,fp32,65536,worst,4,16,18.832,15.9455,14.8479,1.181,0.931,True
1024,fp32,65536,worst,4,32,19.897599999999997,16.93425,15.98555,1.175,0.944,True
1024,fp32,65536,worst,2,64,22.27515,18.96,17.4336,1.175,0.919,True
1024,fp32,65536,worst,1,128,23.782349999999997,21.2416,23.4768,1.12,1.105,True
1024,fp32,65536,worst,1,256,36.6495,32.363150000000005,39.003099999999996,1.132,1.205,True
1024,fp32,65536,worst,1,512,69.33105,61.9519,87.47175,1.119,1.412,True
1024,fp32,65536,worst,1,1024,114.99815,101.2078,132.5133,1.136,1.309,True
1024,fp32,131072,best,8,1,19.8624,15.25435,15.108799999999999,1.302,0.99,True
1024,fp32,131072,best,8,2,19.952,15.29755,15.15835,1.304,0.991,True
1024,fp32,131072,best,8,4,20.1199,15.432,15.35195,1.304,0.995,True
1024,fp32,131072,best,4,8,21.79195,17.14715,15.75835,1.271,0.919,True
1024,fp32,131072,best,4,16,22.24,17.46395,16.24635,1.273,0.93,True
1024,fp32,131072,best,4,32,23.9071,18.841549999999998,19.39675,1.269,1.029,True
1024,fp32,131072,best,2,64,28.9151,23.23515,22.4448,1.244,0.966,True
1024,fp32,131072,best,1,128,39.36795,33.278349999999996,33.609550000000006,1.183,1.01,True
1024,fp32,131072,best,1,256,83.56455,61.76945,67.56139999999999,1.353,1.094,True
1024,fp32,131072,best,1,512,151.0908,110.08135,136.07489999999999,1.373,1.236,True
1024,fp32,131072,best,1,1024,278.84734999999995,199.1068,211.6814,1.4,1.063,True
1024,fp32,131072,worst,8,1,16.04475,15.273549999999998,14.8448,1.05,0.972,True
1024,fp32,131072,worst,8,2,16.1584,15.48475,14.991950000000001,1.044,0.968,True
1024,fp32,131072,worst,8,4,16.3536,15.608,15.136,1.048,0.97,True
1024,fp32,131072,worst,4,8,17.98875,17.31195,15.5968,1.039,0.901,True
1024,fp32,131072,worst,4,16,18.46075,17.656,16.13595,1.046,0.914,True
1024,fp32,131072,worst,4,32,20.03675,19.0303,19.47985,1.053,1.024,True
1024,fp32,131072,worst,2,64,24.00955,23.311799999999998,22.32,1.03,0.957,True
1024,fp32,131072,worst,1,128,32.64955,33.244699999999995,34.292699999999996,0.982,1.032,True
1024,fp32,131072,worst,1,256,63.4751,62.579,68.95660000000001,1.014,1.102,True
1024,fp32,131072,worst,1,512,114.5005,111.63495,138.52120000000002,1.026,1.241,True
1024,fp32,131072,worst,1,1024,206.67964999999998,201.66504999999998,215.2666,1.025,1.067,True
1024,fp32,262144,best,8,1,24.7455,17.65595,18.144,1.402,1.028,True
1024,fp32,262144,best,8,2,24.750349999999997,17.75355,18.09435,1.394,1.019,True
1024,fp32,262144,best,8,4,25.436700000000002,18.2672,18.745549999999998,1.392,1.026,True
1024,fp32,262144,best,4,8,26.81755,20.22075,19.123150000000003,1.326,0.946,True
1024,fp32,262144,best,4,16,28.0736,21.020799999999998,19.99835,1.336,0.951,True
1024,fp32,262144,best,4,32,32.086349999999996,24.14075,26.771099999999997,1.329,1.109,True
1024,fp32,262144,best,2,64,44.77915,35.98235,35.142300000000006,1.244,0.977,True
1024,fp32,262144,best,1,128,86.31665,63.59185,66.65425,1.357,1.048,True
1024,fp32,262144,best,1,256,157.0365,106.4142,115.95975,1.476,1.09,True
1024,fp32,262144,best,1,512,282.1321,195.46025,233.2378,1.443,1.193,True
1024,fp32,262144,best,1,1024,540.3123499999999,369.116,387.77675,1.464,1.051,True
1024,fp32,262144,worst,8,1,18.575950000000002,18.12475,18.51035,1.025,1.021,True
1024,fp32,262144,worst,8,2,18.75675,18.40475,18.6271,1.019,1.012,True
1024,fp32,262144,worst,8,4,19.0703,18.57275,18.73755,1.027,1.009,True
1024,fp32,262144,worst,4,8,20.31355,20.3631,19.24795,0.998,0.945,True
1024,fp32,262144,worst,4,16,21.507150000000003,21.1903,20.167900000000003,1.015,0.952,True
1024,fp32,262144,worst,4,32,24.6222,24.1904,26.8302,1.018,1.109,True
1024,fp32,262144,worst,2,64,36.7391,36.0447,35.43675,1.019,0.983,True
1024,fp32,262144,worst,1,128,62.3647,63.590199999999996,63.01425,0.981,0.991,True
1024,fp32,262144,worst,1,256,108.7037,107.7469,112.8749,1.009,1.048,True
1024,fp32,262144,worst,1,512,199.27145000000002,196.70835,223.3306,1.013,1.135,True
1024,fp32,262144,worst,1,1024,377.2902,373.15425,380.89820000000003,1.011,1.021,True
1024,fp32,524288,best,8,1,25.531200000000002,20.166349999999998,24.451150000000002,1.266,1.212,True
1024,fp32,524288,best,8,2,25.655900000000003,20.36795,24.67835,1.26,1.212,True
1024,fp32,524288,best,8,4,26.451150000000002,21.04155,25.159950000000002,1.257,1.196,True
1024,fp32,524288,best,4,8,32.45595,26.8815,25.745549999999998,1.207,0.958,True
1024,fp32,524288,best,4,16,34.5855,27.935950000000002,27.2591,1.238,0.976,True
1024,fp32,524288,best,4,32,43.851150000000004,37.11825,43.73275,1.181,1.178,True
1024,fp32,524288,best,2,64,87.6702,65.2463,64.48145,1.344,0.988,True
1024,fp32,524288,best,1,128,149.8557,107.8125,110.3549,1.39,1.024,True
1024,fp32,524288,best,1,256,276.6266,196.10670000000002,207.1019,1.411,1.056,True
1024,fp32,524288,best,1,512,514.042,362.092,428.5766,1.42,1.184,True
1024,fp32,524288,best,1,1024,1007.2600500000001,697.58725,715.4112,1.444,1.026,True
1024,fp32,524288,worst,8,1,20.2159,20.83355,24.74395,0.97,1.188,True
1024,fp32,524288,worst,8,2,20.2928,20.931150000000002,24.728,0.97,1.181,True
1024,fp32,524288,worst,8,4,20.7168,21.3632,25.1184,0.97,1.176,True
1024,fp32,524288,worst,4,8,25.77595,27.1599,25.7136,0.949,0.947,True
1024,fp32,524288,worst,4,16,27.85115,28.25435,27.2848,0.986,0.966,True
1024,fp32,524288,worst,4,32,37.37755,37.4687,43.867050000000006,0.998,1.171,True
1024,fp32,524288,worst,2,64,65.45905,65.6302,64.7966,0.997,0.987,True
1024,fp32,524288,worst,1,128,106.12295,108.31495,106.29565,0.98,0.981,True
1024,fp32,524288,worst,1,256,199.31625,198.14354999999998,202.8875,1.006,1.024,True
1024,fp32,524288,worst,1,512,365.00390000000004,365.20545,440.00685,0.999,1.205,True
1024,fp32,524288,worst,1,1024,701.4590999999999,702.08625,707.70225,0.999,1.008,True
1024,fp32,1048576,best,8,1,31.36475,26.99195,36.598349999999996,1.162,1.356,True
1024,fp32,1048576,best,8,2,31.67995,27.1951,36.6479,1.165,1.348,True
1024,fp32,1048576,best,8,4,32.44475,27.9087,37.31515,1.163,1.337,True
1024,fp32,1048576,best,4,8,44.604699999999994,39.2335,38.353550000000006,1.137,0.978,True
1024,fp32,1048576,best,4,16,51.6143,44.64465,44.406349999999996,1.156,0.995,True
1024,fp32,1048576,best,4,32,86.4062,65.91664999999999,84.68610000000001,1.311,1.285,True
1024,fp32,1048576,best,2,64,153.39010000000002,109.87015,109.41265,1.396,0.996,True
1024,fp32,1048576,best,1,128,274.6185,197.96755,198.31154999999998,1.387,1.002,True
1024,fp32,1048576,best,1,256,513.4885,363.916,369.91434999999996,1.411,1.016,True
1024,fp32,1048576,best,1,512,981.3385999999999,684.071,841.3901500000001,1.435,1.23,True
1024,fp32,1048576,best,1,1024,1952.1845,1349.0898,1358.7651,1.447,1.007,True
1024,fp32,1048576,worst,8,1,27.4528,27.476599999999998,36.9295,0.999,1.344,True
1024,fp32,1048576,worst,8,2,27.705599999999997,27.639950000000002,36.98875,1.002,1.338,True
1024,fp32,1048576,worst,8,4,28.464,28.14075,37.5055,1.011,1.333,True
1024,fp32,1048576,worst,4,8,38.279900000000005,39.4975,38.42555,0.969,0.973,True
1024,fp32,1048576,worst,4,16,45.9759,44.89755,44.308699999999995,1.024,0.987,True
1024,fp32,1048576,worst,4,32,67.723,66.30380000000001,84.9342,1.021,1.281,True
1024,fp32,1048576,worst,2,64,111.17415,109.70855,109.1868,1.013,0.995,True
1024,fp32,1048576,worst,1,128,197.34965,198.46375,199.76585,0.994,1.007,True
1024,fp32,1048576,worst,1,256,367.8391,367.2982,373.54955,1.001,1.017,True
1024,fp32,1048576,worst,1,512,690.1886,686.4223000000001,817.68915,1.005,1.191,True
1024,fp32,1048576,worst,1,1024,1355.6816000000001,1350.552,1365.9646,1.004,1.011,True
