uuid,model,cs,N,K,band,base_us,v1_us,ratio
pro_4k_L20,pro,1,1027,1024,4k-32k,10.974,8.709,1.2602
pro_4k_L22,pro,1,1027,1024,4k-32k,10.834,8.678,1.2484
pro_4k_L24,pro,1,1027,1024,4k-32k,10.899,8.678,1.2559
pro_4k_L26,pro,1,1027,1024,4k-32k,10.949,8.667,1.2633
pro_4k_L28,pro,1,1027,1024,4k-32k,10.856,8.699,1.2479
pro_4k_L30,pro,1,1027,1024,4k-32k,10.894,8.706,1.2514
pro_4k_L32,pro,1,1027,1024,4k-32k,10.904,8.718,1.2507
pro_4k_L34,pro,1,1027,1024,4k-32k,10.931,8.699,1.2566
pro_4k_L36,pro,1,1027,1024,4k-32k,10.877,8.688,1.2519
pro_4k_L38,pro,1,1027,1024,4k-32k,10.896,8.675,1.256
pro_4k_L40,pro,1,1027,1024,4k-32k,10.962,8.739,1.2543
pro_4k_L42,pro,1,1027,1024,4k-32k,11.011,8.699,1.2658
pro_4k_L44,pro,1,1027,1024,4k-32k,11.005,8.71,1.2634
pro_4k_L46,pro,1,1027,1024,4k-32k,10.843,8.65,1.2536
pro_4k_L48,pro,1,1027,1024,4k-32k,11.102,8.757,1.2679
pro_4k_L50,pro,1,1027,1024,4k-32k,11.048,8.835,1.2505
pro_4k_L52,pro,1,1027,1024,4k-32k,10.941,8.674,1.2614
pro_4k_L54,pro,1,1027,1024,4k-32k,10.875,8.669,1.2545
pro_4k_L56,pro,1,1027,1024,4k-32k,10.875,8.68,1.2529
pro_4k_L58,pro,1,1027,1024,4k-32k,10.952,8.672,1.2629
pro_4k_L60,pro,1,1027,1024,4k-32k,10.934,8.71,1.2553
pro_512k_L02,pro,8,131075,1024,32k-1M,18.786,15.618,1.2028
pro_512k_L04,pro,8,131075,1024,32k-1M,21.736,17.346,1.2531
pro_512k_L06,pro,8,131075,1024,32k-1M,19.294,15.858,1.2167
pro_512k_L08,pro,8,131075,1024,32k-1M,19.789,16.169,1.2238
pro_512k_L10,pro,8,131075,1024,32k-1M,21.366,17.803,1.2002
pro_512k_L12,pro,8,131075,1024,32k-1M,21.686,18.035,1.2024
pro_512k_L14,pro,8,131075,1024,32k-1M,15.91,13.795,1.1533
pro_512k_L16,pro,8,131075,1024,32k-1M,17.723,15.019,1.18
pro_512k_L18,pro,8,131075,1024,32k-1M,16.378,14.382,1.1387
pro_512k_L20,pro,8,131075,1024,32k-1M,15.838,13.702,1.1559
pro_512k_L22,pro,8,131075,1024,32k-1M,15.602,13.47,1.1582
pro_512k_L24,pro,8,131075,1024,32k-1M,17.027,14.43,1.18
pro_512k_L26,pro,8,131075,1024,32k-1M,17.886,15.776,1.1338
pro_512k_L28,pro,8,131075,1024,32k-1M,17.15,14.44,1.1877
pro_512k_L30,pro,8,131075,1024,32k-1M,17.806,14.331,1.2425
pro_512k_L32,pro,8,131075,1024,32k-1M,15.832,13.515,1.1714
pro_512k_L34,pro,8,131075,1024,32k-1M,16.776,14.306,1.1727
pro_512k_L36,pro,8,131075,1024,32k-1M,16.454,14.192,1.1594
pro_512k_L38,pro,8,131075,1024,32k-1M,17.549,14.822,1.1839
pro_512k_L40,pro,8,131075,1024,32k-1M,15.774,13.379,1.179
pro_512k_L42,pro,8,131075,1024,32k-1M,17.146,14.552,1.1782
pro_512k_L44,pro,8,131075,1024,32k-1M,17.754,15.653,1.1342
pro_512k_L46,pro,8,131075,1024,32k-1M,16.307,13.904,1.1728
pro_512k_L48,pro,8,131075,1024,32k-1M,17.101,13.938,1.227
pro_512k_L50,pro,8,131075,1024,32k-1M,16.35,14.03,1.1654
pro_512k_L52,pro,8,131075,1024,32k-1M,16.347,14.15,1.1553
pro_512k_L54,pro,8,131075,1024,32k-1M,16.323,13.848,1.1787
pro_512k_L56,pro,8,131075,1024,32k-1M,15.936,13.714,1.1621
pro_512k_L58,pro,8,131075,1024,32k-1M,15.754,13.76,1.1449
pro_512k_L60,pro,8,131075,1024,32k-1M,21.131,16.603,1.2727
pro_64k_L02,pro,1,16387,1024,32k-1M,11.29,9.688,1.1653
pro_64k_L04,pro,1,16387,1024,32k-1M,11.232,9.974,1.1261
pro_64k_L06,pro,1,16387,1024,32k-1M,10.893,9.885,1.102
pro_64k_L08,pro,1,16387,1024,32k-1M,10.896,9.605,1.1344
pro_64k_L10,pro,1,16387,1024,32k-1M,10.998,9.573,1.1489
pro_64k_L12,pro,1,16387,1024,32k-1M,11.677,10.125,1.1533
pro_64k_L14,pro,1,16387,1024,32k-1M,11.832,10.45,1.1323
pro_64k_L16,pro,1,16387,1024,32k-1M,11.982,10.553,1.1354
pro_64k_L18,pro,1,16387,1024,32k-1M,12.616,11.266,1.1199
pro_64k_L20,pro,1,16387,1024,32k-1M,11.518,10.008,1.1509
pro_64k_L22,pro,1,16387,1024,32k-1M,13.282,10.784,1.2316
pro_64k_L24,pro,1,16387,1024,32k-1M,11.069,10.008,1.106
pro_64k_L26,pro,1,16387,1024,32k-1M,13.453,11.054,1.217
pro_64k_L28,pro,1,16387,1024,32k-1M,11.325,10.107,1.1205
pro_64k_L30,pro,1,16387,1024,32k-1M,11.418,10.072,1.1336
pro_64k_L32,pro,1,16387,1024,32k-1M,10.712,9.507,1.1267
pro_64k_L34,pro,1,16387,1024,32k-1M,11.442,10.222,1.1193
pro_64k_L36,pro,1,16387,1024,32k-1M,12.624,10.966,1.1512
pro_64k_L38,pro,1,16387,1024,32k-1M,11.771,10.408,1.131
pro_64k_L40,pro,1,16387,1024,32k-1M,11.243,10.061,1.1175
pro_64k_L42,pro,1,16387,1024,32k-1M,12.76,11.28,1.1312
pro_64k_L44,pro,1,16387,1024,32k-1M,12.952,11.792,1.0984
pro_64k_L46,pro,1,16387,1024,32k-1M,12.544,10.878,1.1531
pro_64k_L48,pro,1,16387,1024,32k-1M,11.638,10.278,1.1323
pro_64k_L50,pro,1,16387,1024,32k-1M,10.645,9.382,1.1345
pro_64k_L52,pro,1,16387,1024,32k-1M,10.917,9.661,1.13
pro_64k_L54,pro,1,16387,1024,32k-1M,11.845,10.589,1.1186
pro_64k_L56,pro,1,16387,1024,32k-1M,11.994,10.586,1.133
pro_64k_L58,pro,1,16387,1024,32k-1M,11.474,10.021,1.145
pro_64k_L60,pro,1,16387,1024,32k-1M,11.008,9.504,1.1582
pro_8k_L02,pro,1,2051,1024,4k-32k,9.949,8.349,1.1916
pro_8k_L04,pro,1,2051,1024,4k-32k,10.123,8.478,1.194
pro_8k_L06,pro,1,2051,1024,4k-32k,9.781,8.278,1.1815
pro_8k_L08,pro,1,2051,1024,4k-32k,9.722,8.146,1.1935
pro_8k_L10,pro,1,2051,1024,4k-32k,10.146,8.578,1.1828
pro_8k_L12,pro,1,2051,1024,4k-32k,8.174,7.152,1.143
pro_8k_L14,pro,1,2051,1024,4k-32k,8.09,7.072,1.1439
pro_8k_L16,pro,1,2051,1024,4k-32k,8.091,7.037,1.1498
pro_8k_L18,pro,1,2051,1024,4k-32k,8.254,7.098,1.163
pro_8k_L20,pro,1,2051,1024,4k-32k,10.285,8.576,1.1993
pro_8k_L22,pro,1,2051,1024,4k-32k,8.318,7.258,1.1462
pro_8k_L24,pro,1,2051,1024,4k-32k,8.285,7.226,1.1466
pro_8k_L26,pro,1,2051,1024,4k-32k,8.566,7.424,1.1539
pro_8k_L28,pro,1,2051,1024,4k-32k,8.667,7.421,1.168
pro_8k_L30,pro,1,2051,1024,4k-32k,8.507,7.299,1.1655
pro_8k_L32,pro,1,2051,1024,4k-32k,9.416,7.459,1.2623
pro_8k_L34,pro,1,2051,1024,4k-32k,8.57,7.587,1.1295
pro_8k_L36,pro,1,2051,1024,4k-32k,8.499,7.44,1.1424
pro_8k_L38,pro,1,2051,1024,4k-32k,8.214,7.146,1.1496
pro_8k_L40,pro,1,2051,1024,4k-32k,8.182,7.181,1.1395
pro_8k_L42,pro,1,2051,1024,4k-32k,8.517,7.373,1.1552
pro_8k_L44,pro,1,2051,1024,4k-32k,8.608,7.336,1.1734
pro_8k_L46,pro,1,2051,1024,4k-32k,8.73,7.578,1.152
pro_8k_L48,pro,1,2051,1024,4k-32k,8.459,7.352,1.1506
pro_8k_L50,pro,1,2051,1024,4k-32k,8.25,7.146,1.1545
pro_8k_L52,pro,1,2051,1024,4k-32k,8.32,7.158,1.1623
pro_8k_L54,pro,1,2051,1024,4k-32k,8.358,7.157,1.1679
pro_8k_L56,pro,1,2051,1024,4k-32k,8.126,7.219,1.1257
pro_8k_L58,pro,1,2051,1024,4k-32k,10.525,8.672,1.2137
pro_8k_L60,pro,1,2051,1024,4k-32k,9.891,8.195,1.207
v32_128k_L03,v32,8,131087,2048,32k-1M,19.09,16.826,1.1346
v32_128k_L04,v32,8,131087,2048,32k-1M,18.291,16.546,1.1055
v32_128k_L05,v32,8,131087,2048,32k-1M,18.616,16.698,1.1149
v32_128k_L06,v32,8,131087,2048,32k-1M,18.403,16.12,1.1416
v32_128k_L07,v32,8,131087,2048,32k-1M,18.0,16.546,1.0879
v32_128k_L08,v32,8,131087,2048,32k-1M,25.11,23.136,1.0853
v32_128k_L09,v32,8,131087,2048,32k-1M,18.669,17.56,1.0631
v32_128k_L10,v32,8,131087,2048,32k-1M,18.39,16.938,1.0858
v32_128k_L11,v32,8,131087,2048,32k-1M,17.952,16.477,1.0895
v32_128k_L12,v32,8,131087,2048,32k-1M,24.71,22.416,1.1024
v32_128k_L13,v32,8,131087,2048,32k-1M,25.968,21.817,1.1902
v32_128k_L14,v32,8,131087,2048,32k-1M,18.302,16.611,1.1018
v32_128k_L15,v32,8,131087,2048,32k-1M,19.362,17.085,1.1333
v32_128k_L16,v32,8,131087,2048,32k-1M,17.893,16.149,1.108
v32_128k_L17,v32,8,131087,2048,32k-1M,20.642,18.267,1.13
v32_128k_L18,v32,8,131087,2048,32k-1M,24.585,22.79,1.0788
v32_128k_L19,v32,8,131087,2048,32k-1M,18.222,16.635,1.0954
v32_128k_L20,v32,8,131087,2048,32k-1M,18.165,16.515,1.0999
v32_128k_L21,v32,8,131087,2048,32k-1M,19.006,17.194,1.1054
v32_128k_L22,v32,8,131087,2048,32k-1M,24.749,22.014,1.1242
v32_128k_L23,v32,8,131087,2048,32k-1M,19.011,17.13,1.1098
v32_128k_L24,v32,8,131087,2048,32k-1M,19.694,17.24,1.1424
v32_128k_L25,v32,8,131087,2048,32k-1M,19.739,16.622,1.1875
v32_128k_L26,v32,8,131087,2048,32k-1M,20.875,18.478,1.1297
v32_128k_L27,v32,8,131087,2048,32k-1M,20.777,18.595,1.1174
v32_128k_L28,v32,8,131087,2048,32k-1M,20.901,18.776,1.1132
v32_128k_L29,v32,8,131087,2048,32k-1M,21.259,18.512,1.1484
v32_128k_L30,v32,8,131087,2048,32k-1M,20.443,18.192,1.1237
v32_128k_L31,v32,8,131087,2048,32k-1M,18.205,16.52,1.102
v32_128k_L32,v32,8,131087,2048,32k-1M,18.483,16.392,1.1276
v32_128k_L33,v32,8,131087,2048,32k-1M,19.573,17.577,1.1135
v32_128k_L34,v32,8,131087,2048,32k-1M,18.384,16.221,1.1334
v32_128k_L35,v32,8,131087,2048,32k-1M,20.16,17.947,1.1233
v32_128k_L36,v32,8,131087,2048,32k-1M,25.414,22.198,1.1449
v32_128k_L37,v32,8,131087,2048,32k-1M,18.376,16.456,1.1167
v32_128k_L38,v32,8,131087,2048,32k-1M,18.258,16.003,1.1409
v32_128k_L39,v32,8,131087,2048,32k-1M,18.632,16.512,1.1284
v32_128k_L40,v32,8,131087,2048,32k-1M,18.082,16.118,1.1218
v32_128k_L41,v32,8,131087,2048,32k-1M,19.387,16.555,1.1711
v32_128k_L42,v32,8,131087,2048,32k-1M,18.322,16.077,1.1396
v32_128k_L43,v32,8,131087,2048,32k-1M,18.994,16.763,1.1331
v32_128k_L44,v32,8,131087,2048,32k-1M,26.037,22.678,1.1481
v32_128k_L45,v32,8,131087,2048,32k-1M,24.994,21.717,1.1509
v32_128k_L46,v32,8,131087,2048,32k-1M,18.512,16.294,1.1361
v32_128k_L47,v32,8,131087,2048,32k-1M,19.21,17.15,1.1201
v32_128k_L48,v32,8,131087,2048,32k-1M,18.403,16.374,1.1239
v32_128k_L49,v32,8,131087,2048,32k-1M,25.414,22.336,1.1378
v32_128k_L50,v32,8,131087,2048,32k-1M,19.362,17.056,1.1352
v32_128k_L51,v32,8,131087,2048,32k-1M,18.322,16.366,1.1195
v32_128k_L52,v32,8,131087,2048,32k-1M,24.809,21.722,1.1422
v32_128k_L53,v32,8,131087,2048,32k-1M,25.13,22.169,1.1335
v32_128k_L54,v32,8,131087,2048,32k-1M,25.88,22.752,1.1375
v32_128k_L55,v32,8,131087,2048,32k-1M,24.963,21.702,1.1503
v32_128k_L56,v32,8,131087,2048,32k-1M,18.55,16.421,1.1297
v32_128k_L57,v32,8,131087,2048,32k-1M,19.142,16.27,1.1765
v32_128k_L58,v32,8,131087,2048,32k-1M,24.985,22.269,1.122
v32_128k_L59,v32,8,131087,2048,32k-1M,25.48,22.658,1.1246
v32_128k_L60,v32,8,131087,2048,32k-1M,25.349,22.445,1.1294
v32_16k_L03,v32,1,16399,2048,4k-32k,13.229,12.162,1.0878
v32_16k_L04,v32,1,16399,2048,4k-32k,13.173,12.392,1.063
v32_16k_L05,v32,1,16399,2048,4k-32k,12.669,11.723,1.0807
v32_16k_L06,v32,1,16399,2048,4k-32k,12.336,11.749,1.05
v32_16k_L07,v32,1,16399,2048,4k-32k,12.541,11.802,1.0626
v32_16k_L08,v32,1,16399,2048,4k-32k,15.858,14.866,1.0667
v32_16k_L09,v32,1,16399,2048,4k-32k,12.645,11.829,1.069
v32_16k_L10,v32,1,16399,2048,4k-32k,13.114,12.202,1.0747
v32_16k_L11,v32,1,16399,2048,4k-32k,12.883,12.19,1.0568
v32_16k_L12,v32,1,16399,2048,4k-32k,15.13,14.278,1.0596
v32_16k_L13,v32,1,16399,2048,4k-32k,15.237,14.565,1.0461
v32_16k_L14,v32,1,16399,2048,4k-32k,12.603,11.512,1.0948
v32_16k_L15,v32,1,16399,2048,4k-32k,12.458,11.403,1.0925
