family,sweep,scenario,model,K,dtype,N,BS,isl,hit,base,pr,vs,pr_vs_base,vs_vs_base,vs_vs_pr,base_exact,pr_exact,vs_exact,launch_cfg
real,bs,,pro,1024,bf16,16387,1024,64k,0.3115234375,42.371,38.59,38.688,1.098,1.0952,0.9975,True,True,True,cs1/T512/mb3/v128
real,bs,,pro,1024,bf16,32771,1,128k,0.326171875,12.098,12.517,12.851,0.9665,0.9414,0.974,True,True,True,cs1/T512/mb1/v128
real,bs,,pro,1024,bf16,32771,2,128k,0.326171875,12.21,12.443,12.829,0.9812,0.9517,0.9699,True,True,True,cs1/T512/mb1/v128
real,bs,,pro,1024,bf16,32771,4,128k,0.326171875,12.157,12.613,12.957,0.9638,0.9383,0.9735,True,True,True,cs1/T512/mb1/v128
real,bs,,pro,1024,bf16,32771,8,128k,0.326171875,12.234,12.67,12.923,0.9655,0.9466,0.9804,True,True,True,cs1/T512/mb1/v128
real,bs,,pro,1024,bf16,32771,16,128k,0.326171875,12.262,12.779,12.981,0.9596,0.9447,0.9845,True,True,True,cs1/T512/mb1/v128
real,bs,,pro,1024,bf16,32771,32,128k,0.326171875,12.496,12.89,13.202,0.9695,0.9465,0.9764,True,True,True,cs1/T512/mb1/v128
real,bs,,pro,1024,bf16,32771,64,128k,0.326171875,12.882,13.338,13.581,0.9658,0.9485,0.9821,True,True,True,cs1/T512/mb1/v128
real,bs,,pro,1024,bf16,32771,128,128k,0.326171875,13.611,13.944,14.286,0.9761,0.9527,0.976,True,True,True,cs1/T512/mb1/v128
real,bs,,pro,1024,bf16,32771,256,128k,0.326171875,18.163,18.906,19.29,0.9607,0.9416,0.9801,True,True,True,cs1/T512/mb3/v128
real,bs,,pro,1024,bf16,32771,512,128k,0.326171875,30.722,31.957,32.691,0.9613,0.9398,0.9775,True,True,True,cs1/T512/mb3/v128
real,bs,,pro,1024,bf16,32771,1024,128k,0.326171875,48.227,50.334,51.459,0.9581,0.9372,0.9781,True,True,True,cs1/T512/mb3/v128
real,bs,,pro,1024,bf16,65539,1,256k,0.357421875,14.098,13.8,14.16,1.0216,0.9956,0.9746,True,True,True,cs4/T512/mb1/v128
real,bs,,pro,1024,bf16,65539,2,256k,0.357421875,14.248,14.003,14.352,1.0175,0.9928,0.9757,True,True,True,cs4/T512/mb1/v128
