cell,BS,arm,cold_us,warm_us,exact,speedup_cold
v32_4k_L20,1024,gvr_pr,47.447,42.253,True,
v32_4k_L20,1024,bsx,45.251,41.229,True,1.0485
v32_64k_L20,1,gvr_pr,18.685,16.429,True,
v32_64k_L20,1,bsx,11.786,11.341,True,1.5854
v32_64k_L20,2,gvr_pr,17.878,16.422,True,
v32_64k_L20,2,bsx,11.789,11.258,True,1.5166
v32_64k_L20,4,gvr_pr,18.035,16.512,True,
v32_64k_L20,4,bsx,11.91,11.341,True,1.5142
v32_64k_L20,8,gvr_pr,18.202,16.525,True,
v32_64k_L20,8,bsx,12.106,11.373,True,1.5036
v32_64k_L20,16,gvr_pr,18.688,16.73,True,
v32_64k_L20,16,bsx,20.454,18.982,True,0.9136
v32_64k_L20,32,gvr_pr,19.328,16.838,True,
v32_64k_L20,32,bsx,28.714,26.464,True,0.6731
v32_64k_L20,64,gvr_pr,21.907,18.458,True,
v32_64k_L20,64,bsx,44.736,41.754,True,0.4897
v32_64k_L20,128,gvr_pr,22.851,18.618,True,
v32_64k_L20,128,bsx,78.109,73.446,True,0.2926
v32_64k_L20,256,gvr_pr,36.477,27.558,True,
v32_64k_L20,256,bsx,147.494,138.963,True,0.2473
v32_64k_L20,512,gvr_pr,69.043,59.13,True,
v32_64k_L20,512,bsx,282.704,280.614,True,0.2442
v32_64k_L20,1024,gvr_pr,114.374,102.848,True,
v32_64k_L20,1024,bsx,558.186,556.269,True,0.2049
