cell,BS,arm,cold_us,warm_us,exact
flash_4k_L02,8,gvr_pr,9.3792,7.910399999999999,1
flash_4k_L02,8,bsx,4.1536,3.552,1
flash_4k_L02,16,gvr_pr,9.6096,8.300799999999999,1
flash_4k_L02,16,bsx,4.4768,3.9616,1
flash_4k_L02,32,gvr_pr,9.536,8.377600000000001,1
flash_4k_L02,32,bsx,4.5696,3.8912,1
flash_4k_L02,64,gvr_pr,9.6928,8.505600000000001,1
flash_4k_L02,64,bsx,4.6304,3.9808000000000003,1
flash_4k_L02,128,gvr_pr,10.099200000000002,8.6784,1
flash_4k_L02,128,bsx,4.704,4.0512,1
flash_4k_L02,256,gvr_pr,11.0592,9.7408,1
flash_4k_L02,256,bsx,6.336,5.5808,1
flash_4k_L02,512,gvr_pr,20.144,17.7152,1
flash_4k_L02,512,bsx,11.1168,9.7856,1
flash_4k_L02,1024,gvr_pr,37.6385,33.4848,1
flash_4k_L02,1024,bsx,20.1568,18.304,1
flash_4k_L22,1,gvr_pr,8.0992,6.6624,1
flash_4k_L22,1,bsx,3.9135999999999997,3.4432,1
flash_4k_L22,2,gvr_pr,7.6928,6.6496,1
flash_4k_L22,2,bsx,4.0288,3.3472,1
flash_4k_L22,4,gvr_pr,7.929600000000001,6.707199999999999,1
flash_4k_L22,4,bsx,3.9777,3.4048000000000003,1
flash_4k_L22,8,gvr_pr,8.0384,6.6944,1
flash_4k_L22,8,bsx,4.0992,3.4432,1
flash_4k_L22,16,gvr_pr,8.2464,7.078399999999999,1
flash_4k_L22,16,bsx,4.3392,3.8784,1
flash_4k_L22,32,gvr_pr,8.2304,7.1616,1
flash_4k_L22,32,bsx,4.4576,3.7824,1
flash_4k_L22,64,gvr_pr,8.2433,7.2576,1
flash_4k_L22,64,bsx,4.4736,3.8975999999999997,1
flash_4k_L22,128,gvr_pr,8.5632,7.3344,1
flash_4k_L22,128,bsx,4.6784,3.9616,1
flash_4k_L22,256,gvr_pr,9.5648,8.4352,1
flash_4k_L22,256,bsx,5.7344,5.0048,1
flash_4k_L22,512,gvr_pr,17.340799999999998,15.2448,1
flash_4k_L22,512,bsx,9.9616,8.6656,1
flash_4k_L22,1024,gvr_pr,31.6576,28.384,1
flash_4k_L22,1024,bsx,17.888,16.032,1
flash_4k_L42,1,gvr_pr,9.2,7.7122,1
flash_4k_L42,1,bsx,4.032,3.4816,1
flash_4k_L42,2,gvr_pr,8.672,7.6544,1
flash_4k_L42,2,bsx,4.0577,3.392,1
flash_4k_L42,4,gvr_pr,8.8224,7.712,1
flash_4k_L42,4,bsx,4.0448,3.4751999999999996,1
flash_4k_L42,8,gvr_pr,8.912,7.6544,1
flash_4k_L42,8,bsx,4.0832,3.488,1
flash_4k_L42,16,gvr_pr,9.0944,8.0064,1
flash_4k_L42,16,bsx,4.3777,3.9104,1
flash_4k_L42,32,gvr_pr,9.1168,8.217600000000001,1
flash_4k_L42,32,bsx,4.496,3.8336,1
flash_4k_L42,64,gvr_pr,9.3472,8.288,1
flash_4k_L42,64,bsx,4.5696,3.936,1
flash_4k_L42,128,gvr_pr,9.5649,8.441600000000001,1
flash_4k_L42,128,bsx,4.6816,4.0258,1
flash_4k_L42,256,gvr_pr,10.4672,9.478399999999999,1
flash_4k_L42,256,bsx,5.952,5.1648000000000005,1
flash_4k_L42,512,gvr_pr,19.3345,17.337799999999998,1
flash_4k_L42,512,bsx,10.2593,9.1778,1
