cell,BS,arm,cold_us,warm_us,exact
pro_128k_L60,1,gvr_pr,13.782399999999999,10.8352,1
pro_128k_L60,1,bsx,8.384,7.744,1
pro_128k_L60,2,gvr_pr,12.444799999999999,10.7776,1
pro_128k_L60,2,bsx,8.4224,7.8911999999999995,1
pro_128k_L60,4,gvr_pr,12.736,10.7776,1
pro_128k_L60,4,bsx,8.8032,8.288,1
pro_128k_L60,8,gvr_pr,12.8096,10.8992,1
pro_128k_L60,8,bsx,9.0144,8.3264,1
pro_128k_L60,16,gvr_pr,13.0848,11.2064,1
pro_128k_L60,16,bsx,15.5456,13.1328,1
pro_128k_L60,32,gvr_pr,13.504,11.2768,1
pro_128k_L60,32,bsx,15.8496,13.4208,1
pro_128k_L60,64,gvr_pr,14.249600000000001,11.4176,1
pro_128k_L60,64,bsx,17.9712,15.0976,1
pro_128k_L60,128,gvr_pr,15.0464,11.718399999999999,1
pro_128k_L60,128,bsx,18.947200000000002,15.04,1
pro_128k_L60,256,gvr_pr,20.313599999999997,15.980799999999999,1
pro_128k_L60,256,bsx,23.6928,18.7776,1
pro_128k_L60,512,gvr_pr,38.278400000000005,30.1824,1
pro_128k_L60,512,bsx,44.816,36.307199999999995,1
pro_128k_L60,1024,gvr_pr,65.6129,59.8656,1
pro_128k_L60,1024,bsx,82.0416,74.0288,1
pro_256k_L60,1,gvr_pr,14.790299999999998,12.704,1
pro_256k_L60,1,bsx,11.408,10.496,1
pro_256k_L60,2,gvr_pr,14.24,12.768,1
pro_256k_L60,2,bsx,11.1968,10.451,1
pro_256k_L60,4,gvr_pr,14.432,12.7294,1
pro_256k_L60,4,bsx,11.3439,10.489600000000001,1
pro_256k_L60,8,gvr_pr,14.656,12.8,1
pro_256k_L60,8,bsx,11.5648,10.5792,1
pro_256k_L60,16,gvr_pr,15.0559,12.896,1
pro_256k_L60,16,bsx,16.6463,14.688,1
pro_256k_L60,32,gvr_pr,15.9744,13.312,1
pro_256k_L60,32,bsx,17.734299999999998,15.584,1
pro_256k_L60,64,gvr_pr,18.659,15.0076,1
