model,isl,N,K,L,BS,hit,compB_us,compB_span,gvr_pr_us,gvr_pr_span,sgl_us,radix_us,fi_us,sgl_span,radix_span,fi_span,gvr2_ratio,drift,exact_compB
flash,16k,4099,512,10,1024,0.6484,4521.9473,4783.2443,63.2571,63.2571,20.1025,44.6960,35.1376,20.1025,44.696,35.1376,0.9992,1.7117,True
flash,16k,4099,512,22,1,0.3438,5.2544,5.2544,9.4271,9.4271,5.4272,7.0912,7.2256,5.4272,7.0912,7.2256,0.9971,1.0649,True
flash,16k,4099,512,22,2,0.3438,10.4063,10.8607,8.928,8.928,5.1792,7.0112,7.2992,5.1792,7.0112,7.2992,1.0418,1.0341,True
flash,16k,4099,512,22,4,0.3438,20.7918,21.6414,9.3039,9.3039,5.2096,7.1248,7.3008,5.2096,7.1248,7.3008,1.0188,1.0812,True
flash,16k,4099,512,22,8,0.3438,41.6461,43.5453,9.272,9.272,5.2240,7.1728,7.6400,5.224,7.1728,7.64,1.0312,1.0883,True
flash,16k,4099,512,22,16,0.3438,82.1002,85.9785,9.8335,9.8335,5.3344,7.4480,7.7041,5.3344,7.448,7.7041,0.9893,1.0993,True
flash,16k,4099,512,22,32,0.3438,162.9476,170.9235,9.8895,9.8895,5.4624,7.5489,7.8352,5.4624,7.5489,7.8352,0.9909,1.0865,True
flash,16k,4099,512,22,64,0.3438,323.6115,339.8834,10.104,10.104,5.6016,7.7072,7.9408,5.6016,7.7072,7.9408,0.9933,1.0992,True
flash,16k,4099,512,22,128,0.3438,645.7762,678.5166,10.4718,10.4718,5.8449,8.2464,8.2336,5.8449,8.2464,8.2336,0.9909,1.0827,True
flash,16k,4099,512,22,256,0.3438,1290.9206,1356.5789,19.2688,19.2688,7.3488,14.4817,11.0752,7.3488,14.4817,11.0752,0.9994,1.7497,True
flash,16k,4099,512,22,512,0.3438,2578.3828,2709.5739,36.1358,36.1358,12.6096,26.7344,19.7777,12.6096,26.7344,19.7777,1.0055,1.8035,True
flash,16k,4099,512,22,1024,0.3438,5146.9014,5413.3273,63.0732,63.0732,20.6496,45.2144,33.6912,20.6496,45.2144,33.6912,1.0009,1.7572,True
flash,16k,4099,512,34,1,0.3477,5.2271,5.2271,9.1936,9.1936,5.3312,6.9792,7.3232,5.3312,6.9792,7.3232,0.9967,1.057,True
flash,16k,4099,512,34,2,0.3477,10.424,10.6752,8.7487,8.7487,5.0464,6.9104,7.3504,5.0464,6.9104,7.3504,1.0434,1.034,True
flash,16k,4099,512,34,4,0.3477,20.8576,21.6192,9.0431,9.0431,5.1664,7.0304,7.4592,5.1664,7.0304,7.4592,1.0235,1.0467,True
flash,16k,4099,512,34,8,0.3477,41.6172,43.4108,9.1198,9.1198,5.0928,7.0960,7.7248,5.0928,7.096,7.7248,1.0241,1.0672,True
flash,16k,4099,512,34,16,0.3477,81.8906,85.7146,9.5391,9.5391,5.2544,7.3120,7.7921,5.2544,7.312,7.7921,0.997,1.0799,True
flash,16k,4099,512,34,32,0.3477,162.3201,170.2049,9.7247,9.7247,5.3312,7.4560,7.9616,5.3312,7.456,7.9616,0.99,1.0813,True
flash,16k,4099,512,34,64,0.3477,322.8163,338.8626,9.8911,9.8911,5.4624,7.5392,8.0689,5.4624,7.5392,8.0689,1.002,1.0731,True
flash,16k,4099,512,34,128,0.3477,644.9561,677.2871,10.2511,10.2511,5.7600,8.1201,8.3776,5.76,8.1201,8.3776,0.9933,1.0669,True
flash,16k,4099,512,34,256,0.3477,1287.8241,1352.7419,19.0175,19.0175,7.1681,14.2416,11.3952,7.1681,14.2416,11.3952,0.9904,1.7271,True
flash,16k,4099,512,34,512,0.3477,2572.0739,2702.3591,35.5532,35.5532,12.2288,26.2961,20.4225,12.2288,26.2961,20.4225,1.0028,1.7906,True
flash,16k,4099,512,34,1024,0.3477,5134.9572,5395.763,61.7499,61.7499,20.1280,44.4048,34.5281,20.128,44.4048,34.5281,1.0006,1.7384,True
flash,256k,65538,512,10,1,0.1934,8.5808,8.5808,15.6655,15.6655,10.3712,20.1296,13.4113,10.3712,20.1296,13.4113,0.9962,1.0959,True
flash,256k,65538,512,10,2,0.1934,17.0927,17.3455,15.6495,15.6495,10.4450,20.0240,13.6225,10.445,20.024,13.6225,1.0025,1.1049,True
flash,256k,65538,512,10,4,0.1934,34.0446,34.8046,15.7104,15.7104,10.4256,20.1697,13.6208,10.4256,20.1697,13.6208,0.9983,1.0969,True
flash,256k,65538,512,10,8,0.1934,67.6125,69.3901,15.9167,15.9167,10.5633,20.4848,13.9232,10.5633,20.4848,13.9232,1.0031,1.0854,True
flash,256k,65538,512,10,16,0.1934,133.689,137.5113,16.2847,16.2847,12.9632,21.3216,17.3329,12.9632,21.3216,17.3329,1.0012,1.082,True
flash,256k,65538,512,10,32,0.1934,265.7139,273.5842,17.3487,17.3487,20.7904,30.8785,18.8785,22.6897,30.8785,18.8785,0.9989,1.0852,True
flash,256k,65538,512,10,64,0.1934,528.2648,544.2918,32.2463,32.2463,20.9153,57.9282,21.6225,23.5921,57.9282,21.6225,0.9963,1.7799,True
flash,256k,65538,512,10,128,0.1934,1054.7679,1089.8157,61.6205,61.6205,22.2592,61.8098,30.8481,24.5552,61.8098,30.8481,1.0031,3.0077,True
flash,256k,65538,512,10,256,0.1934,2115.6861,2180.5881,120.9146,120.9146,31.4721,119.0386,46.6418,34.0561,119.0386,46.6418,1.0008,3.7865,True
flash,256k,65538,512,10,512,0.1934,4227.9258,4357.9075,235.9941,235.9941,57.6418,204.6995,82.3938,59.5762,204.6995,82.3938,0.9993,3.8922,True
flash,256k,65538,512,10,1024,0.1934,8432.2146,8692.4326,460.457,460.457,93.6754,403.3433,133.4995,93.6754,403.3433,133.4995,1.0014,4.5619,True
flash,256k,65538,512,22,1,0.2793,8.5695,8.5695,15.0095,15.0095,9.5456,19.5616,13.1312,9.5456,19.5616,13.1312,1.0015,1.1678,True
flash,256k,65538,512,22,2,0.2793,16.968,17.2175,15.0095,15.0095,9.7040,19.6801,13.3712,9.704,19.6801,13.3712,1.0103,1.1437,True
flash,256k,65538,512,22,4,0.2793,33.8014,34.5646,15.1839,15.1839,9.6544,20.1408,13.4337,9.6544,20.1408,13.4337,1.0004,1.1277,True
flash,256k,65538,512,22,8,0.2793,67.3742,69.1629,15.4944,15.4944,9.8816,20.3200,13.7489,9.8816,20.32,13.7489,1.0025,1.1184,True
flash,256k,65538,512,22,16,0.2793,133.177,136.9993,15.8511,15.8511,11.9248,21.2112,16.6272,11.9248,21.2112,16.6272,0.9966,1.1136,True
flash,256k,65538,512,22,32,0.2793,264.8515,272.7475,16.8336,16.8336,20.3376,30.4642,18.3104,22.4176,30.4642,18.3104,0.9968,1.1109,True
flash,256k,65538,512,22,64,0.2793,526.7926,542.7989,31.227,31.227,20.6721,57.0625,20.8897,22.8193,57.0625,20.8897,0.9989,1.7735,True
flash,256k,65538,512,22,128,0.2793,1050.8462,1083.0571,59.8269,59.8269,22.0097,60.7024,27.8992,24.2416,60.7024,27.8992,1.0016,3.0194,True
flash,256k,65538,512,22,256,0.2793,2108.2807,2173.0837,116.841,116.841,30.8945,116.7859,41.7713,33.2642,116.7859,41.7713,1.0028,3.7243,True
flash,256k,65538,512,22,512,0.2793,4217.0863,4346.9177,227.3957,227.3957,56.8209,201.0323,74.2321,58.7521,201.0323,74.2321,0.9999,3.8174,True
flash,256k,65538,512,22,1024,0.2793,8401.1333,8661.0327,444.4762,444.4762,92.3314,396.5720,119.7619,92.3314,396.572,119.7619,0.9995,4.5278,True
flash,256k,65538,512,34,1,0.6309,8.592,8.592,15.0704,15.0704,9.3521,17.4912,12.6608,9.3521,17.4912,12.6608,1.0031,1.1286,True
flash,256k,65538,512,34,2,0.6309,16.8879,17.1439,14.9424,14.9424,9.3200,19.7137,12.6784,9.32,19.7137,12.6784,1.0257,1.0933,True
flash,256k,65538,512,34,4,0.6309,33.4255,34.1951,15.624,15.624,9.3936,20.6513,12.9313,9.3936,20.6513,12.9313,0.9918,1.1188,True
flash,256k,65538,512,34,8,0.6309,66.5199,68.3023,15.9134,15.9134,9.6945,20.2785,13.3153,9.6945,20.2785,13.3153,0.9944,1.1022,True
flash,256k,65538,512,34,16,0.6309,131.5037,135.3261,16.2047,16.2047,11.7105,21.5153,16.0608,11.7105,21.5153,16.0608,0.9958,1.1022,True
flash,256k,65538,512,34,32,0.6309,261.5643,269.449,17.1584,17.1584,20.7120,30.6513,17.9232,22.6112,30.6513,17.9232,1.0019,1.0924,True
flash,256k,65538,512,34,64,0.6309,519.639,535.6996,31.9327,31.9327,20.9217,56.8740,20.0785,23.6161,56.874,20.0785,0.9979,1.7682,True
flash,256k,65538,512,34,128,0.6309,1036.7865,1069.1304,61.2734,61.2734,22.3537,60.4676,26.6817,23.5665,60.4676,26.6817,1.0014,3.0243,True
flash,256k,65538,512,34,256,0.6309,2079.4004,2144.2769,119.6574,119.6574,31.3666,116.4437,39.0097,34.1698,116.4437,39.0097,1.0031,3.7591,True
flash,256k,65538,512,34,512,0.6309,4167.6612,4297.6768,233.848,233.848,57.6288,200.2856,69.8883,59.8528,200.2856,69.8883,0.9991,3.9096,True
