model,isl,N,K,L,BS,hit,cs,op,us,us_span,exact
flash,16k,4099,512,34,32,0.3477,,kf_compB,162.3201,170.2049,True
flash,16k,4099,512,34,64,0.3477,1,gvr_pr,9.8911,9.8911,True
flash,16k,4099,512,34,64,0.3477,,kf_compB,322.8163,338.8626,True
flash,16k,4099,512,34,128,0.3477,1,gvr_pr,10.2511,10.2511,True
flash,16k,4099,512,34,128,0.3477,,kf_compB,644.9561,677.2871,True
flash,16k,4099,512,34,256,0.3477,1,gvr_pr,19.0175,19.0175,True
flash,16k,4099,512,34,256,0.3477,,kf_compB,1287.8241,1352.7419,True
flash,16k,4099,512,34,512,0.3477,1,gvr_pr,35.5532,35.5532,True
flash,16k,4099,512,34,512,0.3477,,kf_compB,2572.0739,2702.3591,True
flash,16k,4099,512,34,1024,0.3477,1,gvr_pr,61.7499,61.7499,True
flash,16k,4099,512,34,1024,0.3477,,kf_compB,5134.9572,5395.763,True
flash,256k,65538,512,10,1,0.1934,4,gvr_pr,15.6655,15.6655,True
flash,256k,65538,512,10,1,0.1934,,kf_compB,8.5808,8.5808,True
flash,256k,65538,512,10,2,0.1934,4,gvr_pr,15.6495,15.6495,True
flash,256k,65538,512,10,2,0.1934,,kf_compB,17.0927,17.3455,True
flash,256k,65538,512,10,4,0.1934,4,gvr_pr,15.7104,15.7104,True
flash,256k,65538,512,10,4,0.1934,,kf_compB,34.0446,34.8046,True
flash,256k,65538,512,10,8,0.1934,4,gvr_pr,15.9167,15.9167,True
flash,256k,65538,512,10,8,0.1934,,kf_compB,67.6125,69.3901,True
flash,256k,65538,512,10,16,0.1934,4,gvr_pr,16.2847,16.2847,True
flash,256k,65538,512,10,16,0.1934,,kf_compB,133.689,137.5113,True
flash,256k,65538,512,10,32,0.1934,4,gvr_pr,17.3487,17.3487,True
flash,256k,65538,512,10,32,0.1934,,kf_compB,265.7139,273.5842,True
flash,256k,65538,512,10,64,0.1934,4,gvr_pr,32.2463,32.2463,True
flash,256k,65538,512,10,64,0.1934,,kf_compB,528.2648,544.2918,True
flash,256k,65538,512,10,128,0.1934,4,gvr_pr,61.6205,61.6205,True
flash,256k,65538,512,10,128,0.1934,,kf_compB,1054.7679,1089.8157,True
flash,256k,65538,512,10,256,0.1934,4,gvr_pr,120.9146,120.9146,True
flash,256k,65538,512,10,256,0.1934,,kf_compB,2115.6861,2180.5881,True
flash,256k,65538,512,10,512,0.1934,4,gvr_pr,235.9941,235.9941,True
flash,256k,65538,512,10,512,0.1934,,kf_compB,4227.9258,4357.9075,True
flash,256k,65538,512,10,1024,0.1934,4,gvr_pr,460.457,460.457,True
flash,256k,65538,512,10,1024,0.1934,,kf_compB,8432.2146,8692.4326,True
flash,256k,65538,512,22,1,0.2793,4,gvr_pr,15.0095,15.0095,True
flash,256k,65538,512,22,1,0.2793,,kf_compB,8.5695,8.5695,True
flash,256k,65538,512,22,2,0.2793,4,gvr_pr,15.0095,15.0095,True
flash,256k,65538,512,22,2,0.2793,,kf_compB,16.968,17.2175,True
flash,256k,65538,512,22,4,0.2793,4,gvr_pr,15.1839,15.1839,True
flash,256k,65538,512,22,4,0.2793,,kf_compB,33.8014,34.5646,True
flash,256k,65538,512,22,8,0.2793,4,gvr_pr,15.4944,15.4944,True
flash,256k,65538,512,22,8,0.2793,,kf_compB,67.3742,69.1629,True
flash,256k,65538,512,22,16,0.2793,4,gvr_pr,15.8511,15.8511,True
flash,256k,65538,512,22,16,0.2793,,kf_compB,133.177,136.9993,True
flash,256k,65538,512,22,32,0.2793,4,gvr_pr,16.8336,16.8336,True
flash,256k,65538,512,22,32,0.2793,,kf_compB,264.8515,272.7475,True
